"herocard.passive_skill.description.addmana.all.allies","Semua sekutu mendapat sedikit mana."
"herocard.passive_skill.description.memorizestatuseffects","Karakter ini punya kemampuan alami untuk Menghafal status pelemahan. Status pelemahan terakhir yang dirapal atas karakter ini akan dihafal hingga Keahlian Khusus dirapal. Hanya status pelemahan dengan durasi yang bisa dihafal."
"herocard.passive_skill.description.memorizestatuseffects#2","Karakter ini punya kemampuan alami untuk Menghafal status pelemahan. {0} status pelemahan terakhir yang dirapal atas karakter ini akan dihafal hingga Keahlian Khusus dirapal. Hanya status pelemahan dengan durasi yang bisa dihafal."
"herocard.passive_skill.description.memorizestatuseffects#3","Karakter ini punya kemampuan alami untuk Menghafal status pelemahan. {0} status pelemahan terakhir yang dirapal atas karakter ini akan dihafal hingga Keahlian Khusus dirapal. Hanya status pelemahan dengan durasi yang bisa dihafal."
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_blue","Mimik ini memberikan peluang jarahan ekstra saat menyelesaikan etape:

*****
 Eter Es III

****
 Eter Es II

***
 Eter Es I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_green","Mimik ini memberikan peluang jarahan ekstra saat menyelesaikan etape:

*****
 Eter Alam III

****
 Eter Alam II

***
 Eter Alam I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_purple","Mimik ini memberikan peluang jarahan ekstra saat menyelesaikan etape:

*****
 Eter Gelap III

****
 Eter Gelap II

***
 Eter Gelap I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_red","Mimik ini memberikan peluang jarahan ekstra saat menyelesaikan etape:

*****
 Eter Api III

****
 Eter Api II

***
 Eter Api I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_yellow","Mimik ini memberikan peluang jarahan ekstra saat menyelesaikan etape:

*****
 Eter Suci III

****
 Eter Suci II

***
 Eter Suci I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_blue","Mimik ini memberikan peluang mendapatkan jarahan ekstra saat menyelesaikan etape:

****
 Pedang Damaskus
 Kitab Taktik
 Teleskop Jarak Jauh

***
 Sarung Tangan Halus
 Kompas
 Mantel Hangat
 Buku Panduan Pertempuran
 Boot Tinggi
 Baju Rantai

**
 Tali Kuat"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_epic_yellow","Mimik ini memberikan peluang mendapatkan jarahan ekstra saat menyelesaikan etape:

***
 Pedang Tersembunyi
 Bola Ajaib
 Perisai Kokoh
 Alat Jebakan
 Mantel Hangat
 Buku Panduan Pertempuran 
 Baju Rantai
 Sarung Pedang
 Boot Tinggi

**
 Naskah Gaib
 Belati
 Baju Zirah Kulit
 Batu Asah
 Tali Kuat
 Perisai Kayu

*
 Kit Petualang
 Pedang Latihan
 Baju Kasar"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_green","Mimik ini memberikan peluang mendapatkan jarahan ekstra saat menyelesaikan etape:

****
 Pedang Damaskus
 Kitab Taktik
 Tonik Misterius

***
 Sarung Tangan Halus
 Kompas
 Perisai Kokoh
 Boot Tinggi
 Sarung Pedang

**
 Tali Kuat
 Belati"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_purple","Mimik ini memberikan peluang mendapatkan jarahan ekstra saat menyelesaikan etape:

****
 Pedang Damaskus
 Kitab Taktik
 Jubah Pendek Kerajaan

***
 Sarung Tangan Halus
 Kompas
 Alat Jebakan
 Boot Tinggi
 Sarung Pedang

**
 Tali Kuat
 Belati"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_red","Mimik ini memberikan peluang mendapatkan jarahan ekstra saat menyelesaikan etape:

****
 Pedang Damaskus
 Kitab Taktik
 Cincin Mistis

***
 Sarung Tangan Halus
 Kompas
 Pedang Tersembunyi
 Baju Rantai
 Boot Tinggi

**
 Naskah Gaib"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_yellow","Mimik ini memberikan peluang mendapatkan jarahan ekstra saat menyelesaikan etape:

****
 Pedang Damaskus
 Kitab Taktik
 Anak Panah Beracun

***
 Sarung Tangan Halus
 Kompas
 Bola Ajaib
 Baju Rantai
 Boot Tinggi

**
 Naskah Gaib"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_blue","Mimik ini memberikan peluang mendapatkan jarahan ekstra saat menyelesaikan etape:

*****
 Emblem Penyihir Master
 Emblem Dukun Master

****
 Emblem Penyihir
 Emblem Dukun"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_green","Mimik ini memberikan peluang mendapatkan jarahan ekstra saat menyelesaikan etape:

*****
 Emblem Kesatria Master
 Emblem Klenik Master

****
 Emblem Kesatria
 Emblem Klenik"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_purple","Mimik ini memberikan peluang mendapatkan jarahan ekstra saat menyelesaikan etape:

*****
 Emblem Berandal Master
 Emblem Pamong Master

****
 Emblem Berandal
 Emblem Pamong"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_red","Mimik ini memberikan peluang mendapatkan jarahan ekstra saat menyelesaikan etape:

*****
 Emblem Petarung Master
 Emblem Barbar Master

****
 Emblem Petarung
 Emblem Barbar"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_yellow","Mimik ini memberikan peluang mendapatkan jarahan ekstra saat menyelesaikan etape:

*****
 Emblem Padri Master
 Emblem Petapa Master

****
 Emblem Padri
 Emblem Petapa"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_experience_rare_red","Mimik ini memberikan peluang mendapatkan jarahan ekstra saat menyelesaikan etape:

**
Pahlawan Api, Alam, Es, Gelap, dan Suci Tidak Biasa

*
Pahlawan Pelatih Master Biasa
Pahlawan Api, Alam, Es, Gelap, dan Suci Biasa"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_blue","Mimik ini memberikan peluang mendapatkan jarahan ekstra saat menyelesaikan etape:

***
Pahlawan Pelatih Es Langka

**
Pahlawan Pelatih Es Tidak Biasa
Pahlawan Es Tidak Biasa

*
Pahlawan Pelatih Es Biasa
Pahlawan Es Biasa"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_green","Mimik ini memberikan peluang mendapat jarahan ekstra saat menyelesaikan etape:

Pahlawan Pelatih Alam Langka
Pahlawan Pelatih Alam Tidak Biasa
Pahlawan Alam Tidak Biasa
 
Pahlawan Pelatih Alam Biasa
Pahlawan Alam Biasa"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_purple","Mimik ini memberikan peluang mendapat jarahan ekstra saat menyelesaikan etape:

Pahlawan Pelatih Gelap Langka
Pahlawan Pelatih Gelap Tidak Biasa
Pahlawan Gelap Tidak Biasa
 
Pahlawan Gelap Biasa
Pahlawan Pelatih Gelap Biasa"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_red","Mimik ini memberikan peluang mendapat jarahan ekstra saat menyelesaikan etape:

Pahlawan Pelatih Api Langka
Pahlawan Pelatih Api Tidak Biasa
Pahlawan Api Tidak Biasa
 
Pahlawan Pelatih Api Biasa
Pahlawan Api Tidak Biasa"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_yellow","Mimik ini memberikan peluang mendapat jarahan ekstra saat menyelesaikan etape:

Pahlawan Pelatih Suci Langka
Pahlawan Pelatih Suci Tidak Biasa
Pahlawan Suci Tidak Biasa
 
Pahlawan Pelatih Suci Biasa
Pahlawan Suci Biasa"
"herocard.passive_skill.description.nevermissspecial","Keahlian Khusus karakter ini tidak pernah meleset dari sasaran."
"herocard.passive_skill.description.ransack","Di awal tiap giliran, karakter ini Menggeledah satu musuh acak:

Mencuri {DAMAGE} kesehatan.
Dengan aman mencuri genjotan, efek Bertumbuh, atau genjotan tumpukan positif dari musuh. Ini termasuk genjotan yang tidak bisa dienyahkan dan efek tarian."
"herocard.passive_skill.description.ransack.chance","Di awal tiap giliran, karakter ini berpeluang {CHANCE}% untuk Menggeledah satu musuh acak:

Menggeledah:Mencuri {DAMAGE} kesehatan.
Dengan aman mencuri satu efek Bertumbuh acak, Tumpukan positif, atau genjotan efek status dari musuh. Ini termasuk genjotan yang tidak bisa dienyahkan dan efek Tarian.
Pencurian aman melewati efek sekunder, seperti kerusakan saat dihapus, dari genjotan yang dihapus. Keahlian pasif dan efek keluarga masih dapat diaktifkan."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest","Saat karakter ini merapal Keahlian Khususnya, dia berpeluang {CHANCE}% untuk mencuri genjotan terbaru yang bisa dienyahkan dari musuh acak yang memiliki genjotan. Jika musuh tidak memiliki genjotan, ini menimbulkan {DAMAGE}% kerusakan ke semua musuh."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest.randomenemytarget","Saat karakter ini merapal Keahlian Khususnya, dia berpeluang {CHANCE}% untuk mencuri genjotan terbaru yang bisa dienyahkan dari musuh acak yang memiliki genjotan. Jika musuh tidak memiliki genjotan, ini menimbulkan kerusakan {DAMAGE}% kepada semua musuh."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.heal.always.minordebuff.newest","Ketika karakter ini merapal Keahlian Khusus, mereka memindahkan status pelemahan yang bisa dibersihkan dari mereka ke sasaran. Jika Keahlian Khusus tidak bisa menarget musuh, musuh akan dipilih secara acak. Jika karakter ini tidak memiliki status pelemahan yang bisa dibersihkan, kesehatan mereka akan pulih {HEALTH}%."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage","Pahlawan ini mengalami kerusakan elemen lebih kecil dari Pasukan dengan elemen yang lebih kuat.

Kerusakan elemen yang diterima: -{MODIFIER}%"
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.combined","Kerusakan elemen yang diterima {MODIFIER}% lebih sedikit dari Pasukan dengan elemen yang lebih kuat."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.increase.dragon","Kerusakan elemen yang diterima {MODIFIER}% lebih banyak dari bola api elemen yang lebih kuat."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single","Pertama kali karakter ini menerima kerusakan fatal, kerusakan itu dialihkan ke musuh acak.

Dalam pertempuran dengan beberapa gelombang, efeknya akan disegarkan di awal setiap gelombang."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single.battle","Pertama kalinya karakter ini menerima kerusakan fatal, kerusakan itu dialihkan ke musuh acak. (Sisa aktivasi: {ACTIVATIONSLEFT})"
"herocard.passive_skill.description.reflectstatuseffect.with_chance","Peluang ekstra {CHANCE}% untuk memantulkan status pelemahan kembali ke penyerang."
"herocard.passive_skill.description.removebasestatmodifiers.removenegative.from.all.allies","Setiap {TURNS} giliran, menghapus semua efek Layu dari semua sekutu."
"herocard.passive_skill.description.removebasestatmodifiers.removepositive.from.all.enemies","Setiap {TURNS} giliran, menghapus semua efek Tumbuh dari semua musuh."
"herocard.passive_skill.description.repaircoreintrinsicchargeeffectonspecial.healthboost.all.allies.always","Inti Konstruksi karakter ini adalah Inti Reparasi.

The Inti Reparasi aktif setiap kali Keahlian Khusus karakter ini dirapal:

 Dengan Inti Reparasi terisi penuh, kesehatan semua sekutu meningkat {CHARGEDPOWER1}%. 
 Penyembuhan diskalakan dengan jumlah cas di Inti. Semua cas habis saat Inti diaktifkan."
"herocard.passive_skill.description.repeatspecial","Berpeluang {REPEATCHANCE}% merapal Keahlian Khusus pahlawan ini {REPEATS} kali."
"herocard.passive_skill.description.resist.accuracymodifiers","Karakter ini kebal terhadap status pelemahan yang memengaruhi akurasi. Tidak berlaku untuk efek status asli dari sekutu."
"herocard.passive_skill.description.resist.alldebuffs.alldebuffs","Karakter ini punya kebal terhadap status pelemahan dan tumpukan negatif."
"herocard.passive_skill.description.resist.alldebuffs.buffdispels.with_chance","Peluang ekstra {CHANCE}% untuk menampik semua status pelemahan dan pengenyahan genjotan."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.attackwither.defensewither.alldebuffs.with_chance","Peluang ekstra {CHANCE}% untuk menampik semua status pelemahan, pengurangan mana, pengenyahan genjotan, dan efek Layu."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.insanity.with_chance","Peluang ekstra {CHANCE}% untuk menampik semua status pelemahan, pengurangan mana, pengenyahan genjotan, dan Kegilaan."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.with_chance","Peluang ekstra {CHANCE}% untuk menampik semua status pelemahan, pengurangan mana, dan pengenyahan genjotan."
"herocard.passive_skill.description.resist.alldebuffs.with_chance","Peluang ekstra {CHANCE}% untuk menampik semua status pelemahan."
"herocard.passive_skill.description.resist.alldefensemodifiers.alldebuffs","Karakter ini kebal terhadap status pelemahan yang memengaruhi pertahanan. Berlaku untuk status pelemahan yang memengaruhi pertahanan elemen."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.alldebuffs","Karakter ini kebal terhadap status pelemahan, tumpukan, dan efek Layu yang memengaruhi pertahanan."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.allstatuseffects","Karakter ini tidak terpengaruh oleh efek yang meningkatkan atau mengurangi pertahanan.

Ini termasuk genjotan dan pelemahan efek status, Tumpukan positif dan negatif, serta efek Layu dan Bertumbuh."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.defensegrowth.allstatuseffectsandstacks","Karakter ini tidak terpengaruh oleh efek yang meningkatkan atau mengurangi pertahanan.

Ini termasuk
 Genjotan dan pelemahan efek status
 Tumpukan positif dan negatif
 Efek Layu dan Bertumbuh."
"herocard.passive_skill.description.resist.alldefensemodifiersincludingwither.allstatuseffects","Karakter ini tidak terpengaruh oleh efek yang meningkatkan atau mengurangi pertahanan.

Ini termasuk genjotan dan pelemahan efek status, Tumpukan positif dan negatif, serta efek Layu dan Bertumbuh."
"herocard.passive_skill.description.resist.allmanaeffects.alldebuffs","Karakter ini punya kebal terhadap status pelemahan dan tumpukan negatif yang memengaruhi generasi mana. Juga berlaku untuk status pelemahan yang memblokir mana atau mencuri mana."
"herocard.passive_skill.description.resist.allstatuseffectdamage.none","Karakter ini kebal terhadap kerusakan yang datang dari efek status."
"herocard.passive_skill.description.resist.attackdelay","Serangan normal karakter ini tidak bisa ditunda."
"herocard.passive_skill.description.resist.attackdelay.alldebuffs","Serangan normal karakter ini tidak bisa ditunda."
"herocard.passive_skill.description.resist.attackmodifiers","Karakter ini kebal terhadap status pelemahan yang memengaruhi serangan."
"herocard.passive_skill.description.resist.attackmodifiers.allstatuseffectsandstacks","Karakter ini kebal terhadap semua efek status dan tumpukan yang memengaruhi serangan. Ini termasuk genjotan efek status."
"herocard.passive_skill.description.resist.attackmodifiers.attackwither.alldebuffs","Karakter ini kebal terhadap status pelemahan, tumpukan, dan efek Layu yang memengaruhi serangan."
"herocard.passive_skill.description.resist.bleed","Karakter ini kebal terhadap status pelemahan yang menimbulkan kerusakan Berdarah."
"herocard.passive_skill.description.resist.bleed.with_effect.healthboost.addmana","Karakter ini kebal terhadap status pelemahan yang menimbulkan kerusakan Berdarah serta meraih {HEALTHBOOST} peningkatan kesehatan dan {MANA}% mana tiap kali menampik."
"herocard.passive_skill.description.resist.buffdispels","Karakter ini kebal terhadap efek yang akan mengenyahkan genjotan efek statusnya."
"herocard.passive_skill.description.resist.buffdispels.none.with_chance","Peluang ekstra {CHANCE}% untuk menampik pengenyahan genjotan."
"herocard.passive_skill.description.resist.buffimmunity","Karakter ini kebal terhadap efek yang akan memblokirnya dari menerima genjotan efek status baru."
"herocard.passive_skill.description.resist.burn","Karakter ini kebal terhadap status pelemahan yang menimbulkan kerusakan Terbakar."
"herocard.passive_skill.description.resist.burn.with_effect.healthboost.addmana","Karakter ini kebal terhadap status pelemahan yang menimbulkan kerusakan Terbakar serta meraih {HEALTHBOOST} peningkatan kesehatan dan {MANA}% mana tiap kali menampik."
"herocard.passive_skill.description.resist.can_stack.alldebuffs","Karakter ini punya kebal terhadap status pelemahan."
"herocard.passive_skill.description.resist.can_stack.alldebuffs.with_chance","Peluang ekstra {CHANCE}% untuk menampik semua status pelemahan."
"herocard.passive_skill.description.resist.criticalhits.none","Karakter ini kebal terhadap kerusakan ekstra dan efek tambahan dari Serangan Kritis."
"herocard.passive_skill.description.resist.defensemodifierdebuffs","Karakter ini kebal terhadap status pelemahan yang memengaruhi pertahanan. Tidak berlaku untuk status pelemahan yang memengaruhi pertahanan elemen."
"herocard.passive_skill.description.resist.defensemodifiers.alldebuffs","Karakter ini kebal terhadap status pelemahan dan tumpukan negatif yang memengaruhi pertahanan. Tidak berlaku untuk status pelemahan yang memengaruhi pertahanan elemen."
"herocard.passive_skill.description.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","Kebal terhadap efek yang menghapus Antek.
 Tidak dapat dicegah dari menerima Antek.
 Serangan dan kemampuan Antek tidak dapat dinonaktifkan."
"herocard.passive_skill.description.resist.frost","Karakter ini kebal terhadap status pelemahan yang menimbulkan kerusakan Beku."
"herocard.passive_skill.description.resist.frost.with_effect.healthboost.addmana","Karakter ini kebal terhadap status pelemahan yang menimbulkan kerusakan Beku serta meraih {HEALTHBOOST} peningkatan kesehatan dan {MANA}% mana tiap kali menampik."
"herocard.passive_skill.description.resist.healeffects","Karakter ini kebal terhadap status pelemahan yang memengaruhi penyembuhan."
"herocard.passive_skill.description.resist.healthsteal","Karakter ini kebal terhadap status pelemahan yang mencuri kesehatan."
"herocard.passive_skill.description.resist.insanity.permanentstatuseffects","Karakter ini kebal terhadap Kegilaan."
"herocard.passive_skill.description.resist.manadebuffs","Karakter ini kebal terhadap status pelemahan yang memengaruhi mana."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking","Karakter ini kebal terhadap status pelemahan yang memengaruhi generasi mana atau mencegah penggunaan Keahlian Khusus."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking.with_chance","Karakter ini berpeluang {CHANCE}% untuk menahan status pelemahan yang memengaruhi mana atau mencegah penggunaan Keahlian Khusus."
"herocard.passive_skill.description.resist.managenerationmodifiers.alldebuffs","Karakter ini kebal terhadap status pelemahan dan tumpukan negatif yang memengaruhi generasi mana. Tidak berlaku untuk status pelemahan yang menghentikan generasi mana atau mencuri mana."
"herocard.passive_skill.description.resist.manareduction","Karakter ini kebal terhadap pengurangan mana."
"herocard.passive_skill.description.resist.manareduction.alldebuffs.with_chance","Peluang ekstra {CHANCE}% untuk menampik pengurangan mana."
"herocard.passive_skill.description.resist.manareduction.none.with_effect.healthboost.addmana","Karakter ini kebal terhadap pengurangan mana serta meraih {HEALTHBOOST} peningkatan kesehatan dan {MANA}% mana tiap kali menampik."
"herocard.passive_skill.description.resist.maxhealthreduction","Karakter ini kebal terhadap pengurangan kesehatan maks."
"herocard.passive_skill.description.resist.poison","Karakter ini kebal terhadap status pelemahan yang menimbulkan kerusakan Racun."
"herocard.passive_skill.description.resist.poison.burn.bleed","Karakter ini kebal terhadap status pelemahan yang menimbulkan kerusakan Racun, Terbakar, atau Berdarah."
"herocard.passive_skill.description.resist.possession.allstatuseffects","Karakter ini kebal terhadap efek status yang akan merasuki karakter tersebut."
"herocard.passive_skill.description.resist.sand","Karakter ini kebal terhadap status pelemahan yang menimbulkan kerusakan Pasir."
"herocard.passive_skill.description.resist.specialblocking","Karakter ini kebal terhadap status pelemahan yang mencegah penggunaan Keahlian Khusus."
"herocard.passive_skill.description.resist.specialblocking.with_chance","Karakter ini berpeluang {CHANCE}% untuk menampik status pelemahan yang mencegah penggunaan Keahlian Khusus."
"herocard.passive_skill.description.resist.specialblocking.with_effect.healthboost.addmana","Karakter ini kebal terhadap status pelemahan yang mencegah penggunaan Keahlian Khusus serta meraih {HEALTHBOOST} peningkatan kesehatan dan {MANA}% mana tiap kali menampik."
"herocard.passive_skill.description.resist.stopmanageneration","Karakter ini kebal terhadap status pelemahan yang menghentikan generasi mana."
"herocard.passive_skill.description.resist.water","Karakter ini kebal terhadap status pelemahan yang menimbulkan kerusakan Air."
"herocard.passive_skill.description.resistdebuffsfromfamiliars.minion","Karakter ini kebal terhadap status pelemahan yang berasal dari Antek."
"herocard.passive_skill.description.resistfamiliarremoval.minion.bigminion","Karakter ini kebal terhadap efek yang akan menghilangkan Antek darinya."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion","Karakter ini punya kebal terhadap efek negatif dan kerusakan dari Antek."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion.bigminion","Karakter ini punya kebal terhadap efek negatif dan kerusakan dari Antek dan Antek Mega."
"herocard.passive_skill.description.resistnewfamiliars.parasite","Karakter ini tidak bisa menerima Iblis."
"herocard.passive_skill.description.resistnewfamiliars.parasite.bigparasite","Karakter ini tidak bisa menerima Iblis atau Iblis Mega."
"herocard.passive_skill.description.resistsupportcharacter.troop.alldebuffs.with_chance","Peluang ekstra {CHANCE}% untuk menampik semua status pelemahan."
"herocard.passive_skill.description.revivalchancemodifier.all.enemies","Peluang bangkit berkurang untuk semua musuh dalam pertempuran. Peluangnya {MODIFIER}% dari nilai asli."
"herocard.passive_skill.description.revivalhealthmodifier.all.enemies.excluding.boss","Semua musuh, kecuali Bos, dibangkitkan lagi dengan kesehatan {HEALTHMODIFIER}%."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance","Jika kalah, karakter ini berpeluang terlahir sebagai Inang Eldritch. Peluangnya {CHANCEINCREASEPERSTEP}% per {INSANITYPERSTEP} Kegilaan pada karakter ini, hingga peluang maks {MAXCHANCEINCREASE}%.Jika karakter ini mengalahan diri sendiri saat Kegilaan diaktifkan, peluangnya {CHANCEONSELFCAUSEDDEATH}%.

Inang Eldritch memiliki 
{INHERITEDHEALTH}% kesehatan yang diwarisi. 
{ATTACK} serangan.
{DEFENSE} pertahanan.
Keahlian Khusus: Penyakit Eldritch."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance_temp","Jika kalah, karakter ini berpeluang terlahir sebagai Inang Eldritch. Peluangnya {CHANCEINCREASEPERSTEP}% per {INSANITYPERSTEP} Kegilaan pada karakter ini, hingga peluang maks {MAXCHANCEINCREASE}%.

Inang Eldritch memiliki 
{INHERITEDHEALTH}% kesehatan yang diwarisi. 
{ATTACK} serangan.
{DEFENSE} pertahanan.
Keahlian Khusus: Penyakit Eldritch.

Jika karakter ini mengalahan diri sendiri saat Kegilaan diaktifkan, peluangnya untuk terlahir kembali selalu {CHANCEONSELFCAUSEDDEATH}%."
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance","Saat kalah, karakter ini berpeluang {TOTALCHANCE}% untuk dibangkitkan di awal giliran berikutnya dengan kesehatan {HEALTH}% dan mana {MANA}%. 

Aktif hingga {MAXACTIVATIONCOUNT} kali. Peluang untuk bangkit berkurang setiap aktivasi. Tidak bisa dicegah dengan status pelemahan atau Keahlian Pasif."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Semua Balada yang dirapal oeh musuh hanya bertahan selama {TURNS} giliran."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Semua Tarian yang dirapal oeh musuh hanya bertahan selama {TURNS} giliran."
"herocard.passive_skill.description.sharereceiveddamage","{SHAREDDAMAGEPORTION}% kerusakan yang diterima karakter ini dibagi dengan semua sekutu lainnya."
"herocard.passive_skill.description.specialdamagereduction","Kerusakan yang diderita berkurang {DAMAGEREDUCTION}% untuk {MAXACTIVATIONCOUNT} kali pertama saat karakter ini mengalami kerusakan dari Keahlian Khusus."
"herocard.passive_skill.description.specialdamagereduction.chance","Karakter ini berpeluang {CHANCE}% untuk menurunkan kerusakan langsung yang diterima dari Keahlian Khusus menjadi 1."
"herocard.passive_skill.description.specialdamagereductionsupportcharacter.troop","Kerusakan yang diderita akibat Keahlian Khusus berkurang {DAMAGEREDUCTION}% untuk karakter ini."
"herocard.passive_skill.description.startbattlewitheffect.addmana","Karakter ini menerima {MANA}% mana di awal pertempuran."
"herocard.passive_skill.description.statmodifier.attack","Serangan {ATTACKMULTIPLIER}%."
"herocard.passive_skill.description.statmodifier.defense","Pertahanan {DEFENSEMULTIPLIER}%."
"herocard.passive_skill.description.statmodifier.health","Kesehatan {HEALTHMULTIPLIER}%."
"herocard.passive_skill.description.statmodifier.health.attack","Kesehatan {HEALTHMULTIPLIER}%, Serangan {ATTACKMULTIPLIER}%."
"herocard.passive_skill.description.statmodifier.health.defense","Kesehatan {HEALTHMULTIPLIER}%, Pertahanan {DEFENSEMULTIPLIER}%."
"herocard.passive_skill.description.statmodifier.health.defense.attack","Kesehatan {HEALTHMULTIPLIER}%, Pertahanan {DEFENSEMULTIPLIER}%, Serangan {ATTACKMULTIPLIER}%."
"herocard.passive_skill.description.statuseffectattackmodifier.addition","Efek status yang meningkatkan serangan itu {MODIFIER}% lebih efektif untuk karakter ini."
"herocard.passive_skill.description.statuseffectattackmodifier.all.allies.reduction","Mengurangi efek status pelemahan yang memengaruhi serangan sebanyak {MODIFIER}%. Efek ini berlaku ke karakter ini dan sekutunya dalam pertempuran."
"herocard.passive_skill.description.statuseffectattackmodifier.reduction","Status pelemahan yang mengurangi serangan {MODIFIER}% kurang efektif melawan karakter ini."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.addition","Efek status yang meningkatkan serangan itu {MODIFIER}% lebih efektif untuk karakter ini."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.reduction","Status pelemahan yang mengurangi serangan {MODIFIER}% kurang efektif melawan karakter ini."
"herocard.passive_skill.description.statuseffectdefensemodifier.addition","Efek status yang meningkatkan pertahanan itu {MODIFIER}% lebih efektif untuk karakter ini."
"herocard.passive_skill.description.statuseffectdefensemodifier.all.allies.reduction","Mengurangi efek pelemahan pertahanan sebanyak {MODIFIER}%. Efek ini berlaku ke karakter ini dan sekutunya dalam pertempuran."
"herocard.passive_skill.description.statuseffectdefensemodifier.reduction","Status pelemahan yang mengurangi pertahanan {MODIFIER}% kurang efektif melawan musuh ini."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.addition","Efek status yang meningkatkan pertahanan itu {MODIFIER}% lebih efektif untuk karakter ini."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.reduction","Status pelemahan yang mengurangi pertahanan {MODIFIER}% kurang efektif melawan musuh ini."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","Durasi {MAXACTIVATIONCOUNT} status pelemahan pertama yang diterima karakter ini dari Keahlian Khusus berkurang {DURATIONMODIFIER} giliran."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","Durasi status pelemahan pertama yang diterima karakter ini dari Keahlian Khusus berkurang {DURATIONMODIFIER} giliran."
"herocard.passive_skill.description.statuseffectdurationmodifier.increase.minorbuff.majorbuff","Durasi {MAXACTIVATIONCOUNT} genjotan pertama yang diterima karakter ini dari Keahlian Khusus bertambah sebesar {DURATIONMODIFIER} giliran."
"herocard.passive_skill.description.statuseffectoncleanse.single.enemies","Saat status pelemahan dibersihkan dari pahlawan ini, salinan baru pelemahan yang dibersihkan itu akan diterapkan ke musuh acak."
"herocard.passive_skill.description.statuseffectonspecialcast.major.all.allies.softskin","Setiap kali Gargoyle ini merapal Keahlian Khusus, semua sekutu menerima Kulit Lembut. {MAXACTIVATIONS} kali berikutnya mereka mengalami kerusakan, akan berkurang {DAMAGEREDUCTION}%. Mereka juga kebal terhadap semua status pelemahan, pengurangan mana, dan Kegilaan. Efek ini tidak bisa dienyahkan."
