"specials.name.a_cozy_break","استراحة مريحة"
"specials.name.dewling_warcry","صيحة حرب ديولينج"
"specials.name.dig_a_hole","احفر حفرة"
"specials.name.dinner_with_the_beast","عشاء مع الوحش"
"specials.name.dire_ghost","الشبح المخيف"
"specials.name.directors_blessing","مباركات المدير"
"specials.name.directors_blessing_pve","مباركات المدير"
"specials.name.disabling_decree","تعطيل الحُكم"
"specials.name.disabling_study","تعطيل الدراسة"
"specials.name.disarming_gaze_dragon_pve","نظرة نزع السلاح"
"specials.name.discordant_incantation","التعويذة المتنافرة"
"specials.name.disheartening_riddle","اللغز المحبط"
"specials.name.dishonorable_ploy","الخدعة المخزية"
"specials.name.disir_of_dreams","ديزير الأحلام"
"specials.name.disir_of_dusk","غسق ديزير"
"specials.name.dispelling_curse","تبديد اللعنة"
"specials.name.dispelling_judgement","تبديد الحكم"
"specials.name.dispelling_potion","جرعة التبديد"
"specials.name.dispelling_strike","ضربة مبددة"
"specials.name.dispelling_willpower","تبديد قوة الإرادة"
"specials.name.dispelling_willpower_pve","تبديد قوة الإرادة"
"specials.name.disquieting_tune","لحن مثير للاضطراب"
"specials.name.disrupting_charge","هجوم الإعاقة"
"specials.name.disrupting_charge_costume_tiger_lord","هجوم مدمر"
"specials.name.divine_connection","الاتصال السماوي"
"specials.name.divine_current","التيار المقدس"
"specials.name.divine_light1","النور المقدس"
"specials.name.divine_lunge","اندفاع سماوي"
"specials.name.divine_protection","الحماية الإلهية"
"specials.name.divine_protection_deadly","الحماية الإلهية"
"specials.name.divine_reflection","الانعكاس السماوي"
"specials.name.divine_reversal","الارتداد الإلهي"
"specials.name.dizzying_strike","ضربة الدوار"
"specials.name.donut_to_the_rescue","المنقذ دونت!"
"specials.name.doomrend","دوومرِند"
"specials.name.doomstrike","ضربة الهلاك"
"specials.name.double_flail_mayhem","فوضى السوط المزدوج"
"specials.name.double_strike","ضربة مزدوجة"
"specials.name.doublebarreled_starstick","عصا النجوم مزدوجة المواسير"
"specials.name.dozy_mead","شراب الخمول"
"specials.name.dragon_autumn_blaze","لهيب الخريف"
"specials.name.dragon_blaze_of_fatigue","نوبة الإرهاق"
"specials.name.dragon_blaze_of_mortality","نوبة الخلود"
"specials.name.dragon_blaze_of_protection","نوبة الحماية"
"specials.name.dragon_blaze_of_suppression","نيران الإخضاع"
"specials.name.dragon_blaze_of_the_hydra","نوبة هيدرا"
"specials.name.dragon_blaze_of_the_undying","لهب الخالدين"
"specials.name.dragon_blaze_of_torment","نوبة التعذيب"
"specials.name.dragon_blaze_of_torment_marzul","نوبة التعذيب"
"specials.name.dragon_blazing_inferno","الجحيم المستعر"
"specials.name.dragon_blazing_storm","العاصفة النارية"
"specials.name.dragon_blazing_storm_preenakh","العاصفة النارية"
"specials.name.dragon_blinding_blaze","لهب باهر"
"specials.name.dragon_blinding_blaze_duskwing","لهب باهر"
"specials.name.dragon_blinding_blaze_jawbreaker","لهب باهر"
"specials.name.dragon_blinding_blaze_wildheart","لهب باهر"
"specials.name.dragon_breath_of_bulwark","نفحة المعقل"
"specials.name.dragon_breath_of_compassion","نفحة من الرحمة"
"specials.name.dragon_breath_of_nourishment","نفس التغذية"
"specials.name.dragon_breath_of_retribution","نفحة من الانتقام"
"specials.name.dragon_breath_of_revival","نفحة من الإحياء"
"specials.name.dragon_cauterizing_blaze","شعلة الكي"
"specials.name.dragon_charring_blaze","لهب حارق"
"specials.name.dragon_claws","مخالب التنين"
"specials.name.dragon_cleansing_flame","لهب مطهر"
"specials.name.dragon_cleansing_flame_gallakhran","لهب مطهر"
"specials.name.dragon_corrosive_blaze","لهب مُتلف"
"specials.name.dragon_cracking_blaze","الحريق المحطم"
"specials.name.dragon_crackling_blaze_smoldercoil","الحريق المحطم"
"specials.name.dragon_crashing_blaze","الحريق الجائح"
"specials.name.dragon_crippling_blaze","الحريق الكاسح"
"specials.name.dragon_crippling_blaze_belzaas","الحريق الكاسح"
"specials.name.dragon_crushing_blaze","اللهيب الساحق"
"specials.name.dragon_dampening_blaze","لهب خامد"
"specials.name.dragon_dampening_blaze_phebix","لهب خامد"
"specials.name.dragon_dazing_blaze","اللهيب المذهل"
"specials.name.dragon_delivery_service","خدمة توصيل التنين"
"specials.name.dragon_destabilizing_blaze","شعلة الفوضى"
"specials.name.dragon_devastating_blaze","اللهيب المدمر"
"specials.name.dragon_disarming_blaze","حريق نزع السلاح"
"specials.name.dragon_draining_blaze","اللهيب المستنزف"
"specials.name.dragon_empowering_breath","النفس المشجع"
"specials.name.dragon_empowering_breath_cruug","النفس المشجع"
"specials.name.dragon_esoteric_flame","لهب خاص"
"specials.name.dragon_fang","ناب التنين"
"specials.name.dragon_fiery_blaze","لهب متقد"
"specials.name.dragon_flames_of_acceleration","نيران التسارع"
"specials.name.dragon_fortifying_flame","لهب محصِّن"
"specials.name.dragon_inspirational_breath","نفس ملهم"
"specials.name.dragon_mana_infused_breath","نفحة معززة بالقوة"
"specials.name.dragon_mindless_blaze","الحريق المجنون"
"specials.name.dragon_novices_blaze","لهب جديد"
"specials.name.dragon_pacifying_breath","النفس المهدئ"
"specials.name.dragon_protective_breath","نفس حامٍ"
"specials.name.dragon_rallying_breath","نفس الحشد"
"specials.name.dragon_rallying_breath_trezoro","نفس الحشد"
"specials.name.dragon_resuscitating_breath","نفس إفاقة"
"specials.name.dragon_revitalizing_breath","نفس إنعاش"
"specials.name.dragon_sacred_flame","لهب مقدس"
"specials.name.dragon_sacred_flame_harmonis","لهب مقدس"
"specials.name.dragon_sacred_flame_velmuthraal","لهب مقدس"
"specials.name.dragon_searing_blaze","الشعلة المحرقة"
"specials.name.dragon_shielding_breath","النفث الواقي"
"specials.name.dragon_shocking_blaze","اللهيب الصادم"
"specials.name.dragon_shocking_blaze_qillix","اللهيب الصادم"
"specials.name.dragon_spring_breath","نفحة الربيع"
"specials.name.dragon_spring_breath_erudius","نفحة الربيع"
"specials.name.dragon_strengthening_flame","لهب مقوٍِّ"
"specials.name.dragon_summer_blaze","لهيب الصيف"
"specials.name.dragon_volcanic_blaze","اللهيب البركاني"
"specials.name.dragon_weakening_blaze","لهب مضعف"
"specials.name.dragon_weakening_blaze_ashenheart","لهب مضعف"
"specials.name.dragon_weakening_blaze_fauran","لهب مضعف"
"specials.name.dragon_weakening_blaze_gonthrox","لهب مضعف"
"specials.name.dragon_wounding_blaze","لهب جارح"
"specials.name.dragon_wounding_blaze_ceestraze","لهب جارح"
"specials.name.dragon_wounding_blaze_froastyx","لهب جارح"
"specials.name.dragon_wounding_blaze_talonshine","لهب جارح"
"specials.name.dragon_wrecking_blaze","الحريق المدمر"
"specials.name.dragon_wrecking_blaze_rangifer","الحريق المدمر"
"specials.name.dragon_wrecking_blaze_thenzar","الحريق المدمر"
"specials.name.drain_strike","ضربة الاستنزاف"
"specials.name.draining_blade","نصل الإضعاف"
"specials.name.drawn_to_the_depths","الانجذاب إلى الأعماق"
"specials.name.dread_hammer","مطرقة الرهبة"
"specials.name.dreaded_swords","السيوف المخيفة"
"specials.name.dreaded_waters","مياه مروعة"
"specials.name.dreadful_riddle","ألغاز مروعة"
"specials.name.dreadstrike","ضربة مرعبة"
"specials.name.dreams_of_nourishment","أحلام التغذية"
"specials.name.dress_up","تأنق!"
"specials.name.drowsy_bolt","صاعقة منومة"
"specials.name.drum_chain","سلسلة طبول إبو"
"specials.name.dual_axes","الفؤوس المزدوجة"
"specials.name.dual_blades","نصل مزدوج"
"specials.name.dual_data_blades","نصل البيانات المزدوج"
"specials.name.dual_laser_blades","نصول ليزر مزدوجة"
"specials.name.dual_slash","شطب مزدوج"
"specials.name.dual_sting","اللدغة المزدوجة"
"specials.name.dubious_cuisine","وجبة مريبة"
"specials.name.dubious_cuisine_catastrophic_kitchen_failure","فشل كارثي في المطبخ"
"specials.name.dubious_cuisine_exquisite_food","طعام شهي"
"specials.name.dubious_cuisine_rotten_food","طعام فاسد"
"specials.name.dubious_merchandise","بضاعة مشبوهة"
"specials.name.dubious_mixture","مزيج مشبوه"
"specials.name.dum_and_dee","دام ودي"
"specials.name.dusk_dust","غبار المغيب"
"specials.name.dusk_till_dawn","من الغروب إلى الشروق"
"specials.name.dust_to_dust","تراب إلى تراب"
"specials.name.dwarven_flourish","القزم المزدهر"
"specials.name.dwarven_kings_levy","ليفي ملك الأقزام"
"specials.name.dwarven_recharge","إعادة شحن القزم"
"specials.name.easy_breezy_aura","الهالة المتسأهلة"
"specials.name.echoes_of_ice","أصداء الثلج"
"specials.name.echoes_of_pain","أصداء الألم"
"specials.name.echoes_of_the_opera","أصداء الأوبرا"
"specials.name.eclipse_shield","درع الكسوف"
"specials.name.eclipse_spear","رمح الكسوف"
"specials.name.educated_exorcism","طرد أرواح مدروس"
"specials.name.egg_barrage","وابل البيض"
"specials.name.elders_remedy","علاج المسن"
"specials.name.eldritch_blight","لعنة الشعوذة"
"specials.name.eldritch_sign_bolts","مسامير لافتة الشعوذة"
"specials.name.electric_cut","القطع الكهربائي"
"specials.name.electric_dragonfire","نار التنين الكهربائية"
"specials.name.electric_jolt","صدمة كهربائية"
"specials.name.electric_stab","طعنة كهربائية"
"specials.name.electric_sting_dragon_pve","اللدغة الكهربائية"
"specials.name.electrified_claws","مخالب كهربية"
"specials.name.electrified_claws_ultimate_boss","مخالب كهربية"
"specials.name.electrifying_gust_dragon_pve","عصفة كهربائية"
"specials.name.elegant_pulverizer","الساحقة الراقية"
"specials.name.elemental_corruption","فساد العناصر"
"specials.name.elemental_infusion_arrow","سهم عنصر الانصهار"
"specials.name.elemental_infusion_arrow_pve","سهم عنصر الانصهار"
"specials.name.elemental_magic","السحر العنصري"
"specials.name.emboldened_strike","ضربة مشجِّعة"
"specials.name.emerald_dual_blade","النصل الزمردي المزدوج"
"specials.name.emerald_flash","البرق الزمردي"
"specials.name.emerald_tide","جزر الزمرد"
"specials.name.emerald_wind","رياح الزمرد"
"specials.name.empowered_slash","قطع معزز"
"specials.name.empowering_bash","الضربة المشجعة"
"specials.name.empowering_bash_deadly","الضربة المشجعة"
"specials.name.en_garde","استعد"
"specials.name.enchanted_antlers","القرون المسحورة"
"specials.name.enchanted_axe_swing","تلويحة الفأس المحسنة"
"specials.name.enchanted_edge","الحافة المسحورة"
"specials.name.enchanted_elven_sword","سيف الأقزام المسحور"
"specials.name.enchanted_symphony","سيمفونية مسحورة"
"specials.name.enchanting_divination","النبوءة الساحرة"
"specials.name.enchanting_melody","لحن مسحور"
"specials.name.endless_daggers","الخناجر اللانهائية"
"specials.name.endless_maze","متاهة لا نهائية"
"specials.name.energy_conjunction","اندماج الطاقة"
"specials.name.energy_of_mjolnir","طاقة مجولنير"
"specials.name.energy_steal_dragon_pve","سرقة الطاقة"
"specials.name.engulfing_candlelight","ضوء الشمعة الغامر"
"specials.name.entangling_shot","الطلقة المشركة"
"specials.name.entrapping_enchantment","سحر خادع"
"specials.name.erase_strength","مسح القوة"
"specials.name.erupting_slices","القطع المنفجرة"
"specials.name.esprit_de_corps","روح الفريق"
"specials.name.essence_of_queen_nitocris","جوهر الملكة نيتوكريس"
"specials.name.eternal_bond","رباط أبدي"
"specials.name.eternal_ishq","العشق الأبدي"
"specials.name.eternal_loyalty","الوفاء الأبدي"
"specials.name.eternal_servitude","العبودية الأبدية"
"specials.name.ethereal","شبح"
"specials.name.evading_dash","اندفاع التفادي"
"specials.name.everlasting_wound","جرح أبدي"
"specials.name.excalibur","إكسكاليبر"
"specials.name.excorcizing_arrow","سهم طرد الأرواح الشريرة"
"specials.name.explosive_goo_minions","تحقيق التابع"
"specials.name.explosive_o_lantern","المصباح المتفجر"
"specials.name.express_delivery","توصيل سريع"
"specials.name.exquisite_alchemy","الخيمياء الرائعة"
"specials.name.exquisite_victuals","مؤن رائعة"
"specials.name.exquisite_victuals_pve_advanced","مؤن رائعة"
"specials.name.exquisite_victuals_pve_normal","مؤن رائعة"
"specials.name.exterminators_ploy","دهاء المبيد"
"specials.name.eye_of_panther","عين الكوجر"
"specials.name.eye_of_the_storm","عين العاصفة"
"specials.name.eye_of_yog-sir","عين السيد يوغ"
"specials.name.fabled_fist","القبضة الأسطورية"
"specials.name.fabled_llama_ballad","لاما بالاد الخرافي"
"specials.name.fairy_godmothers_blessing","بركة العرابة الساحرة"
"specials.name.faithful_force","قوة الإيمان"
"specials.name.falcon_screech","صيحة الصقر"
"specials.name.false_treat","المتعة الزائفة"
"specials.name.familiar_eater","آكل التوابع"
"specials.name.familiar_witchcraft","أعمال سحر مألوفة"
"specials.name.fangs_and_blades","أنياب وأمصال"
"specials.name.fangs_of_death","أنياب العذاب"
"specials.name.farmhands_fury","غضب عامل المزرعة"
"specials.name.fatal_dreams","الأحلام القاتلة"
"specials.name.fatal_finisher","الضربة النهائية المميتة"
"specials.name.fearless_charge","الاندفاع الباسل"
"specials.name.feather_tempest","عاصفة الريش"
"specials.name.feathered_embrace","عناق من الريش"
"specials.name.feline_constellation","القط النجمي"
"specials.name.feral_arrows","سهام شرسة"
"specials.name.feral_bite","لدغة وحشية"
"specials.name.feral_gust_dragon_pve","عصفة وحشية"
"specials.name.feral_peck","نقرة وحشية"
"specials.name.feral_revenge","انتقام وحشي"
"specials.name.feral_swing","ضربة وحشية"
"specials.name.feyfire_slash","ضربة فيفاير القاطعة"
"specials.name.field_aid","شفاء الجراح الطفيفة"
"specials.name.field_surgery","شفاء الجراح الخطيرة"
"specials.name.fiendslayer","قاتل شيطاني"
"specials.name.fierce_fu_jow_pai","فو جو باي شرس"
"specials.name.fierce_pierce","الاختراق الشرس"
"specials.name.fierce_slash","شطب وحشي"
"specials.name.fiery_charge","الهجوم المتقد"
"specials.name.fiery_performance","أداء مشتعل"
"specials.name.fiery_revenge","الانتقام الناري"
"specials.name.fire_barrier_dragon_pve","حاجز النار"
"specials.name.fire_bolt_zidane","صعقة النار"
"specials.name.fire_storm","عاصفة نارية"
"specials.name.fire_tiger","النمور النارية"
"specials.name.fireball","كرة نارية"
"specials.name.fireball_single","كرة نارية"
"specials.name.fireblade_slash","شطب فايربلايد"
"specials.name.fires_of_ragnarok","نيران راغناروك"
"specials.name.fires_of_ragnarok_final","نيران راغناروك"
"specials.name.firestone_daggers","خناجر حجر النار"
"specials.name.firewall","الجدار الناري"
"specials.name.firing_on_all_cylinders","الضربات المتلاحقة"
"specials.name.first_frost","الصقيع الأولي"
"specials.name.first_law_of_thermodynamics","القانون الأول للديناميكا الحرارية"
"specials.name.fishbone_blades","نصال عظام السمك"
"specials.name.fists_of_atonement","قبضات الغفران"
"specials.name.flail_of_destruction","كاسحة الدمار"
"specials.name.flail_swing","ضربة كاسحة"
"specials.name.flails_of_fury","سلاح الغضب!"
"specials.name.flame_of_the_dragon_familiar","لهيب معهود التنين"
"specials.name.flame_of_the_lioness","لهيب الأسد"
"specials.name.flame_storm","عاصفة اللهب"
"specials.name.flame_surge","تدفق اللهيب"
"specials.name.flames_and_rejuvenation","النيران والإحياء"
"specials.name.flames_and_rejuvenation_pve","النيران والإحياء"
"specials.name.flames_of_revenge","نيران الانتقام"
"specials.name.flaming_fury","الغضب المشتعل"
"specials.name.flaming_grudge","الحقد المشتعل"
"specials.name.flaming_mandibles","الفك المشتعل"
"specials.name.flaming_rapier","السيف المشتعل"
"specials.name.flaming_rapier_pve","السيف المشتعل"
"specials.name.flaming_sword","السيف المشتعل"
"specials.name.flanking_maneuver","مناورة الحصار"
"specials.name.flanking_maneuver_pve","مناورة الحصار"
"specials.name.flare","نفس النار"
"specials.name.flat_cake_for_sweethearts","كعكة مسطحة للأحبة"
"specials.name.flat_cake_for_sweethearts_pve","كعكة مسطحة للأحبة"
"specials.name.flawless_shot","ضربة لا تشوبها شائبة"
"specials.name.flock_of_folly_eldwren","قطيع الحماقة"
"specials.name.floral_sting","لدغة الزهور"
"specials.name.flower_arrangements","تنسيقات الزهور"
"specials.name.flower_of_kindness","أزهار الطيبة"
"specials.name.flowing_dragon_dual_slash","ضربة التنين المتدفقة المزدوجة"
"specials.name.fluff_in_the_air","الزغب في الأجواء"
"specials.name.flurry_of_blows","سيل الضربات"
"specials.name.flurry_of_slashes","وابل من الضربات القاطعة"
"specials.name.flurry_of_slashes_deadly","وابل من الضربات القاطعة"
"specials.name.flute_of_enchantment","مزمار السحر"
"specials.name.flying_front_kick","ركلة أمامية طائرة"
"specials.name.focused_shot","طلقة مركزة"
"specials.name.fog_machine","ضباب آلة الدخان"
"specials.name.fog_of_the_fallen","ضباب الساقطين"
"specials.name.fog_of_the_glass_sabina","ضباب الفيتريل"
"specials.name.fog_of_the_perished","ضباب الهالكين"
"specials.name.fog_of_the_stylish","ضباب العصري"
"specials.name.fog_of_the_toons","ضباب الكرتون"
"specials.name.fog_of_the_vitrails","ضباب الفيتريل"
"specials.name.for_queen_and_hollow","لصالح الملكة والتجويف"
"specials.name.force_of_forest","قوة الغابة"
"specials.name.forceful_advance","التقدم العنيف"
"specials.name.forest_breath","أنفاس الغابة"
"specials.name.forest_command","قيادة الغابة"
"specials.name.forest_friends","أصدقاء الغابة"
"specials.name.forge_rush","جنون الحديد"
"specials.name.forged_axe_of_light","فأس النور الزائف"
"specials.name.forged_from_gold","مصنوع من الذهب"
"specials.name.forged_in_fire","مصنوع في النار"
"specials.name.fortunate_slice","ضربة حظ"
"specials.name.fracturing_cut","القطع المدمر"
"specials.name.fracturing_shards","الشظايا المدمرة"
"specials.name.fracturing_slash","ضربة مدمِّرة"
"specials.name.frantic_pincers","كماشة محمومة"
"specials.name.freezing_cold_cutter","قاطعة باردة"
"specials.name.freezing_crystal","بلورة التجميد"
"specials.name.freezing_fairy_mist","رذاذ الجنية المتجمد"
"specials.name.freezing_power_hooks","لكمات القوة المتجمدة"
"specials.name.frenzied_rend","شق الاضطراب"
"specials.name.frenzy_plant","نبتة الجنون"
"specials.name.friendly_critters_feast","وليمة المخلوقات الودودة"
"specials.name.frightening_pinch","رمح أطلنطي"
"specials.name.frightstrike","ضربة مخيفة"
"specials.name.frogs_and_hoop","الضفادع والطوق"
"specials.name.from_shadows","من الظلال"
"specials.name.from_shadows_pve","من الظلال"
"specials.name.frost_and_rime","جليد وصقيع"
"specials.name.frost_bound_blade","نصل مصقع"
"specials.name.frostbite","عضة الصقيع"
"specials.name.frostbolt_dragon_pve","صاعقة الجليد"
"specials.name.frostbound_smash","ضربة الصقيع الساحقة"
"specials.name.frostneedle","إبرة الصقيع"
"specials.name.frosty_axes","الفؤوس المجلّدة"
"specials.name.frosty_punches","اللكمات المتجمدة"
"specials.name.frozen_orb","المدار المتجمد"
"specials.name.frozen_path","طريق نهري"
"specials.name.frozen_wind","رياح متجمدة"
"specials.name.frozen_wind_pve","رياح متجمدة"
"specials.name.fruit_cocktail","كوكتيل الفاكهة"
"specials.name.fruits_of_kindness","فاكهة العطف"
"specials.name.fruits_of_labor","جرعة جيدة من الثوم"
"specials.name.fullmetal_pelt","فراء معدني"
"specials.name.furious_bite","عضة غاضبة"
"specials.name.furious_boar","الخنزير الغاضب"
"specials.name.furious_flames","النيران الغاضبة"
"specials.name.furry_loggers_swing","تسديدة الحطَّاب الفرائي"
"specials.name.fury_of_ash","غضب الرماد"
"specials.name.fury_of_grimnir","غضب جريمنر"
"specials.name.fury_of_the_ancient_forest","غضب الغابة القديمة"
"specials.name.fury_of_the_fire_giants","غضب عمالقة النار"
"specials.name.fury_of_the_fire_giants_final","غضب عمالقة النار"
"specials.name.fury_of_the_mountain_lord","غضب سيد الجبل"
"specials.name.fury_of_the_silverback","غضب الغوريلا فضية الظهر"
"specials.name.fusiliers_flurry","غضب حامل البندقية"
"specials.name.gallant_stance","الموقف الباسل"
"specials.name.gamblers_stance","موقف المراهن"
"specials.name.gamblers_swing","ضربة المقامر"
"specials.name.garbage_shock_wave","موجة القمامة الصادمة"
"specials.name.gardeners_remedy","علاج البستاني"
"specials.name.gargantuan_bite","القضمة الهائلة"
"specials.name.gargoyles_of_redemption","مزاريب الخلاص"
"specials.name.gargoyles_of_redemption_pve","مزاريب الخلاص"
"specials.name.gargoyles_of_restoration","مزاريب الإصلاح"
"specials.name.garlic_serving_edwin","طبق الثوم"
"specials.name.gaze_of_the_underworld","نظرة العالم السفلي"
"specials.name.generous_gifts","الهدايا السخية"
"specials.name.gentle_paw","الكف اللطيف"
"specials.name.gentlemans_cane","عصا الرجل النبيل"
"specials.name.gentlemans_transformation","تحول الرجل الأنيق"
"specials.name.giddy_jab_dragon_pve","اللكمة المسببة للدوار"
"specials.name.gift_list","قائمة الهدايا"
"specials.name.gift_of_rejuvenation","هبة الإحياء"
"specials.name.gift_of_rock","هدية الصخرة"
"specials.name.giftsack","كيس الهدايا"
"specials.name.gilded_antlers","القرون المطلية بالذهب"
"specials.name.glacial_atmosphere","جو جليدي"
"specials.name.glacial_crusher","الكسارة الجليدية"
"specials.name.glacial_explosion","انفجار جليدي"
"specials.name.glacial_fissure_cleave","الشق الجليدي المتصدع"
"specials.name.glacial_resilience","مرونة جليدية"
"specials.name.glacial_shatter","انهيار جليدي"
"specials.name.glacial_vortex","الدوامة الجليدية"
"specials.name.glaive_of_flames","سيف اللهب"
"specials.name.glass_anger_of_forest_horghall","غضب الشظايا"
"specials.name.glass_arrow","السهم الزجاجي"
"specials.name.glass_barrage_scarlett","القصف الزجاجي"
"specials.name.glass_beam","أشعة زجاجية"
"specials.name.glass_bite","عضة الزجاج"
"specials.name.glass_bolt","الصعقة الزجاجية"
"specials.name.glass_brew","مشروب زجاجي"
"specials.name.glass_burning_strike","الصدمة الزجاجية"
"specials.name.glass_chop","الضربة الزجاجية"
"specials.name.glass_cleave","الشق الزجاجي"
"specials.name.glass_cold_blast_ulmer","العاصفة الثلجية الزجاجية"
"specials.name.glass_cut","القطع الزجاجي"
"specials.name.glass_cut_chao","قطع فيتريل"
"specials.name.glass_entangling_shot","السهم الزجاجي"
"specials.name.glass_finisher_thorne","المُصفّي الزجاجي"
"specials.name.glass_fireball","الكرة النارية الزجاجية"
"specials.name.glass_flame_smash","الضربة النارية الزجاجية"
"specials.name.glass_four_blades","ضربة النصال الزجاجية"
"specials.name.glass_fury","غضب الزجاج"
"specials.name.glass_gamblers_stance","وقفة الزجاج"
"specials.name.glass_hammer","المطرقة الزجاجية"
"specials.name.glass_have_faith","الثقة الواضحة"
"specials.name.glass_heal","العلاج الزجاجي"
"specials.name.glass_jolt","الصعقة الزجاجية"
"specials.name.glass_kick","ضرب الزجاج"
"specials.name.glass_leaping_attack_dawa","المهاجم الزجاجي"
"specials.name.glass_leeching_stars_renfeld","النجوم الزجاجية"
"specials.name.glass_link","الرابط الزجاجي"
"specials.name.glass_massive_chop","الضربة الزجاجية"
"specials.name.glass_mist","الضباب الزجاجي"
"specials.name.glass_order","أمر فيتريل"
"specials.name.glass_peck","نقر الزجاج"
"specials.name.glass_piercing_hit_tyrum","الضربة الزجاجية"
"specials.name.glass_piercing_strike","الصدمة الزجاجية"
"specials.name.glass_prayer","اللاعب الزجاجي"
"specials.name.glass_pulverizer","الساحق الزجاجي"
"specials.name.glass_pulverizer_tiburtus","الساحق الزجاجي"
"specials.name.glass_purification","التحويل إلى زجاج"
"specials.name.glass_ramming_rush","هجوم الزجاج"
"specials.name.glass_ramming_rush_isshtak","هجوم الزجاج"
"specials.name.glass_riposte","الرد الزجاجي"
"specials.name.glass_riposte_boril","الرد الزجاجي"
"specials.name.glass_shatter","تكسير الزجاج"
"specials.name.glass_shield_kadilen","الدرع الزجاجي"
"specials.name.glass_skin","المظهر الزجاجي"
"specials.name.glass_slam","الضربة الزجاجية"
"specials.name.glass_slash","القطع الزجاجي"
"specials.name.glass_spear","الرمح الزجاجي"
"specials.name.glass_stab","الطعنة الزجاجية"
"specials.name.glass_stone_skin_gunnar","الرابط الزجاجي"
"specials.name.glass_strike","الصدمة الزجاجية"
"specials.name.glass_strike_caedmon","الصدمة الزجاجية"
"specials.name.glass_strike_magni","الصدمة الزجاجية"
"specials.name.glass_swords","حائط الزجاج"
"specials.name.glass_thunderstrike_quintus","الإنذار الزجاجي"
"specials.name.glass_traps_oberon","فخاخ الزجاج"
"specials.name.glass_vines","الأشواك الزجاجية"
"specials.name.glass_volcano","البركان الزجاجي"
"specials.name.glass_wall","حائط الزجاج"
"specials.name.glass_warcry","صرخة الحرب الزجاجية"
"specials.name.gleaming_gemstones","الأحجار الكريمة المتلألئة"
"specials.name.gleaming_sword_and_iron_mail","السيف اللامع والبريد الحديدي"
"specials.name.glittering_sweep_dragon_pve","الإطاحة اللامعة"
"specials.name.globetrotting_gifts","هدايا السفر حول العالم"
"specials.name.gloom_grenades","قنابل الشؤم اليدوية"
"specials.name.gloomy_tune","اللحن الكئيب"
"specials.name.glorious_grace","جلالة رائعة"
"specials.name.glutinous_execution","الإعدام اللزج"
"specials.name.gluttonous_chomp_blue","قضمة شرهة"
"specials.name.gluttonous_chomp_green","قضمة شرهة"
"specials.name.gluttonous_chomp_purple","قضمة شرهة"
"specials.name.gluttonous_chomp_red","قضمة شرهة"
"specials.name.gluttonous_chomp_yellow","قضمة شرهة"
"specials.name.gnomish_carnage","مذبحة الأقزام"
"specials.name.goat_rush","هجوم الماعز"
"specials.name.goblin_explosives","متفجرات الجني"
"specials.name.goblin_serenade","معزوفة الجن"
"specials.name.god_of_the_underworld","ضربة العالم السفلي"
"specials.name.gold_gauntlet","القفاز الذهبي"
"specials.name.gold_rush","اندفاع الذهب"
"specials.name.gold_weaver","الحائك الذهبي"
"specials.name.golden_aura","الهالة الذهبية"
"specials.name.golden_cicada","حشرة السيكادا الذهبية"
"specials.name.golden_sacred_symbol","الرمز الذهبي المقدس"
"specials.name.golden_thread","الأحبال الذهبية"
"specials.name.golem_crusher","ساحق الجولم"
"specials.name.goodnight_lullaby","أغنية النوم"
"specials.name.gooey_rose","الزهرة اللزجة"
"specials.name.gorging_bite_yellow","القضمة المفترسة"
"specials.name.gorging_chew_blue","المضغ الشره"
"specials.name.gorging_chew_green","المضغ الشره"
"specials.name.gorging_chew_purple","المضغ الشره"
"specials.name.gorging_chew_red","المضغ الشره"
"specials.name.gorging_chew_yellow","المضغ الشره"
"specials.name.gorgyra","صرامة فالكيري"
"specials.name.grab_and_run","اغتنم واهرب"
"specials.name.graceful_shot","طلقة رشيقة"
"specials.name.graceless_ritual","طقوس الخمول"
"specials.name.grand_heist","السرقة الكبرى"
"specials.name.great_frost_axe","فأس الصقيع العظيم"
"specials.name.great_frost_hoe","مجرفة الصقيع العظيمة"
"specials.name.greed_and_bribery","الجشع والرشوة"
"specials.name.greedy_munch_red","افتراس نهم"
"specials.name.green_dragon_crescent_blade","نصل التنين الأخضر الهلالي"
"specials.name.green_dragon_inferno","نصل جحيم التنين الأخضر"
"specials.name.green_sparks_dragon_pve","الشرارت الخضراء"
"specials.name.greeting_of_the_sun","تحية الشمس"
"specials.name.grim_awakening","صحوة الظلام"
"specials.name.grimoire_skim","خداع جريمويري"
"specials.name.grips_of_longing","قبضات الشوق"
"specials.name.grips_of_longing_pve","قبضات الشوق"
"specials.name.grove_splash_dragon_pve","لطمة الغابة"
"specials.name.gruesome_charge","هجوم مروع"
"specials.name.guard_the_garden","حراسة الحديقة!"
"specials.name.guardian_armor","درع الحارس"
"specials.name.guardians_retaliation","مزاريب الانتقام"
"specials.name.guarding_tunes","ألحان حارسة"
"specials.name.guiding_arrow","السهم الإرشادي"
"specials.name.gust_of_restoration","عصفة الاستعادة"
"specials.name.gust_of_swiftness","عصفة السرعة"
"specials.name.hack_and_slash","اخترق واقطع"
"specials.name.hacking_attack","هجزم قرصنة"
"specials.name.hailstone_glare_dragon_pve","وهج حبات البرد"
"specials.name.hailstorm","العاصفة الثلجية"
"specials.name.halflings_wisdom","ذكاء القزم"
"specials.name.halflings_wit","ذكاء القزم"
"specials.name.hallowed_blade","النصل المقدس"
