"herocard.passive_skill.description.addmana.all.allies","Все союзники получают небольшое количество маны."
"herocard.passive_skill.description.ransack","В начале каждого хода этот герой грабит случайного врага:

Крадет {DAMAGE} здоровья.
Безопасно крадет у врага усиление, эффект роста или складываемый положительный эффект. К ним относятся эффекты танцев и усиления, которые нельзя снять."
"herocard.passive_skill.description.ransack.chance","В начале каждого хода у этого героя есть {CHANCE} % шанс ограбить случайного врага:Ограбление:

Крадет {DAMAGE} здоровья.
Безопасно крадет у врага усиление, эффект роста или складываемый положительный эффект. К ним относятся эффекты танцев и усиления, которые нельзя снять.
 При безопасном воровстве не срабатывают вторичные эффекты снимаемого усиления, например урон при снятии. Пассивные навыки и эффекты семьи все равно могут активироваться."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest","Когда герой использует особый навык, с вероятностью {CHANCE} % он может украсть последнее снимаемое усиление у врага (при наличии). Если у врагов нет усилений, наносит {DAMAGE} % урона всем врагам."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest.randomenemytarget","Когда герой использует особый навык, с вероятностью {CHANCE} % он может украсть последнее снимаемое усиление у врага (при наличии). Если у врагов нет усилений, наносит {DAMAGE} % урона всем врагам."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.heal.always.minordebuff.newest","Когда этот герой использует свой особый навык, он переносит последнее снимаемое ослабление статуса с себя на цель. Если особым навыком нельзя нацелить на врага, выбирается случайный враг. Если у героя нет снимаемых ослаблений статуса, он восстанавливает {HEALTH} % здоровья."
"herocard.passive_skill.description.receivedeffectreplacement.minordebuff","{REPLACEMENTCHANCE} % шанс заменить негативные эффекты на соответствующие позитивные."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage","Этот герой получает меньше урона стихией от отрядов более сильной стихии.

Получаемый урон стихией: -{MODIFIER} %"
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.combined","Получает на {MODIFIER} % меньше урона от отрядов более сильной стихии."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.increase.dragon","На {MODIFIER} % больше стихийного урона от огненных шаров более сильной стихии."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single","Когда персонаж впервые получает смертельный урон, вместо этого он перенаправляет этот урон на случайного врага.

 В боях с несколькими волнами эффект обновляется в начале каждой волны."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single.battle","Когда персонаж впервые получает смертельный урон, вместо этого он перенаправляет этот урон на случайного врага. (Осталось активаций: {ACTIVATIONSLEFT})"
"herocard.passive_skill.description.reflectstatuseffect.with_chance","{CHANCE} % дополнительной вероятности отразить недуг в атакующего."
"herocard.passive_skill.description.removebasestatmodifiers.removenegative.from.all.allies","Каждые {TURNS} х. снимает все эффекты увядания со всех союзников."
"herocard.passive_skill.description.removebasestatmodifiers.removepositive.from.all.enemies","Каждые {TURNS} х. снимает все эффекты роста со всех врагов."
"herocard.passive_skill.description.repaircoreintrinsicchargeeffectonspecial.healthboost.all.allies.always","Структурное ядро этого героя — восстановительное.

Восстановительное ядро активируется каждый раз, когда герой использует особый навык:

 При полностью заряженном восстановительном ядре здоровье всех союзников увеличивается на {CHARGEDPOWER1} %. 
 Лечение зависит от заряда ядра. Весь заряд истощается при активации ядра."
"herocard.passive_skill.description.repeatspecial","{REPEATCHANCE} % шанса повторить особый навык героя {REPEATS} раз(а)."
"herocard.passive_skill.description.resist.accuracymodifiers","Персонаж обладает иммунитетом к недугам, которые влияют на меткость. Не применяется к исходным эффектам статуса союзников."
"herocard.passive_skill.description.resist.alldebuffs.alldebuffs","Персонаж обладает иммунитетом к недугам и негативным складываемым эффектам статуса."
"herocard.passive_skill.description.resist.alldebuffs.buffdispels.with_chance","+{CHANCE} % шанса сопротивления всем недугам и снятию усилений."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.attackwither.defensewither.alldebuffs.with_chance","{CHANCE} % шанса сопротивления всем недугам, уменьшению маны и снятию усилений."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.insanity.with_chance","+{CHANCE} % шанса сопротивления всем недугам, уменьшению маны, снятию усилений и безумию."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.with_chance","+{CHANCE} % шанса сопротивления всем недугам, уменьшению маны и снятию усилений."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.with_chance.with_effect.addmana","+{CHANCE} % шанса сопротивления всем недугам, уменьшению маны и снятию усилений. Даёт {MANA} % маны при каждом успешном сопротивлени."
"herocard.passive_skill.description.resist.alldebuffs.with_chance","+{CHANCE} % шанса сопротивления всем недугам."
"herocard.passive_skill.description.resist.alldefensemodifiers.alldebuffs","Персонаж обладает иммунитетом к недугам, которые влияют на защиту. Также применяется к недугам, влияющим на защиту от стихий."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.alldebuffs","Персонаж обладает иммунитетом к недугам, накапливаемым эффектам и эффектам увядания, которые влияют на защиту."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.allstatuseffects","На этого персонажа не действуют эффекты, которые увеличивают или уменьшают защиту.

К ним относятся усиления эффектов статуса, недуги, накапливаемые эффекты, а также эффекты увядания и роста."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.defensegrowth.allstatuseffectsandstacks","Этот персонаж не подвержен эффектам, усиливающим или уменьшающим защиту.

В это число входят
 усиления и недуги
; положительные и отрицательные складываемые эффекты
; эффекты роста и увядания"
"herocard.passive_skill.description.resist.alldefensemodifiersincludingwither.allstatuseffects","На этого персонажа не действуют эффекты, которые увеличивают или уменьшают защиту.

К ним относятся усиления эффектов статуса, недуги, накапливаемые эффекты, а также эффекты увядания и роста."
"herocard.passive_skill.description.resist.allmanaeffects.alldebuffs","Персонаж обладает иммунитетом к недугам и негативным складываемым эффектам, которые влияют на генерацию маны. Применяется также к недугам, которые блокируют или крадут ману."
"herocard.passive_skill.description.resist.allmanaeffects.manareduction.alldebuffs","Персонаж обладает иммунитетом к недугам и негативным складываемым эффектам, которые влияют на генерацию маны. Применяется также к недугам, которые блокируют или крадут ману."
"herocard.passive_skill.description.resist.allstatuseffectdamage.none","Персонаж обладает иммунитетом к урону от эффектов статуса и негативным накапливаемым эффектам статуса."
"herocard.passive_skill.description.resist.attackdelay","Обычную атаку этого персонажа нельзя отложить."
"herocard.passive_skill.description.resist.attackdelay.alldebuffs","Обычную атаку этого персонажа нельзя отложить."
"herocard.passive_skill.description.resist.attackmodifiers","Персонаж обладает иммунитетом к недугам, которые влияют на атаку."
"herocard.passive_skill.description.resist.attackmodifiers.allstatuseffectsandstacks","Персонаж обладает иммунитетом ко всем эффектам, в том числе складываемым, которые влияют на атаку. Это касается и усилений эффектов статуса."
"herocard.passive_skill.description.resist.attackmodifiers.attackwither.alldebuffs","Персонаж обладает иммунитетом к недугам, накапливаемым эффектам и эффектам увядания, которые влияют на атаку."
"herocard.passive_skill.description.resist.attackmodifiers.attackwither.attackgrowth.allstatuseffectsandstacks","Персонаж обладает иммунитетом к эффектам, усиливающим или ослабляющим атаку.

Сюда относятся:
 усиливающие эффекты статуса и недуги
 положительные и отрицательные складываемые эффекты
 эффекты роста и увядания"
"herocard.passive_skill.description.resist.bleed","Персонаж обладает иммунитетом к недугам, которые наносят урон от кровотечения."
"herocard.passive_skill.description.resist.bleed.with_effect.healthboost.addmana","Герой обладает иммунитетом к недугам, наносящим урон от кровотечения, а при успешном сопротивлении увеличивает свое здоровье на {HEALTHBOOST} и получает {MANA} % маны."
"herocard.passive_skill.description.resist.buffdispels","Персонаж обладает иммунитетом к эффектам, снимающим усиления статуса."
"herocard.passive_skill.description.resist.buffdispels.none.with_chance","+{CHANCE} % шанса сопротивления снятию усилений."
"herocard.passive_skill.description.resist.buffimmunity","Персонаж обладает иммунитетом к эффектам, которые не дают получать новые усиления статуса."
"herocard.passive_skill.description.resist.burn","Персонаж обладает иммунитетом к недугам, которые наносят урон от ожога."
"herocard.passive_skill.description.resist.burn.with_effect.healthboost.addmana","Герой обладает иммунитетом к недугам, наносящим урон от ожога, а при успешном сопротивлении увеличивает свое здоровье на {HEALTHBOOST} и получает {MANA} % маны."
"herocard.passive_skill.description.resist.can_stack.alldebuffs","Персонаж обладает иммунитетом к недугам."
"herocard.passive_skill.description.resist.can_stack.alldebuffs.with_chance","+{CHANCE} % шанса сопротивления всем недугам."
"herocard.passive_skill.description.resist.criticalhits.none","Персонаж обладает иммунитетом к дополнительному урону и эффектам критических ударов."
"herocard.passive_skill.description.resist.defensemodifierdebuffs","Персонаж обладает иммунитетом к недугам, которые влияют на защиту. Не применяется к недугам, влияющим на защиту от стихий."
"herocard.passive_skill.description.resist.defensemodifiers.alldebuffs","Персонаж обладает иммунитетом к недугам и накапливаемым ослаблениям, которые влияют на защиту. Не применяется к недугам, влияющим на защиту от стихий."
"herocard.passive_skill.description.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","Иммунитет к эффектам, удаляющим прислужников.
 Нельзя помешать получению прислужников.
 Атаки и способности прислужников нельзя отключить."
"herocard.passive_skill.description.resist.frost","Персонаж обладает иммунитетом к недугам, которые наносят урон от мороза."
"herocard.passive_skill.description.resist.frost.with_effect.healthboost.addmana","Герой обладает иммунитетом к недугам, наносящим урон от мороза, а при успешном сопротивлении увеличивает свое здоровье на {HEALTHBOOST} и получает {MANA} % маны."
"herocard.passive_skill.description.resist.healeffects","Персонаж обладает иммунитетом к недугам, которые влияют на лечение."
"herocard.passive_skill.description.resist.healthsteal","Персонаж обладает иммунитетом к недугам, которые крадут здоровье."
"herocard.passive_skill.description.resist.insanity.permanentstatuseffects","Персонаж обладает иммунитетом к безумию."
"herocard.passive_skill.description.resist.manadebuffs","Персонаж обладает иммунитетом к недугам, которые влияют на ману."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking","Этот персонаж обладает иммунитетом к недугам, влияющим на генерацию маны или мешающим использованию особых навыков."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking.with_chance","Этот персонаж с вероятностью {CHANCE} % устоит против недугов, влияющих на ману или мешающих использованию особых навыков."
"herocard.passive_skill.description.resist.managenerationmodifiers.alldebuffs","Персонаж обладает иммунитетом к недугам и негативным складываемым эффектам, которые влияют на генерацию маны. Не применяется к недугам, которые останавливают генерацию маны или крадут ее."
"herocard.passive_skill.description.resist.manareduction","Персонаж обладает иммунитетом к уменьшению маны."
"herocard.passive_skill.description.resist.manareduction.alldebuffs.with_chance","+{CHANCE} % шанса сопротивления уменьшению маны."
"herocard.passive_skill.description.resist.manareduction.none.with_effect.healthboost.addmana","Герой обладает иммунитетом к уменьшению маны, а при успешном сопротивлении увеличивает свое здоровье на {HEALTHBOOST} и получает {MANA} % маны."
"herocard.passive_skill.description.resist.maxhealthreduction","Персонаж обладает иммунитетом к снижению максимального здоровья."
"herocard.passive_skill.description.resist.poison","Персонаж обладает иммунитетом к недугам, которые наносят урон от яда."
"herocard.passive_skill.description.resist.poison.burn.bleed","Персонаж обладает иммунитетом к недугам, которые наносят урон от яда, ожога или кровотечения."
"herocard.passive_skill.description.resist.possession.allstatuseffects","Персонаж обладает иммунитетом к эффектам статуса, вызывающим одержимость."
"herocard.passive_skill.description.resist.sand","Персонаж обладает иммунитетом к недугам, которые наносят урон от песка."
"herocard.passive_skill.description.resist.specialblocking","Этот персонаж обладает иммунитетом к недугам, мешающим использованию особых навыков."
"herocard.passive_skill.description.resist.specialblocking.with_chance","Этот персонаж с вероятностью {CHANCE} % устоит против недугов, мешающих использованию особых навыков."
"herocard.passive_skill.description.resist.specialblocking.with_effect.healthboost.addmana","Герой обладает иммунитетом к недугам, которые ограничивают использование особых навыков, а при успешном сопротивлении увеличивает свое здоровье на {HEALTHBOOST} и получает {MANA} % маны."
"herocard.passive_skill.description.resist.stopmanageneration","Персонаж обладает иммунитетом к недугам, которые останавливают генерацию маны."
"herocard.passive_skill.description.resist.water","Персонаж обладает иммунитетом к недугам, которые наносят урон от воды."
"herocard.passive_skill.description.resistdebuffsfromfamiliars.minion","Персонаж обладает иммунитетом к недугам от прислужников."
"herocard.passive_skill.description.resistfamiliarremoval.minion.bigminion","Персонаж обладает иммунитетом к недугам, отнимающим прислужников."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion","Персонаж обладает иммунитетом к отрицательным эффектам и урону от прислужников."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion.bigminion","Персонаж обладает иммунитетом к отрицательным эффектам и урону от прислужников и мегаприслужников."
"herocard.passive_skill.description.resistnewfamiliars.parasite","Персонаж не может получить паразитов."
"herocard.passive_skill.description.resistnewfamiliars.parasite.bigparasite","Персонаж не может получить паразитов или мегапаразитов."
"herocard.passive_skill.description.resistsupportcharacter.troop.alldebuffs.with_chance","+{CHANCE} % шанса сопротивления всем недугам."
"herocard.passive_skill.description.revivalchancemodifier.all.enemies","Шанс оживления снижается у всех врагов в битве. Он составляет {MODIFIER} % от исходного."
"herocard.passive_skill.description.revivalhealthmodifier.all.enemies.excluding.boss","Все враги, кроме боссов, при оживлении получают {HEALTHMODIFIER} % здоровья."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance","При поражении герой имеет шанс возродиться в виде хозяина жути. Шанс {CHANCEINCREASEPERSTEP} % за {INSANITYPERSTEP} ед. безумия у героя, до максимума {MAXCHANCEINCREASE} %. 

Хозяин жути получает:
{INHERITEDHEALTH} %  здоровья от героя. 
{ATTACK} атаки.
{DEFENSE} защиты.
Особый навык:

{ALTERNATIVEFORMSPECIALTITLE}
{ALTERNATIVEFORMSPECIALDESCRIPTION}

Если во время активации безумия герой уничтожает сам себя, то шанс становится равным {CHANCEONSELFCAUSEDDEATH} %."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance_temp","При поражении герой может возродиться в виде хозяина жути. Шанс {CHANCEINCREASEPERSTEP} % за {INSANITYPERSTEP} ед. безумия у героя, до максимума {MAXCHANCEINCREASE} %.

Хозяин жути получает:
{INHERITEDHEALTH} % здоровья от героя. 
{ATTACK} атаки.
{DEFENSE} защиты.
Следующий особый навык:

{ALTERNATIVEFORMSPECIALTITLE}
{ALTERNATIVEFORMSPECIALDESCRIPTION}"
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance","Когда этот герой повержен, с шансом {TOTALCHANCE} % в начале следующего хода он воскрешается с {HEALTH} % здоровья и {MANA} % маны. 

Активируется до {MAXACTIVATIONCOUNT} р. При каждой следующей активации шанс воскрешения уменьшается. Невозможно предотвратить недугом или пассивным навыком."
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance.ignoresreviveblockingdebuffs","Когда этот герой повержен, с шансом {TOTALCHANCE} % в начале следующего хода он воскрешается с {HEALTH} % здоровья и {MANA} % маны. 

Активируется до {MAXACTIVATIONCOUNT} р. При каждой следующей активации шанс воскрешения уменьшается. Невозможно предотвратить недугом или пассивным навыком."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Все баллады врагов длятся всего {TURNS} х."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Все танцы врагов длятся всего {TURNS} х."
"herocard.passive_skill.description.sharereceiveddamage","{SHAREDDAMAGEPORTION} % полученного героем урона делится со всеми другими союзниками."
"herocard.passive_skill.description.specialdamagereduction","Полученный урон уменьшается на {DAMAGEREDUCTION} % в первые {MAXACTIVATIONCOUNT} р., когда персонаж получает урон от особых навыков."
"herocard.passive_skill.description.specialdamagereduction.chance","У персонажа есть шанс {CHANCE} % снизить прямой урон от особых навыков до 1."
"herocard.passive_skill.description.specialdamagereductionsupportcharacter.troop","Полученный урон от особых навыков уменьшается на {DAMAGEREDUCTION} % для этого героя."
"herocard.passive_skill.description.startbattlewitheffect.addmana","Персонаж получает {MANA} % маны в начале битвы."
"herocard.passive_skill.description.statmodifier.attack","{ATTACKMULTIPLIER} % атаки."
"herocard.passive_skill.description.statmodifier.defense","{DEFENSEMULTIPLIER} % защиты."
"herocard.passive_skill.description.statmodifier.health","{HEALTHMULTIPLIER} % ОЗ."
"herocard.passive_skill.description.statmodifier.health.attack","{HEALTHMULTIPLIER} % ОЗ, {ATTACKMULTIPLIER} % атаки."
"herocard.passive_skill.description.statmodifier.health.defense","{HEALTHMULTIPLIER} % ОЗ, {DEFENSEMULTIPLIER} % защиты."
"herocard.passive_skill.description.statmodifier.health.defense.attack","{HEALTHMULTIPLIER} % ОЗ, {DEFENSEMULTIPLIER} % защиты, {ATTACKMULTIPLIER} % атаки."
"herocard.passive_skill.description.statuseffectattackmodifier.addition","Эффекты статуса, увеличивающие атаку, для этого героя на {MODIFIER} % более эффективны."
"herocard.passive_skill.description.statuseffectattackmodifier.all.allies.reduction","Уменьшает эффект недугов, влияющих на атаку, на {MODIFIER} %. Эффект применяется к герою и всем его союзникам в битве."
"herocard.passive_skill.description.statuseffectattackmodifier.reduction","Недуги, снижающие атаку, на {MODIFIER} % менее эффективны против этого героя."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.addition","Эффекты статуса, увеличивающие атаку, для этого героя на {MODIFIER} % более эффективны."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.reduction","Недуги, снижающие атаку, на {MODIFIER} % менее эффективны против этого героя."
"herocard.passive_skill.description.statuseffectdefensemodifier.addition","Эффекты статуса, увеличивающие защиту, для этого героя на {MODIFIER} % более эффективны."
"herocard.passive_skill.description.statuseffectdefensemodifier.all.allies.reduction","Уменьшает эффект недугов защиты на {MODIFIER} %. Эффект применяется к герою и всем его союзникам в битве."
"herocard.passive_skill.description.statuseffectdefensemodifier.reduction","Недуги, снижающие защиту, на {MODIFIER} % менее эффективны против этого героя."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.addition","Эффекты статуса, увеличивающие защиту, для этого героя на {MODIFIER} % более эффективны."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.reduction","Недуги, снижающие защиту, на {MODIFIER} % менее эффективны против этого героя."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","Длительность первых {MAXACTIVATIONCOUNT} недугов от особого навыка у этого персонажа сокращается на {DURATIONMODIFIER} х."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","Длительность защитных недугов от особого навыка у этого персонажа сокращается на {DURATIONMODIFIER} х."
"herocard.passive_skill.description.statuseffectdurationmodifier.increase.minorbuff.majorbuff","Длительность первых {MAXACTIVATIONCOUNT} усилений от особого навыка у этого персонажа увеличивается на {DURATIONMODIFIER} х."
"herocard.passive_skill.description.statuseffectoncleanse.single.enemies","Когда с этого героя снимается недуг, новая копия снятого недуга накладывается на случайного врага."
"herocard.passive_skill.description.statuseffectonspecialcast.major.all.allies.softskin","Каждый раз, когда эта горгулья использует особый навык, все союзники получают ""Мягкую кожу"". В следующие {MAXACTIVATIONS} р., когда они получают урон, он снижается на {DAMAGEREDUCTION} %. Они также получают иммунитет к любым недугам, уменьшению маны и безумию. Эффект нельзя снять."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.softskin","Каждый раз, когда эта горгулья использует особый навык, активируется ее ""Мягкая кожа"". В следующие {MAXACTIVATIONS} р., когда она получает урон, он снижается на {DAMAGEREDUCTION} %. Она также получает иммунитет к любым недугам, уменьшению маны и безумию. Эффект нельзя снять."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.stone","Каждый раз, когда эта горгулья использует особый навык, ее камнекожа твердеет. Следующие {MAXHITS} р., когда она получает урон, он снижается до 1. Эффект нельзя снять."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.random.enemies.damageonhitreceived","Когда герой использует свой особый навык, он помечает случайного врага охотничьей вспышкой на {TURNS} х.
 Цель, помеченная охотничьей вспышкой, получает дополнительно {FIXEDPOWER} урона при критическом ударе."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.single.allies.attackmodifierfrompassiveskill","Когда этот персонаж использует свой особый навык, он получает {ATTACK} % атаки на {TURNS} х. Этот эффект может быть активен в дополнение к другим эффектам, влияющим на атаку."
"herocard.passive_skill.description.statuseffectselection.usable_once.select_element_status_effect","Один раз за битву стихию этого героя можно изменить на стихию по вашему выбору на {TURNS} х. Стихию можно сменить, коснувшись героя, когда его мана заряжена не полностью."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies","Призывает росток-паразит к случайному врагу каждый ход.
Росток-паразит превращается в пророщенного паразита спустя {EVOLVINGFAMILIAR1EVOLVETURNS} х.
Пророщенный паразит превращается в цветок-мегапаразит спустя {EVOLVINGFAMILIAR2EVOLVETURNS} х.

Росток-паразит: 
{EVOLVINGFAMILIAR1FAMILIARATTACK} % атаки, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % здоровья

Пророщенный паразит: {EVOLVINGFAMILIAR2FAMILIARATTACK} % атаки, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % здоровья

Цветок-мегапаразит: {EVOLVINGFAMILIAR3FAMILIARATTACK} % атаки, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % здоровья."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Призывает росток-паразит к случайному врагу каждый ход. Этот пассивный навык может активироваться только один раз за ход для каждой команды.
Росток-паразит превращается в пророщенного паразита спустя {EVOLVINGFAMILIAR1EVOLVETURNS} х.
Пророщенный паразит превращается в цветок-мегапаразит спустя {EVOLVINGFAMILIAR2EVOLVETURNS} х.

Росток-паразит: 
{EVOLVINGFAMILIAR1FAMILIARATTACK} % атаки, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % здоровья

Пророщенный паразит: {EVOLVINGFAMILIAR2FAMILIARATTACK} % атаки, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % здоровья

Цветок-мегапаразит: {EVOLVINGFAMILIAR3FAMILIARATTACK} % атаки, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % здоровья."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies","Призывает росток-паразит к случайному врагу каждый ход.
Росток-паразит превращается в пророщенного паразита спустя {EVOLVINGFAMILIAR1EVOLVETURNS} х.
Пророщенный паразит превращается в цветок-мегапаразит спустя {EVOLVINGFAMILIAR2EVOLVETURNS} х.
Эволюция паразитов задерживается на {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} х. всякий раз, когда они поглощают лечение.

Росток-паразит:
{EVOLVINGFAMILIAR1FAMILIARATTACK} % атаки, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % здоровья.

Пророщенный паразит:
{EVOLVINGFAMILIAR2FAMILIARATTACK} % атаки, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % здоровья.

Цветок-мегапаразит:
{EVOLVINGFAMILIAR3FAMILIARATTACK} % атаки, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % здоровья."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","Призывает росток-паразит к случайному врагу каждый ход. Этот пассивный навык может активироваться только один раз за ход для каждой команды.
Росток-паразит превращается в пророщенного паразита спустя {EVOLVINGFAMILIAR1EVOLVETURNS} х.
Пророщенный паразит превращается в цветок-мегапаразит спустя {EVOLVINGFAMILIAR2EVOLVETURNS} х.
Эволюция паразитов задерживается на {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} х. всякий раз, когда они поглощают лечение.

Росток-паразит: 
{EVOLVINGFAMILIAR1FAMILIARATTACK} % атаки, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % здоровья.

Пророщенный паразит: {EVOLVINGFAMILIAR2FAMILIARATTACK} % атаки, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % здоровья.

Цветок-мегапаразит: {EVOLVINGFAMILIAR3FAMILIARATTACK} % атаки, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % здоровья."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay_epic.enemies.sharedonceperturn","Призывает росток-паразит к случайному врагу каждый ход. Этот пассивный навык может активироваться только один раз за ход для каждой команды.
Росток-паразит превращается в пророщенного паразита спустя {EVOLVINGFAMILIAR1EVOLVETURNS} х.
Пророщенный паразит превращается в цветок-мегапаразит спустя {EVOLVINGFAMILIAR2EVOLVETURNS} х.
Эволюция паразитов задерживается на {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} х. всякий раз, когда они поглощают лечение.

Росток-паразит: 
{EVOLVINGFAMILIAR1FAMILIARATTACK} % атаки, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % здоровья.

Пророщенный паразит: {EVOLVINGFAMILIAR2FAMILIARATTACK} % атаки, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % здоровья.

Цветок-мегапаразит: {EVOLVINGFAMILIAR3FAMILIARATTACK} % атаки, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % здоровья."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay_rare.enemies.sharedonceperturn","Призывает росток-паразит к случайному врагу каждый ход. Этот пассивный навык может активироваться только один раз за ход для каждой команды.
Росток-паразит превращается в пророщенного паразита спустя {EVOLVINGFAMILIAR1EVOLVETURNS} х.
Пророщенный паразит превращается в цветок-мегапаразит спустя {EVOLVINGFAMILIAR2EVOLVETURNS} х.
Эволюция паразитов задерживается на {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} х. всякий раз, когда они поглощают лечение.

Росток-паразит: 
{EVOLVINGFAMILIAR1FAMILIARATTACK} % атаки, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % здоровья.

Пророщенный паразит: {EVOLVINGFAMILIAR2FAMILIARATTACK} % атаки, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % здоровья.

Цветок-мегапаразит: {EVOLVINGFAMILIAR3FAMILIARATTACK} % атаки, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % здоровья."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Когда герой побежден, он призывает склизких мегаприслужников для союзников поблизости, у которых будет {FAMILIARHEALTHPERCENT} % ОЗ и {FAMILIARATTACK} % атаки побежденного героя."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Когда герой побежден, он призывает склизких мегаприслужников для союзников поблизости, у которых будет {FAMILIARHEALTHPERCENT} % ОЗ и {FAMILIARATTACK} % атаки побежденного героя."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Когда герой побежден, он призывает склизких мегаприслужников для союзников поблизости, у которых будет {FAMILIARHEALTHPERCENT} % ОЗ и {FAMILIARATTACK} % атаки побежденного героя."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Когда герой побежден, он призывает склизких мегаприслужников для союзников поблизости, у которых будет {FAMILIARHEALTHPERCENT} % ОЗ и {FAMILIARATTACK} % атаки побежденного героя."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Когда герой побежден, он призывает склизких мегаприслужников для союзников поблизости, у которых будет {FAMILIARHEALTHPERCENT} % ОЗ и {FAMILIARATTACK} % атаки побежденного героя."
