"herocard.passive_skill.description.addmana.all.allies","Alle allierede får en lille smule mana."
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_blue","Denne efterligner giver en chance for ekstra bytte, når du gennemfører etaper:

****
 Damaskusklinge
 Taktikkens bog
 Fjernt skuende teleskop

***
 Fine handsker
 Kompas
 Varm kappe
 Kampmanual
 Høje støvler
 Ringbrynjeskjorte

**
 Stærkt reb"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_epic_yellow","Denne efterligner giver en chance for ekstra bytte, når du gennemfører etaper:

***
 Skjult klinge
 Magisk kugle
 Solidt skjold
 Fælderedskab
 Varm kappe
 Kampmanual
 Ringbrynjeskjorte
 Skede
 Høje støvler

**
 Magiske skrifter
 Dolk
 Læderrustning
 Slibesten
 Stærkt reb
 Træskjold

*
 Eventyrers udrustning
 Træningssværd
 Robust tøj"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_green","Denne efterligner giver en chance for ekstra bytte, når du gennemfører etaper:

****
 Damaskusklinge
 Taktikkens bog
 Mystisk tonic

***
 Fine handsker
 Kompas
 Solidt skjold
 Høje støvler
 Skede

**
 Stærkt reb
 Dolk"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_purple","Denne efterligner giver en chance for ekstra bytte, når du gennemfører etaper:

****
 Damaskusklinge
 Taktikkens bog
 Royal tabard

***
 Fine handsker
 Kompas
 Fælderedskaber
 Høje støvler
 Skede

**
 Stærkt reb
 Dolk"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_red","Denne efterligner giver en chance for ekstra bytte, når du gennemfører etaper:

****
 Damaskusklinge
 Taktikkens bog
 Mystiske ringe

***
 Fine handsker
 Kompas
 Skjult klinge
 Ringbrynjeskjorte
 Høje støvler

**
 Magisk skrift"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_yellow","Denne efterligner giver en chance for ekstra bytte, når du gennemfører etaper:

****
 Damaskusklinge
 Taktikkens bog
 Giftpile

***
 Fine handsker
 Kompas
 Magisk kugle
 Ringbrynjeskjorte
 Høje støvler

**
 Magisk skrift"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_blue","Denne efterligner giver en chance for ekstra bytte, når du gennemfører etaper:

*****
 Heksemester - mesteremblem
 Troldmand - mesteremblem

****
 Heksemester - emblem
 Troldmand - emblem"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_green","Denne efterligner giver en chance for ekstra bytte, når du gennemfører etaper:

*****
 Paladin - mesteremblem
 Druide - mesteremblem

****
 Paladin - emblem
 Druide - emblem"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_purple","Denne efterligner giver en chance for ekstra bytte, når du gennemfører etaper:

*****
 Rebel - mesteremblem
 Vandringsmand - mesteremblem

****
 Rebel - emblem
 Vandringsmand - emblem"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_red","Denne efterligner giver en chance for ekstra bytte, når du gennemfører etaper:

*****
 Kriger - mesteremblem
 Barbar - mesteremblem

****
 Kriger - emblem
 Barbar - emblem"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_yellow","Denne efterligner giver en chance for ekstra bytte, når du gennemfører etaper:

*****
 Gejstlig - mesteremblem
 Munk - mesteremblem

****
 Gejstlig - emblem
 Munk - emblem"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_experience_rare_red","Denne efterligner giver en chance for ekstra bytte, når du gennemfører etaper:

**
Ualmindelige ild-, natur-, is-, mørke  og hellige helte

*
Almindelige mestertrænerhelte
Almindelige ild-, natur-, is-, mørke og hellige helte"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_blue","Denne efterligner giver en chance for ekstra bytte ved gennemførelse af etaper:

***
Sjældne istrænerhelte

**
Ualmindelige istrænerhelte
Ualmindelige ishelte

*
Almindelige istrænerhelte
Almindelige ishelte"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_green","Denne efterligner giver en chance for ekstra bytte ved gennemførelse af etaper:

***
Sjældne naturtrænerhelte
**
Ualmindelige naturtrænerhelte
Ualmindelige naturhelte
 
*
Almindelige naturtrænerhelte
Almindelige naturhelte"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_purple","Denne efterligner giver en chance for ekstra bytte ved gennemførelse af etaper:

***
Sjældne mørke trænerhelte

**
Ualmindelige mørke trænerhelte
Ualmindelige mørke helte
 
*
Almindelige mørke helte
Almindelige mørke trænerhelte"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_red","Denne efterligner giver en chance for ekstra bytte ved gennemførelse af etaper:

***
Sjældne ildtrænerhelte

**
Ualmindelige ildtrænerhelte
Ualmindelige ildhelte

*
Almindelige ildtrænerhelte
Almindelige ildhelte"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_yellow","Denne efterligner giver en chance for ekstra bytte ved gennemførelse af etaper:

***
Sjældne hellige trænerhelte

**
Ualmindelige hellige trænerhelte
Ualmindelige hellige helte

*
Almindelige hellige trænerhelte
Almindelige hellige helte"
"herocard.passive_skill.description.nevermissspecial","Denne figurs særlige egenskab rammer aldrig ved siden af."
"herocard.passive_skill.description.ransack","Ved starten af hver runde ransager denne figur  en vilkårlig fjende:

Stjæler {DAMAGE} helbred.
Stjæler på sikker vis en buffer, vækst-effekt eller positiv kumulativ buffer fra fjenden. Heriblandt uophævelige buffere og danseeffekter."
"herocard.passive_skill.description.ransack.chance","Ved starten af hver runde har denne figur {CHANCE} % chance for at ransage en vilkårlig fjende:

Stjæler {DAMAGE} helbred.
Stjæler på sikker vis en vilkårlig vækst-effekt, positiv kumulativ buffer eller statuseffekt-buffer fra fjenden. Heriblandt uophævelige buffere og danseeffekter.
Ved stjælning på sikker vis bliver sekundære effekter fra de fjernede buffere omgået, såsom skade ved fjernelse. Passive egenskaber og familieeffekter kan stadig aktiveres."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest","Når denne figur bruger sin særlige egenskab, får vedkommende {CHANCE} % chance for at stjæle den seneste buffer, der kan ophæves, fra en tilfældig fjende med buffere. Hvis ingen fjende har buffere, rammes alle fjender af {DAMAGE} % skade."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest.randomenemytarget","Når denne figur bruger sin særlige egenskab, får vedkommende {CHANCE} % chance for at stjæle den seneste buffer, der kan ophæves, fra en tilfældig fjende med buffere. Hvis ingen fjende har buffere, rammes alle fjender af {DAMAGE} % skade."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.heal.always.minordebuff.newest","Når denne figur kaster sin særlige egenskab, overføres den seneste statuslidelse, der kan ryddes, fra figuren til målet. Hvis den særlige egenskab ikke kan målrettes en fjende, bliver en tilfældig fjende udvalgt i stedet. Hvis denne figur ikke har nogen statuslidelser, der kan ryddes, gendannes {HEALTH} % af helbredet."
"herocard.passive_skill.description.receivedeffectreplacement.minordebuff","{REPLACEMENTCHANCE} % chance for at erstatte modtagede negative effekter med matchende positive effekter."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage","Denne helt tager mindre elementskade fra stærkere elementtropper.

Elementskade modtaget: -{MODIFIER} %"
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.combined","{MODIFIER} % mindre elementskade fra tropper af det stærkere element."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.increase.dragon","{MODIFIER} % mere elementskade fra ildkugler af det stærkere element."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single","Første gang denne figur ellers ville have modtaget dødbringende skade, bliver skaden omdirigeret til en tilfældig fjende.

I kampe med flere bølger bliver effekter fornyet ved begyndelsen af hver bølge."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single.battle","Første gang denne figur ellers ville have modtaget dødbringende skade, bliver skaden omdirigeret til en tilfældig fjende. (Aktiveringer tilbage: {ACTIVATIONSLEFT})"
"herocard.passive_skill.description.reflectstatuseffect.with_chance","{CHANCE} % ekstra chance for at reflektere statuslidelser tilbage på angriberen."
"herocard.passive_skill.description.removebasestatmodifiers.removenegative.from.all.allies","Hver {TURNS} tur fjernes alle visne-effekter fra alle allierede."
"herocard.passive_skill.description.removebasestatmodifiers.removepositive.from.all.enemies","Hver {TURNS}. runde fjernes alle vækst-effekter fra alle fjender."
"herocard.passive_skill.description.repaircoreintrinsicchargeeffectonspecial.healthboost.all.allies.always","Denne figurs særlige evne er en reparationskerne.

Reparationskernen aktiveres, hver gang figurens særlige egenskab kastes:

 En fuldt opladet reparationskerne, giver figuren {CHARGEDPOWER1} % mere HP til alle allierede 
. Mængden af HP, der regenereres, afhænger af kernens opladning. Når kernen aktiveres opbruges den opsparede ladning."
"herocard.passive_skill.description.repeatspecial","{REPEATCHANCE} % chance for at kaste denne helts særlige evne {REPEATS} gange."
"herocard.passive_skill.description.resist.accuracymodifiers","Denne figur er immun over for statuslidelser, der påvirker præcision. Gælder ikke originale status-effekter fra allierede."
"herocard.passive_skill.description.resist.alldebuffs.alldebuffs","Denne figur er immun over for statuslidelser og negative kumulative effekter."
"herocard.passive_skill.description.resist.alldebuffs.buffdispels.with_chance","+{CHANCE} % chance for at modstå statuslidelser og bufferophævelse."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.attackwither.defensewither.alldebuffs.with_chance","+{CHANCE} % chance for at modstå statuslidelser, manareduktioner, bufferophævelse og visneeffekter."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.insanity.with_chance","{CHANCE} % større chance for at modstå alle statuslidelser, manareduktioner, bufferophævelser og vanvid."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.with_chance","+{CHANCE} % chance for at modstå statuslidelser, manareduktioner og bufferophævelse."
"herocard.passive_skill.description.resist.alldebuffs.with_chance","+{CHANCE} % chance for at modstå statuslidelser."
"herocard.passive_skill.description.resist.alldefensemodifiers.alldebuffs","Denne figur er immun over for statuslidelser, der påvirker forsvar. Gælder også ved statuslidelser, der påvirker elementforsvar."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.alldebuffs","Denne figur er immun over for statuslidelser, stakke- og visne-effekter, der påvirker forsvar."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.allstatuseffects","Denne figur er ikke påvirket af effekter, der øger eller reducerer forsvar.

Dette inkluderer statuseffektbuffere og lidelser, positive og negative kumulative effekter samt vækst- og visne-effekter."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.defensegrowth.allstatuseffectsandstacks","Denne figur er ikke påvirket af effekter, der øger eller reducerer forsvar.

Dette inkluderer
 statuseffektbuffere og lidelser,
 positive og negative kumulative effekter
 samt vækst- og visne-effekter"
"herocard.passive_skill.description.resist.alldefensemodifiersincludingwither.allstatuseffects","Denne figur er ikke påvirket af effekter, der øger eller reducerer forsvar.

Dette inkluderer statuseffektbuffere og lidelser, positive og negative kumulative effekter samt vækst- og visne-effekter."
"herocard.passive_skill.description.resist.allmanaeffects.alldebuffs","Denne figur er immun over for statuslidelser og negative kumulativ effekter, der påvirker managendannelse. Gælder også ved statuslidelser, der blokerer mana eller stjæler mana."
"herocard.passive_skill.description.resist.allmanaeffects.manareduction.alldebuffs","Denne figur er immun over for manareduktioner så vel som statuslidelser og negative kumulativ effekter, der påvirker managendannelse. Gælder også ved effekter og statuslidelser, der blokerer mana eller stjæler mana."
"herocard.passive_skill.description.resist.allstatuseffectdamage.none","Denne figur er immun over for skade fra statuseffekter."
"herocard.passive_skill.description.resist.attackdelay","Figurens almindelige angreb kan ikke forsinkes."
"herocard.passive_skill.description.resist.attackdelay.alldebuffs","Figurens almindelige angreb kan ikke forsinkes."
"herocard.passive_skill.description.resist.attackmodifiers","Denne figur er immun over for statuslidelser, der påvirker angreb."
"herocard.passive_skill.description.resist.attackmodifiers.allstatuseffectsandstacks","Denne figur er immun over for alle statuseffekter, der påvirker angreb. Dette inkluderer statuseffekt-buffere."
"herocard.passive_skill.description.resist.attackmodifiers.attackwither.alldebuffs","Denne figur er immun over for statuslidelser, stakke- og visne-effekter, der påvirker angreb."
"herocard.passive_skill.description.resist.bleed","Denne figur er immun over for statuslidelser, der forvolder blødnings-skade."
"herocard.passive_skill.description.resist.bleed.with_effect.healthboost.addmana","Denne figur er immun over for statuslidelser, der forvolder blødning-skade, og får {HEALTHBOOST} boostet helbred og {MANA} % mana, hver gang den modstår."
"herocard.passive_skill.description.resist.buffdispels","Denne figur er immun over for effekter, der ophæver dens statuseffekt-buffere."
"herocard.passive_skill.description.resist.buffdispels.none.with_chance","{CHANCE} % ekstra chance for at modstå bufferophævelser."
"herocard.passive_skill.description.resist.buffimmunity","Denne figur er immun over for effekter, der forhindrer den i at få nye statuseffekter."
"herocard.passive_skill.description.resist.burn","Denne figur er immun over for statuslidelser, der forvolder brand-skade."
"herocard.passive_skill.description.resist.burn.with_effect.healthboost.addmana","Denne figur er immun over for statuslidelser, der forvolder brand-skade, og får {HEALTHBOOST} boostet helbred og {MANA} % mana, hver gang den modstår."
"herocard.passive_skill.description.resist.can_stack.alldebuffs","Denne figur er immun over for statuslidelser."
"herocard.passive_skill.description.resist.can_stack.alldebuffs.with_chance","{CHANCE} % ekstra chance for at modstå statuslidelser."
"herocard.passive_skill.description.resist.criticalhits.none","Denne figur er immun over for ekstra skade og yderligere effekter fra kritiske træffere."
"herocard.passive_skill.description.resist.defensemodifierdebuffs","Denne figur er immun over for statuslidelser, der påvirker forsvar. Gælder ikke statuslidelser, der påvirker elementforsvar."
"herocard.passive_skill.description.resist.defensemodifiers.alldebuffs","Denne figur er immun over for statuslidelser og negative stakke, der påvirker forsvar. Gælder ikke statuslidelser, der påvirker elementforsvar."
"herocard.passive_skill.description.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion"," Immun over for effekter, der fjerner håndlangere.
 Kan ikke forhindres for håndlanger, der modtager det.
 En håndlangers angreb og evner kan ikke slås fra."
"herocard.passive_skill.description.resist.frost","Denne figur er immun over for statuslidelser, der forvolder frost-skade."
"herocard.passive_skill.description.resist.frost.with_effect.healthboost.addmana","Denne figur er immun over for statuslidelser, der forvolder frost-skade, og får {HEALTHBOOST} boostet helbred og {MANA} % mana, hver gang den modstår."
"herocard.passive_skill.description.resist.healeffects","Denne figur er immun over for statuslidelser, der påvirker helbredelse."
"herocard.passive_skill.description.resist.healthsteal","Denne figur er immun over for statuslidelser, der stjæler helbred."
"herocard.passive_skill.description.resist.insanity.permanentstatuseffects","Denne figur er immun over for vanvid."
"herocard.passive_skill.description.resist.manadebuffs","Denne figur er immun over for statuslidelser, der påvirker mana."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking","Denne figur er immun over for statuslidelser, der påvirker managendannelse eller forhindrer brugen af særlige egenskaber."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking.with_chance","Denne figur har {CHANCE} % chance for at modstå statuslidelser, der påvirker mana eller forhindrer brugen af særlige egenskaber."
"herocard.passive_skill.description.resist.managenerationmodifiers.alldebuffs","Denne figur er immun over for statuslidelser og negative kumulative effekter, der påvirker managendannelse. Gælder ikke ved statuslidelser, der stopper managendannelse eller stjæler mana."
"herocard.passive_skill.description.resist.manareduction","Denne figur er immun over for manareduktioner."
"herocard.passive_skill.description.resist.manareduction.alldebuffs.with_chance","+{CHANCE} % chance for at modstå manareduktion."
"herocard.passive_skill.description.resist.manareduction.none.with_effect.healthboost.addmana","Denne figur er immun over for manareduktion. Figuren får også {HEALTHBOOST} boostet helbred og {MANA} % mana, hver gang den modstår."
"herocard.passive_skill.description.resist.maxhealthreduction","Denne figur er immun over for maks. helbredsreduktion."
"herocard.passive_skill.description.resist.poison","Denne figur er immun over for statuslidelser, der forvolder gift-skade."
"herocard.passive_skill.description.resist.poison.burn.bleed","Denne figur er immun over for statuslidelser, der forvolder gift-, brand- eller blødning-skade."
"herocard.passive_skill.description.resist.possession.allstatuseffects","Denne figur er immun over for statuseffekter, der besætter den."
"herocard.passive_skill.description.resist.sand","Denne figur er immun over for statuslidelser, der forvolder sand-skade."
"herocard.passive_skill.description.resist.specialblocking","Denne figur er immun over for statuslidelser, der forhindrer brugen af særlige egenskaber."
"herocard.passive_skill.description.resist.specialblocking.with_chance","Denne figur har {CHANCE} % chance for at modstå statuslidelser, der påvirker brugen af særlige egenskaber."
"herocard.passive_skill.description.resist.specialblocking.with_effect.healthboost.addmana","Denne figur er immun over for statuslidelser, der forhindrer brugen af særlige egenskaber. Figuren får også {HEALTHBOOST} boostet helbred og {MANA} % mana, hver gang den modstår."
"herocard.passive_skill.description.resist.stopmanageneration","Denne figur er immun over for statuslidelser, der stopper managendannelse."
"herocard.passive_skill.description.resist.water","Denne figur er immun over for statuslidelser, der forvolder vand-skade."
"herocard.passive_skill.description.resistdebuffsfromfamiliars.minion","Denne figur er immun over for statuslidelser, der kommer fra håndlangere."
"herocard.passive_skill.description.resistfamiliarremoval.minion.bigminion","Denne figur er immun over for effekter, der fjerner håndlangere fra den."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion","Denne figur er immun over for kommende negative effekter og skade fra håndlangere."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion.bigminion","Denne figur er immun over for kommende negative effekter og skade fra håndlangere og kæmpehåndlangere."
"herocard.passive_skill.description.resistnewfamiliars.parasite","Denne figur kan ikke modtage djævle."
"herocard.passive_skill.description.resistnewfamiliars.parasite.bigparasite","Denne figur kan ikke modtage djævle eller megadjævle."
"herocard.passive_skill.description.resistsupportcharacter.troop.alldebuffs.with_chance","+{CHANCE} % chance for at modstå statuslidelser."
"herocard.passive_skill.description.revivalchancemodifier.all.enemies","Chancen for genoplivelse reduceres for alle fjender i kampen. Chancen bliver {MODIFIER} % af den oprindelige værdi."
"herocard.passive_skill.description.revivalhealthmodifier.all.enemies.excluding.boss","Alle fjender har {HEALTHMODIFIER} % helbred, når de genoplives. Boss-fjender er ikke påvirket."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance","Hvis denne figur bliver besejret, er der en chance for, at den genfødes som en sælsom vært. Chancen er {CHANCEINCREASEPERSTEP} % pr. {INSANITYPERSTEP} vanvid på denne figur op til maks. chance på {MAXCHANCEINCREASE} %. 

Den sælsomme vært har:
{INHERITEDHEALTH} % nedarvet helbred. 
{ATTACK} angreb.
{DEFENSE} forsvar.
Særlig egenskab: Sælsomt fordærv. 

Hvis denne figur besejrer sig selv, når vanviddet aktiveres, er chancen for at blive genfødt altid {CHANCEONSELFCAUSEDDEATH} %."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance_temp","Hvis denne figur bliver besejret, er der en chance for, at den genfødes som en sælsom vært. Chancen er {CHANCEINCREASEPERSTEP} % pr. {INSANITYPERSTEP} vanvid på denne figur op til maks. chance på {MAXCHANCEINCREASE} %.

Den sælsomme vært har:
{INHERITEDHEALTH} % nedarvet helbred. 
{ATTACK} angreb.
{DEFENSE} forsvar.
Følgende særlig egenskab:

{ALTERNATIVEFORMSPECIALTITLE}
{ALTERNATIVEFORMSPECIALDESCRIPTION}"
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance","Når denne figur besejres, har den {TOTALCHANCE} % chance for at genoplive i begyndelsen af sin næste tur med {HEALTH} % helbred og {MANA} % mana. 

Aktiveres op til {MAXACTIVATIONCOUNT} gange. Chancen for genoplivning reduceres ved hver aktivering. Kan ikke forhindres med statuslidelser eller passive færdigheder."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Alle sange, som kastes af fjender, varer kun i {TURNS} runder."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Alle danse, som kastes af fjender, varer kun i {TURNS} runder."
"herocard.passive_skill.description.sharereceiveddamage","{SHAREDDAMAGEPORTION} % af skaden, denne figur modtager, deles med alle allierede."
"herocard.passive_skill.description.specialdamagereduction","Den pådragne skade reduceres med {DAMAGEREDUCTION} % de første {MAXACTIVATIONCOUNT} gange, figuren modtager skade fra særlige egenskaber."
"herocard.passive_skill.description.specialdamagereduction.chance","Denne figur har {CHANCE} % chance for at reducere den direkte skade fra særlige egenskaber til 1."
"herocard.passive_skill.description.specialdamagereductionsupportcharacter.troop","Den pådragne skade reduceres med {DAMAGEREDUCTION} % for denne figur."
"herocard.passive_skill.description.startbattlewitheffect.addmana","Figuren modtager {MANA} % mana, når kampen begynder."
"herocard.passive_skill.description.statmodifier.attack","{ATTACKMULTIPLIER} % angreb."
"herocard.passive_skill.description.statmodifier.defense","{DEFENSEMULTIPLIER} % forsvar."
"herocard.passive_skill.description.statmodifier.health","{HEALTHMULTIPLIER} % helbred."
"herocard.passive_skill.description.statmodifier.health.attack","{HEALTHMULTIPLIER} % helbred, {ATTACKMULTIPLIER} % angreb."
"herocard.passive_skill.description.statmodifier.health.defense","{HEALTHMULTIPLIER} % helbred, {DEFENSEMULTIPLIER} % forsvar."
"herocard.passive_skill.description.statmodifier.health.defense.attack","{HEALTHMULTIPLIER} % helbred, {DEFENSEMULTIPLIER} % forsvar, {ATTACKMULTIPLIER} % angreb."
"herocard.passive_skill.description.statuseffectattackmodifier.addition","Statuseffekter, der forøger angreb, er {MODIFIER} % mere effektive for denne figur."
"herocard.passive_skill.description.statuseffectattackmodifier.all.allies.reduction","Reducerer effekten af statuspåvirkninger, der påvirker angreb med {MODIFIER} %. Effekten gælder for denne figur og alle dens allierede i kampen."
"herocard.passive_skill.description.statuseffectattackmodifier.reduction","Statuslidelser, der reducerer forsvar, er {MODIFIER} % mindre effektive mod denne figur."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.addition","Statuseffekter, der forøger angreb, er {MODIFIER} % mere effektive for denne figur."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.reduction","Statuslidelser, der reducerer forsvar, er {MODIFIER} % mindre effektive mod denne figur."
"herocard.passive_skill.description.statuseffectdefensemodifier.addition","Statuseffekter, der forøger angreb, er {MODIFIER} % mere effektive for denne figur."
"herocard.passive_skill.description.statuseffectdefensemodifier.all.allies.reduction","Reducerer effekten af forsvarspåvirkninger med {MODIFIER} %. Effekten gælder for denne figur og alle dens allierede i kampen."
"herocard.passive_skill.description.statuseffectdefensemodifier.reduction","Statuslidelser, der reducerer forsvar, er {MODIFIER} % mindre effektive mod denne fjende."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.addition","Statuseffekter, der forøger angreb, er {MODIFIER} % mere effektive for denne figur."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.reduction","Statuslidelser, der reducerer forsvar, er {MODIFIER} % mindre effektive mod denne fjende."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","Varigheden af de første {MAXACTIVATIONCOUNT} statuslidelser, som figuren får fra særlige egenskaber, formindskes med {DURATIONMODIFIER} runde."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","Varigheden af de første forsvarsstatuslidelser, som figuren får fra særlige egenskaber, formindskes med {DURATIONMODIFIER} runder."
"herocard.passive_skill.description.statuseffectdurationmodifier.increase.minorbuff.majorbuff","Varigheden af de første {MAXACTIVATIONCOUNT} buffere, som figuren får fra særlige egenskaber, øges med {DURATIONMODIFIER} runde."
"herocard.passive_skill.description.statuseffectoncleanse.single.enemies","Når en statuslidelse fjernes fra denne helt, gives en ny kopi af den fjernede lidelse til en tilfældig fjende."
"herocard.passive_skill.description.statuseffectonspecialcast.major.all.allies.softskin","Hver gang gargoilen kaster en særlig egenskab, får alle allierede blødhud. De næste {MAXACTIVATIONS} gange de tager skade, reduceres den med {DAMAGEREDUCTION} %. De er også immune over for alle statuslidelser, manareduktioner og vanvid. Effekten kan ikke ophæves."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.softskin","Hver gang gargoilen kaster en særlig egenskab, aktiveres deres blødhud. De næste {MAXACTIVATIONS} gange de tager skade, reduceres den med {DAMAGEREDUCTION} %. De er også immune over for alle statuslidelser, manareduktioner og vanvid. Effekten kan ikke ophæves."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.stone","Hver gang denne gargoil kaster en særlig egenskab, forstærkes dens stenhud. De næste {MAXHITS} gange de modtager skade, reduceres den til 1. Denne effekt kan ikke ophæves."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.random.enemies.damageonhitreceived","Når denne figur bruger sin særlige egenskab, markeres en vilkårlig fjende med et jagtsignal i {TURNS} ture.
 Et mål mærket med et jagtsignal får {FIXEDPOWER} ekstra skade, når de rammer med en kritisk træffer."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.single.allies.attackmodifierfrompassiveskill","Når denne figur kaster sin særlige egenskab, får de {ATTACK} % angreb i {TURNS} runder. Denne effekt kan være aktiv samtidigt med andre effekter, der ændrer angreb."
"herocard.passive_skill.description.statuseffectselection.usable_once.select_element_status_effect","Én gang pr. kamp kan denne helts element ændres til et valgfrit element i {TURNS} ture. Elementet kan ændres ved at trykke på denne helt, når den ikke har fuld mana."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies","Hidkalder en frøplantedjævel hver tur til en tilfældig fjende.
Frøplantedjævlen udvikler sig til en spiredjævel efter {EVOLVINGFAMILIAR1EVOLVETURNS} ture. 
Spiredjævlen udvikler sig til en Blomster-megadjævel efter {EVOLVINGFAMILIAR2EVOLVETURNS} ture.

Frøplantedjævel: 
{EVOLVINGFAMILIAR1ATTACK} % angreb, {EVOLVINGFAMILIAR1HEALTH} % helbred

Spiredjævel: 
{EVOLVINGFAMILIAR2ATTACK} % angreb, {EVOLVINGFAMILIAR2HEALTH} % helbred

Blomstrende megadjævel: 
{EVOLVINGFAMILIAR3ATTACK} % angreb, {EVOLVINGFAMILIAR3HEALTH} % helbred"
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Hidkalder en frøplantedjævel hver tur til en tilfældig fjende.
Frøplantedjævlen udvikler sig til en spiredjævel efter {EVOLVINGFAMILIAR1EVOLVETURNS} ture. 
Spiredjævlen udvikler sig til en Blomster-megadjævel efter {EVOLVINGFAMILIAR2EVOLVETURNS} ture.

Frøplantedjævel: 
{EVOLVINGFAMILIAR1ATTACK} % angreb, {EVOLVINGFAMILIAR1HEALTH} % helbred

Spiredjævel: 
{EVOLVINGFAMILIAR2ATTACK} % angreb, {EVOLVINGFAMILIAR2HEALTH} % helbred

Blomstrende megadjævel: 
{EVOLVINGFAMILIAR3ATTACK} % angreb, {EVOLVINGFAMILIAR3HEALTH} % helbred"
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","Hidkalder en frøplantedjævel hver tur til en tilfældig fjende. Denne passive færdighed kan kun bruges én gang pr. tur af hvert team.
Frøplantedjævlen udvikler sig til en spiredjævel efter {EVOLVINGFAMILIAR1EVOLVETURNS} ture. 
Spiredjævlen udvikler sig til en Blomster-megadjævel efter {EVOLVINGFAMILIAR2EVOLVETURNS} ture.
Udviklingen af djævlene bliver forsinket med {EVOLVINGFAMILIAR1TURNSDELAY} tur, hver gang de absorberer healing.

Frøplantedjævel: 
{EVOLVINGFAMILIAR1ATTACK} % angreb, {EVOLVINGFAMILIAR1HEALTH} % helbred

Spiredjævel: 
{EVOLVINGFAMILIAR2ATTACK} % angreb, {EVOLVINGFAMILIAR2HEALTH} % helbred

Blomstrende megadjævel: 
{EVOLVINGFAMILIAR3ATTACK} % angreb, {EVOLVINGFAMILIAR3HEALTH} % helbred."
