"specials.name.a_cozy_break","아늑한 휴식"
"specials.name.dragon_cleansing_flame","정화의 불꽃"
"specials.name.dragon_corrosive_blaze","부식성 화염"
"specials.name.dragon_cracking_blaze","타닥거리는 불꽃"
"specials.name.dragon_crackling_blaze_smoldercoil","타닥거리는 불꽃"
"specials.name.dragon_crashing_blaze","불꽃 충돌"
"specials.name.dragon_crippling_blaze","일그러지는 불꽃"
"specials.name.dragon_crippling_blaze_belzaas","일그러지는 불꽃"
"specials.name.dragon_crushing_blaze","파괴의 불길"
"specials.name.dragon_dampening_blaze","감쇠 불꽃"
"specials.name.dragon_dazing_blaze","어지러운 불꽃"
"specials.name.dragon_delivery_service","드래곤 배달 서비스"
"specials.name.dragon_destabilizing_blaze","불안정한 블레이즈"
"specials.name.dragon_devastating_blaze","파괴적인 불꽃"
"specials.name.dragon_disarming_blaze","무장해제의 불꽃"
"specials.name.dragon_draining_blaze","흡수의 불꽃"
"specials.name.dragon_empowering_breath","힘찬 숨결"
"specials.name.dragon_esoteric_flame","밀교의 불꽃"
"specials.name.dragon_fang","드래곤의 송곳니"
"specials.name.dragon_fiery_blaze","불타는 블레이즈"
"specials.name.dragon_flames_of_acceleration","가속의 불길"
"specials.name.dragon_fortifying_flame","화염 강화"
"specials.name.dragon_inspirational_breath","영감의 숨결"
"specials.name.dragon_mana_infused_breath","마나 주입 숨결"
"specials.name.dragon_mindless_blaze","정신없는 불꽃"
"specials.name.dragon_novices_blaze","초심자의 불꽃"
"specials.name.dragon_pacifying_breath","진정의 숨결"
"specials.name.dragon_protective_breath","방어 호흡"
"specials.name.dragon_rallying_breath","결집의 숨결"
"specials.name.dragon_rallying_breath_trezoro","결집의 숨결"
"specials.name.dragon_resuscitating_breath","소생 호흡"
"specials.name.dragon_revitalizing_breath","활력 넘치는 숨결"
"specials.name.dragon_sacred_flame","신성한 불꽃"
"specials.name.dragon_sacred_flame_harmonis","신성한 불꽃"
"specials.name.dragon_searing_blaze","이글거리는 불꽃"
"specials.name.dragon_shielding_breath","보호하는 숨결"
"specials.name.dragon_shocking_blaze","충격의 불꽃"
"specials.name.dragon_spring_breath","봄의 숨결"
"specials.name.dragon_spring_breath_erudius","봄의 숨결"
"specials.name.dragon_strengthening_flame","강화의 불꽃"
"specials.name.dragon_summer_blaze","여름 불꽃"
"specials.name.dragon_volcanic_blaze","화산의 불길"
"specials.name.dragon_weakening_blaze","약화 불꽃"
"specials.name.dragon_weakening_blaze_ashenheart","약화 불꽃"
"specials.name.dragon_weakening_blaze_gonthrox","약화 불꽃"
"specials.name.dragon_wounding_blaze","상처의 불길"
"specials.name.dragon_wounding_blaze_ceestraze","상처의 불길"
"specials.name.dragon_wounding_blaze_talonshine","상처의 불길"
"specials.name.dragon_wrecking_blaze","부수는 불길"
"specials.name.dragon_wrecking_blaze_rangifer","부수는 불길"
"specials.name.drain_strike","흡수 강타"
"specials.name.draining_blade","손상의 날"
"specials.name.drawn_to_the_depths","심연으로 침몰"
"specials.name.dread_hammer","공포의 망치"
"specials.name.dreaded_swords","공포의 검"
"specials.name.dreaded_waters","공포의 강물"
"specials.name.dreadful_riddle","공포의 수수께끼"
"specials.name.dreadstrike","공포의 일격"
"specials.name.dreams_of_nourishment","꿈의 영양분"
"specials.name.dress_up","옷이 날개!"
"specials.name.drowsy_bolt","느슨한 볼트"
"specials.name.drum_chain","이푸 드럼 체인"
"specials.name.dual_axes","쌍도끼"
"specials.name.dual_blades","듀얼 블레이드"
"specials.name.dual_data_blades","듀얼 데이터 블레이드"
"specials.name.dual_laser_blades","듀얼 레이저 블레이드"
"specials.name.dual_slash","이단 베기"
"specials.name.dual_sting","이단 쏘기"
"specials.name.dubious_cuisine","수상한 요리"
"specials.name.dubious_cuisine_catastrophic_kitchen_failure","엉망진창 주방"
"specials.name.dubious_cuisine_exquisite_food","훌륭한 음식"
"specials.name.dubious_cuisine_rotten_food","부패한 음식"
"specials.name.dubious_merchandise","의심스러운 물건"
"specials.name.dubious_mixture","의심스러운 혼합물"
"specials.name.dum_and_dee","덤 앤 디"
"specials.name.dusk_dust","황혼의 먼지"
"specials.name.dusk_till_dawn","황혼에서 새벽까지"
"specials.name.dust_to_dust","먼지에서 먼지로"
"specials.name.dwarven_flourish","드워프 번영"
"specials.name.dwarven_kings_levy","드워프 왕의 부역"
"specials.name.dwarven_recharge","드워프 회복"
"specials.name.easy_breezy_aura","편안한 분위기"
"specials.name.echoes_of_ice","얼음의 메아리"
"specials.name.echoes_of_pain","고통의 메아리"
"specials.name.echoes_of_the_opera","오페라의 메아리"
"specials.name.eclipse_shield","월광 방패"
"specials.name.eclipse_spear","월광의 창"
"specials.name.educated_exorcism","가르침 받은 구마 의식"
"specials.name.egg_barrage","달걀 세례"
"specials.name.elders_remedy","장로의 해결책"
"specials.name.eldritch_blight","엘드리히의 재앙"
"specials.name.eldritch_sign_bolts","엘드리치 사인 볼트"
"specials.name.electric_cut","전기 절단"
"specials.name.electric_dragonfire","전기 드래곤"
"specials.name.electric_jolt","전기 충격"
"specials.name.electric_stab","전기 찌르기"
"specials.name.electric_sting_dragon_pve","전기 쏘기"
"specials.name.electrified_claws","전기 발톱"
"specials.name.electrified_claws_ultimate_boss","전기 발톱"
"specials.name.electrifying_gust_dragon_pve","전기 돌풍"
"specials.name.elegant_pulverizer","우아한 분쇄기"
"specials.name.elemental_corruption","원소 손상"
"specials.name.elemental_infusion_arrow","속성 주입 화살"
"specials.name.elemental_infusion_arrow_pve","속성 주입 화살"
"specials.name.elemental_magic","속성 마법"
"specials.name.emboldened_strike","대담한 일격"
"specials.name.emerald_dual_blade","에메랄드 듀얼 블레이드"
"specials.name.emerald_flash","에메랄드 섬광"
"specials.name.emerald_tide","에메랄드빛 조류"
"specials.name.emerald_wind","에메랄드 바람"
"specials.name.empowered_slash","강화 베기"
"specials.name.empowering_bash","원기왕성 일격"
"specials.name.empowering_bash_deadly","원기왕성 일격"
"specials.name.en_garde","앙 갸르드"
"specials.name.enchanted_antlers","마법 걸린 수사슴"
"specials.name.enchanted_axe_swing","마법에 걸린 도끼 휘두르기"
"specials.name.enchanted_edge","마법 칼날"
"specials.name.enchanted_elven_sword","마법의 엘프 검"
"specials.name.enchanted_symphony","마법의 교향곡"
"specials.name.enchanting_divination","매혹적인 예지"
"specials.name.enchanting_melody","매혹적인 선율"
"specials.name.endless_daggers","무한 단검"
"specials.name.endless_maze","끝없는 미로"
"specials.name.energy_conjunction","에너지 연계"
"specials.name.energy_of_mjolnir","묠니르의 힘"
"specials.name.energy_steal_dragon_pve","에너지 훔치기"
"specials.name.engulfing_candlelight","에워싸는 촛불"
"specials.name.entangling_shot","올가미탄"
"specials.name.entrapping_enchantment","함정 마법"
"specials.name.erase_strength","힘 제거"
"specials.name.erupting_slices","조각 분출"
"specials.name.esprit_de_corps","군대 정신"
"specials.name.essence_of_queen_nitocris","니토크리스 여왕의 정수"
"specials.name.eternal_bond","영원한 유대감"
"specials.name.eternal_ishq","영원의 이쉬크"
"specials.name.eternal_loyalty","영원한 충성"
"specials.name.eternal_servitude","영원한 노예"
"specials.name.ethereal","유령"
"specials.name.evading_dash","회피 대시"
"specials.name.everlasting_wound","영원한 상처"
"specials.name.excalibur","엑스칼리버"
"specials.name.excorcizing_arrow","퇴마의 화살"
"specials.name.explosive_goo_minions","하수인 감시"
"specials.name.explosive_o_lantern","폭발의 랜턴"
"specials.name.express_delivery","신속 배달"
"specials.name.exquisite_alchemy","정교한 연금술"
"specials.name.exquisite_victuals","최상급 요리"
"specials.name.exquisite_victuals_pve_advanced","최상급 요리"
"specials.name.exquisite_victuals_pve_normal","최상급 요리"
"specials.name.eye_of_panther","표범의 눈"
"specials.name.eye_of_the_storm","폭풍의 눈"
"specials.name.eye_of_yog-sir","요그시르의 눈"
"specials.name.fabled_fist","전설의 주먹"
"specials.name.fabled_llama_ballad","전설적인 라마의 노래"
"specials.name.fairy_godmothers_blessing","요정 대모의 축복"
"specials.name.faithful_force","충직한 힘"
"specials.name.falcon_screech","팔콘의 비명"
"specials.name.false_treat","거짓 선물"
"specials.name.familiar_eater","하수인 포식자"
"specials.name.familiar_witchcraft","패밀리어 마법"
"specials.name.fangs_and_blades","송곳니와 검"
"specials.name.fangs_of_death","고뇌의 이빨"
"specials.name.fatal_dreams","치명적인 꿈"
"specials.name.fatal_finisher","치명적 마무리"
"specials.name.fearless_charge","두려움 없는 공격"
"specials.name.feather_tempest","깃털 폭풍"
"specials.name.feline_constellation","고양이 별자리"
"specials.name.feral_arrows","흉포의 화살"
"specials.name.feral_bite","야생 물기"
"specials.name.feral_gust_dragon_pve","맹렬한 돌풍"
"specials.name.feral_peck","야생의 쪼기"
"specials.name.feral_revenge","야생 복수"
"specials.name.feral_swing","야생의 스윙"
"specials.name.feyfire_slash","페이파이어 슬래시"
"specials.name.field_aid","하급 치유"
"specials.name.field_surgery","상급 치유"
"specials.name.fiendslayer","악마 슬레이어"
"specials.name.fierce_fu_jow_pai","사악한 후조 파이"
"specials.name.fierce_pierce","맹렬한 돌파"
"specials.name.fierce_slash","살벌한 칼날"
"specials.name.fiery_charge","불타는 돌격"
"specials.name.fiery_performance","불타는 퍼포먼스"
"specials.name.fiery_revenge","불같은 복수"
"specials.name.fire_barrier_dragon_pve","불의 방벽"
"specials.name.fire_bolt_zidane","파이어 볼트"
"specials.name.fire_storm","화염 태풍"
"specials.name.fire_tiger","화염 호랑이"
"specials.name.fireball","화염구"
"specials.name.fireball_single","화염구"
"specials.name.fireblade_slash","화염검 베기"
"specials.name.fires_of_ragnarok","라그나로크의 화염"
"specials.name.fires_of_ragnarok_final","라그나로크의 화염"
"specials.name.firestone_daggers","파이어스톤 단검"
"specials.name.firewall","방화벽"
"specials.name.firing_on_all_cylinders","총공격"
"specials.name.first_frost","첫 서리"
"specials.name.first_law_of_thermodynamics","열역학 제1법칙"
"specials.name.fishbone_blades","생선뼈 검"
"specials.name.fists_of_atonement","속죄의 주먹"
"specials.name.flail_of_destruction","파괴의 도리깨"
"specials.name.flail_swing","무차별 구타"
"specials.name.flails_of_fury","분노의 쌍절곤"
"specials.name.flame_of_the_dragon_familiar","드래곤 패밀리어의 화염"
"specials.name.flame_of_the_lioness","암사자의 불꽃"
"specials.name.flame_storm","화염 폭풍"
"specials.name.flame_surge","불기둥"
"specials.name.flames_and_rejuvenation","화염과 원기 회복"
"specials.name.flames_and_rejuvenation_pve","화염과 원기 회복"
"specials.name.flames_of_revenge","복수의 화염"
"specials.name.flaming_fury","불타는 분노"
"specials.name.flaming_grudge","불타는 원한"
"specials.name.flaming_mandibles","불타는 턱뼈"
"specials.name.flaming_rapier","불타는 레이피어"
"specials.name.flaming_rapier_pve","불타는 레이피어"
"specials.name.flaming_sword","불타는 검"
"specials.name.flanking_maneuver","측면 공격"
"specials.name.flanking_maneuver_pve","측면 공격"
"specials.name.flare","화염 숨결"
"specials.name.flat_cake_for_sweethearts","연인을 위한 플랫 케이크"
"specials.name.flat_cake_for_sweethearts_pve","연인을 위한 플랫 케이크"
"specials.name.flawless_shot","완벽한 사격"
"specials.name.flock_of_folly_eldwren","어리석음의 무리"
"specials.name.floral_sting","꽃침"
"specials.name.flower_arrangements","꽃의 기운"
"specials.name.flower_of_kindness","친절함의 꽃"
"specials.name.fluff_in_the_air","떠다니는 솜털"
"specials.name.flurry_of_blows","연타"
"specials.name.flurry_of_slashes","현란한 칼부림"
"specials.name.flurry_of_slashes_deadly","현란한 칼부림"
"specials.name.flute_of_enchantment","마법의 피리"
"specials.name.focused_shot","집중 사격"
"specials.name.fog_machine","인공 안개"
"specials.name.fog_of_the_fallen","몰락의 안개"
"specials.name.fog_of_the_glass_sabina","비트레일의 안개"
"specials.name.fog_of_the_perished","멸망의 안개"
"specials.name.fog_of_the_toons","툰의 안개"
"specials.name.fog_of_the_vitrails","비트레일의 안개"
"specials.name.for_queen_and_hollow","퀸 앤 할로우"
"specials.name.force_of_forest","숲의 힘"
"specials.name.forceful_advance","강제 진행"
"specials.name.forest_breath","숲의 숨결"
"specials.name.forest_command","숲의 명령"
"specials.name.forest_friends","숲의 친구"
"specials.name.forge_rush","벼림의 일격"
"specials.name.forged_axe_of_light","단조된 빛의 도끼"
"specials.name.forged_from_gold","황금 단조"
"specials.name.forged_in_fire","화염 단조"
"specials.name.fortunate_slice","행운의 일격"
"specials.name.fracturing_cut","프랙처링 컷"
"specials.name.fracturing_shards","조각 파편"
"specials.name.fracturing_slash","분쇄의 칼날"
"specials.name.freezing_cold_cutter","혹한의 칼부림"
"specials.name.freezing_crystal","냉동 크리스탈"
"specials.name.freezing_fairy_mist","얼어붙은 요정 안개"
"specials.name.freezing_power_hooks","얼어붙는 힘의 갈고리"
"specials.name.frenzied_rend","광란의 분열"
"specials.name.frenzy_plant","성난 식물"
"specials.name.friendly_critters_feast","친절한 동물들의 향연"
"specials.name.frightening_pinch","아틀란티스 창"
"specials.name.frightstrike","파이트 스트라이크"
"specials.name.frogs_and_hoop","개구리와 후프"
"specials.name.from_shadows","그림자로부터"
"specials.name.from_shadows_pve","그림자로부터"
"specials.name.frost_and_rime","서리와 눈꽃"
"specials.name.frost_bound_blade","서리 낀 칼날"
"specials.name.frostbite","동상"
"specials.name.frostbolt_dragon_pve","서리 화살"
"specials.name.frostbound_smash","얼음 결박 스매시"
"specials.name.frostneedle","서리 바늘"
"specials.name.frosty_axes","서리 도끼"
"specials.name.frosty_punches","서리 주먹"
"specials.name.frozen_orb","얼어붙은 오브"
"specials.name.frozen_path","강의 길"
"specials.name.frozen_wind","얼어붙은 바람"
"specials.name.frozen_wind_pve","얼어붙은 바람"
"specials.name.fruit_cocktail","후르츠 칵테일"
"specials.name.fruits_of_labor","마늘의 효능"
"specials.name.fullmetal_pelt","풀메탈 피갑"
"specials.name.furious_bite","광포한 이빨"
"specials.name.furious_boar","광포한 멧돼지"
"specials.name.furious_flames","광포한 불길"
"specials.name.furry_loggers_swing","털복숭이 나무꾼의 스윙"
"specials.name.fury_of_ash","재의 분노"
"specials.name.fury_of_grimnir","그림니르의 분노"
"specials.name.fury_of_the_ancient_forest","고대숲의 분노"
"specials.name.fury_of_the_fire_giants","화염 거인의 분노"
"specials.name.fury_of_the_fire_giants_final","화염 거인의 분노"
"specials.name.fury_of_the_mountain_lord","산 군주의 분노"
"specials.name.fury_of_the_silverback","실버백의 분노"
"specials.name.gallant_stance","용기 있는 자세"
"specials.name.gamblers_stance","도박사의 자세"
"specials.name.gamblers_swing","도박사의 스윙"
"specials.name.garbage_shock_wave","쓰레기 충격파"
"specials.name.gardeners_remedy","정원사의 해결책"
"specials.name.gargantuan_bite","거수의 이빨"
"specials.name.gargoyles_of_redemption","구원의 가고일"
"specials.name.gargoyles_of_redemption_pve","구원의 가고일"
"specials.name.gargoyles_of_restoration","회복의 가고일"
"specials.name.garlic_serving_edwin","마늘 플래터"
"specials.name.generous_gifts","넉넉한 선물"
"specials.name.gentle_paw","부드러운 발"
"specials.name.gentlemans_cane","신사의 지팡이"
"specials.name.gentlemans_transformation","신사의 변신"
"specials.name.giddy_jab_dragon_pve","기이한 찌르기"
"specials.name.gift_list","선물 목록"
"specials.name.gift_of_rejuvenation","재활의 선물"
"specials.name.gift_of_rock","알록달록 묵시록"
"specials.name.giftsack","선물 자루"
"specials.name.gilded_antlers","금빛 수사슴"
"specials.name.glacial_atmosphere","빙하 대기"
"specials.name.glacial_crusher","빙하 분쇄기"
"specials.name.glacial_explosion","빙하 폭발"
"specials.name.glacial_fissure_cleave","갈라진 빙하"
"specials.name.glacial_resilience","빙하 탄력"
"specials.name.glacial_shatter","빙하 파괴"
"specials.name.glacial_vortex","빙하 소용돌이"
"specials.name.glaive_of_flames","화염검"
"specials.name.glass_anger_of_forest_horghall","조각의 분노"
"specials.name.glass_arrow","유리 애로우"
"specials.name.glass_barrage_scarlett","유리 포화"
"specials.name.glass_beam","유리 빔"
"specials.name.glass_bite","유리 이빨"
"specials.name.glass_bolt","유리 볼트"
"specials.name.glass_brew","유리 브루"
"specials.name.glass_burning_strike","유리 강타"
"specials.name.glass_chop","유리 절단"
"specials.name.glass_cleave","유리 쪼개기"
"specials.name.glass_cold_blast_ulmer","유리 눈보라"
"specials.name.glass_cut","유리 컷"
"specials.name.glass_cut_chao","비트랄리의 베기"
"specials.name.glass_entangling_shot","유리 애로우"
"specials.name.glass_finisher_thorne","유리 피니셔"
"specials.name.glass_fireball","유리 화염구"
"specials.name.glass_flame_smash","유리 화염 강타"
"specials.name.glass_four_blades","유리 검 베기"
"specials.name.glass_fury","유리 분노"
"specials.name.glass_gamblers_stance","유리 태세"
"specials.name.glass_hammer","유리 망치"
"specials.name.glass_have_faith","깨끗한 신념"
"specials.name.glass_heal","유리 치유"
"specials.name.glass_jolt","유리 졸트"
"specials.name.glass_kick","유리 차기"
"specials.name.glass_leaping_attack_dawa","유리 공격"
"specials.name.glass_leeching_stars_renfeld","유리 별"
"specials.name.glass_link","유리 링크"
"specials.name.glass_massive_chop","유리 절단"
"specials.name.glass_mist","유리 미스트"
"specials.name.glass_order","비트랄리의 명령"
"specials.name.glass_peck","유리 펙"
"specials.name.glass_piercing_hit_tyrum","유리 타격"
"specials.name.glass_piercing_strike","유리 강타"
"specials.name.glass_prayer","유리 기도"
"specials.name.glass_pulverizer","유리 파쇄"
"specials.name.glass_pulverizer_tiburtus","유리 파쇄"
"specials.name.glass_purification","유리화"
"specials.name.glass_ramming_rush","유리 러시"
"specials.name.glass_ramming_rush_isshtak","유리 러시"
"specials.name.glass_riposte","유리 리포스테"
"specials.name.glass_riposte_boril","유리 리포스테"
"specials.name.glass_shatter","유리 파쇄"
"specials.name.glass_shield_kadilen","유리 방패"
"specials.name.glass_skin","유리 피부"
"specials.name.glass_slam","유리 내려치기"
"specials.name.glass_slash","유리 베기"
"specials.name.glass_spear","유리 창"
"specials.name.glass_stab","유리 찌르기"
"specials.name.glass_stone_skin_gunnar","유리 링크"
"specials.name.glass_strike","유리 강타"
"specials.name.glass_strike_caedmon","유리 강타"
"specials.name.glass_strike_magni","유리 강타"
"specials.name.glass_swords","유리의 벽"
"specials.name.glass_thunderstrike_quintus","유리 최후통첩"
"specials.name.glass_traps_oberon","유리 함정"
"specials.name.glass_vines","유리 덩굴"
"specials.name.glass_volcano","유리 화산"
"specials.name.glass_wall","유리벽"
"specials.name.glass_warcry","유리 전투 포효"
"specials.name.gleaming_gemstones","빛나는 보석"
"specials.name.gleaming_sword_and_iron_mail","빛나는 검과 철 갑옷"
"specials.name.glittering_sweep_dragon_pve","빛나는 휩쓸기"
"specials.name.gloom_grenades","암흑 수류탄"
"specials.name.gloomy_tune","우울한 곡조"
"specials.name.glorious_grace","영광스러운 은총"
"specials.name.glutinous_execution","글루텐 실행"
"specials.name.gnomish_carnage","노움 대학살"
"specials.name.goat_rush","염소 돌진"
"specials.name.goblin_explosives","고블린 폭발"
"specials.name.goblin_serenade","고블린 세레나데"
"specials.name.god_of_the_underworld","하계의 일격"
"specials.name.gold_gauntlet","황금 건틀렛"
"specials.name.gold_rush","골드 러시"
"specials.name.gold_weaver","금실 엮기"
"specials.name.golden_aura","황금 오라"
"specials.name.golden_cicada","황금 매미"
"specials.name.golden_sacred_symbol","신성한 금빛 문장"
"specials.name.golden_thread","황금 실"
"specials.name.golem_crusher","골렘 파괴자"
"specials.name.goodnight_lullaby","한밤의 자장가"
"specials.name.gooey_rose","끈끈이 장미"
"specials.name.gorging_bite_yellow","잔인한 한 입"
"specials.name.gorging_chew_blue","질겅질겅 씹기"
"specials.name.gorging_chew_green","질겅질겅 씹기"
"specials.name.gorging_chew_purple","질겅질겅 씹기"
"specials.name.gorging_chew_red","질겅질겅 씹기"
"specials.name.gorging_chew_yellow","질겅질겅 씹기"
"specials.name.gorgyra","발키리의 불굴"
"specials.name.grab_and_run","가지고 달리기"
"specials.name.graceful_shot","우아한 사격"
"specials.name.graceless_ritual","야만적인 의식"
"specials.name.grand_heist","대절도"
"specials.name.great_frost_axe","거대한 얼음 도끼"
"specials.name.great_frost_hoe","거대한 얼음 괭이"
"specials.name.greed_and_bribery","탐욕과 뇌물"
"specials.name.greedy_munch_red","탐욕의 일격"
"specials.name.green_dragon_crescent_blade","청룡언월도"
"specials.name.green_dragon_inferno","녹색 드래곤 화염 블레이드"
"specials.name.green_sparks_dragon_pve","녹색 스파크"
"specials.name.greeting_of_the_sun","태양 경배"
"specials.name.grim_awakening","냉혹한 각성"
"specials.name.grimoire_skim","마법서 훑어보기"
"specials.name.grips_of_longing","갈망의 손아귀"
"specials.name.grips_of_longing_pve","갈망의 손아귀"
"specials.name.grove_splash_dragon_pve","숲 스플래시"
"specials.name.gruesome_charge","끔찍한 돌격"
"specials.name.guard_the_garden","정원을 지켜라!"
"specials.name.guardian_armor","수호자 갑옷"
"specials.name.guardians_retaliation","가디언의 보복"
"specials.name.guarding_tunes","수호의 선율"
"specials.name.guiding_arrow","인도하는 화살"
"specials.name.gust_of_restoration","회복의 돌풍"
"specials.name.gust_of_swiftness","신속함의 돌풍"
"specials.name.hack_and_slash","마구잡이 베기"
"specials.name.hacking_attack","거칠게 베기"
"specials.name.hailstone_glare_dragon_pve","우박석의 빛"
"specials.name.hailstorm","우박 폭풍"
"specials.name.halflings_wisdom","난쟁이의 지혜"
"specials.name.halflings_wit","하플링의 재치"
"specials.name.hallowed_blade","신성한 검"
"specials.name.halting_counter_strike","소심한 반격"
"specials.name.hammer_thump","해머 쾅"
"specials.name.harmonic_bash","조화의 일격"
"specials.name.harmonic_slam","조화의 강타"
"specials.name.harpoon_sentry","작살 감시병"
"specials.name.harpy_claw","하피 발톱"
"specials.name.harrow_the_heart","심장 쏘기"
"specials.name.hasty_gift_wrapper","성급한 선물 포장꾼"
"specials.name.hasty_trigger_finger","성급한 방아쇠 손가락"
"specials.name.have_curiosity","희망 획득"
"specials.name.have_faith","신념 충만"
"specials.name.haze_of_the_deceased","몰락의 연무"
"specials.name.head_hurl","머리 던지기"
"specials.name.healing_chant","치유의 찬가"
"specials.name.healing_fire_spirits","불의 정령 치유"
"specials.name.healing_gift","정신없는 치유"
"specials.name.healing_gift_anteros","정신없는 치유"
"specials.name.healing_gift_kabeiroi","정신없는 치유"
"specials.name.healing_mirror","치유의 거울"
"specials.name.healthiest_catch","신선도 만점"
"specials.name.hearty_stew","따뜻한 스튜"
"specials.name.heatstinger","열기쏘기"
"specials.name.heavy_fragrance","묵직한 향"
"specials.name.heedless_hammer_flurry","무자비한 해머 돌풍"
"specials.name.heirloom_dagger","가보 단검"
"specials.name.helping_hands","도움의 손길"
"specials.name.hemlock_tea","독말풀 차"
"specials.name.herbal_remedies","허브 요법"
"specials.name.herculean_throw","헤라클레스 던지기"
"specials.name.herd_stampede","무차별 짓밟기"
"specials.name.here_catch","여기야! 잡아!"
"specials.name.heretic_slayer","이단 사냥꾼"
"specials.name.heroic_noble","삼지창 던지기"
"specials.name.heroic_noble_deadly","삼지창 던지기"
"specials.name.herring_blaster","청어 기관총"
"specials.name.herring_surprise","청어 깜짝 선물"
"specials.name.hide_in_shadows","그림자 은신"
"specials.name.high_altitude_ambush","고고도 기습"
"specials.name.high_energy_field","고에너지 필드"
"specials.name.high_noon_sun","높은 정오의 태양"
"specials.name.holding_down_the_fort","요새 사수"
"specials.name.hollow_boast","헛된 자랑"
"specials.name.holy_aura","신성한 오라"
"specials.name.holy_guard","신성한 파수병"
"specials.name.holy_hibiscus_ale","성스러운 히비스커스 에일"
"specials.name.holy_mark","성흔"
"specials.name.holy_splash","홀리 스플래시"
"specials.name.home_run","홈런"
"specials.name.horn_attack","사슴뿔 공격"
"specials.name.horrifying_wail","끔찍한 울부짖음"
"specials.name.horses_curse","모래바람"
"specials.name.hoverboard_crash","호버보드 추락"
"specials.name.hoverboard_slam","호버보드 슬램"
"specials.name.howling_sword","울부짖는 검"
"specials.name.hues_of_love","사랑의 색채"
"specials.name.hungering_grave","굶주린 무덤"
"specials.name.hunt_for_prey","먹이 사냥"
"specials.name.hunters_instinct","사냥꾼의 본능"
"specials.name.hunters_mark","사냥꾼의 표식"
"specials.name.hunters_true_shot","사냥꾼의 트루샷"
"specials.name.hunting_ballad","사냥의 노래"
"specials.name.hunting_charge","사냥꾼의 일격"
"specials.name.hydra_bite","히드라 바이트"
"specials.name.hymn_of_enrichment","풍요의 성가"
"specials.name.hyper_porridge","초활력 죽"
"specials.name.hyperborean_hook","하이퍼보리아의 갈고리"
"specials.name.hypersonic_tackle","초음속 태클"
"specials.name.hypnosis_dragon_pve","최면"
"specials.name.ice_and_slice","아이스 앤 슬라이스"
"specials.name.ice_boom","얼음 폭발"
"specials.name.ice_cold_order","얼음처럼 차가운 명령"
"specials.name.ice_cream_smash","아이스크림 뭉개기"
"specials.name.ice_treatment","얼음 요법"
"specials.name.iceberg_aura","빙산의 기운"
"specials.name.iceberg_crush","빙하 충돌"
"specials.name.iceberg_havoc","빙하 대혼란"
"specials.name.icebound_howl","아이스 바운드 하울"
"specials.name.icebound_ritual","얼음 속 의식"
"specials.name.icecold_finisher","얼음 종결자"
"specials.name.icehammer_smash","얼음망치 강타"
"specials.name.iceshatter","얼음 부수기"
"specials.name.icy_axes","얼음 도끼"
"specials.name.icy_mandibles","얼음 턱뼈"
"specials.name.icy_resilience","차가운 탄성"
"specials.name.ill_bring_you_back","다시 데려올게요"
"specials.name.ill_fated_experiment","불운한 운명의 실험"
"specials.name.imaginary_increments","상상의 증분"
"specials.name.immortal_annihilator","불멸의 파괴자"
"specials.name.immortal_annihilator_deadly","불멸의 파괴자"
"specials.name.immortal_punisher","불사의 응징자"
"specials.name.impairing_strike","파괴적인 일격"
"specials.name.impale_and_devour","찔러 삼키기"
"specials.name.impeccable_charge","완벽한 돌진"
"specials.name.impeding_bolts","방해의 볼트"
"specials.name.impervious_formation","난공불락 대형"
"specials.name.impossible_groove","임파서블 그루브"
"specials.name.impossible_riddle","영원한 수수께끼"
"specials.name.incite_ki","선동의 기"
"specials.name.incite_ki2","선동의 기"
"specials.name.indestructible_claw","금강 발톱"
"specials.name.indifferent_blade","무심한 칼날"
"specials.name.inevitable_demise","불가피한 사망"
"specials.name.infernal_chops","지옥 자르기"
"specials.name.infernal_drumstorm","지옥의 드럼스톰"
"specials.name.infernal_flames","지옥의 업화"
"specials.name.infernal_jaws","지옥의 아귀"
"specials.name.ink_bomb","잉크 폭탄"
"specials.name.innovative_lunge","혁신적인 돌격"
"specials.name.insidious_goo","인시디어스 구"
"specials.name.inspiring_fencing","고양되는 펜싱"
"specials.name.insurmountable_flux","부가항력"
"specials.name.intimidating_stance","위협 태세"
"specials.name.invigorating_pollen","활력을 주는 꽃가루"
"specials.name.invigorating_soup","활력을 주는 수프"
"specials.name.invisible_strike","투명 일격"
"specials.name.iron_discipline_cut","준엄한 일격"
"specials.name.iron_rocket_fist","강철 로켓 주먹"
"specials.name.ironbound_fury","강철의 분노"
"specials.name.jab_and_hook","잽 훅"
"specials.name.jack_of_owl_trades","다재다능 올빼미"
"specials.name.jackal_strike","자칼 일격"
"specials.name.jade_blades","제이드 블레이드"
"specials.name.jaw_clamp","덫 퍼뜨리기"
"specials.name.jaws_of_the_river","강의 아귀"
"specials.name.jewel_of_the_deep","심연의 보석"
"specials.name.join_in_joyful_song","즐거운 노래에 참가"
"specials.name.joyful_noise","즐거운 소음"
"specials.name.joyful_palette","즐거운 팔레트"
"specials.name.judgement_of_goo","끈끈이의 심판"
"specials.name.judgment_and_penance","심판과 속죄"
"specials.name.judgment_of_sun","태양의 심판"
"specials.name.juggling_trials","저글링 시험"
"specials.name.jungle_fury","정글의 분노"
"specials.name.jungle_riposte","숲의 반격"
"specials.name.jungle_slash","늪의 칼날"
"specials.name.just_a_flesh_wound","얕은 상처"
"specials.name.karnov","총체적 난타"
