"specials.name.a_cozy_break","Eine gemütliche Pause"
"specials.name.disrupting_charge_costume_tiger_lord","Verheerungsangriff"
"specials.name.divine_connection","Göttliche Verbindung"
"specials.name.divine_current","Göttliche Strömung"
"specials.name.divine_light1","Göttliches Licht"
"specials.name.divine_lunge","Göttlicher Sprung"
"specials.name.divine_protection","Göttlicher Schutz"
"specials.name.divine_protection_deadly","Göttlicher Schutz"
"specials.name.divine_reflection","Göttliche Reflexion"
"specials.name.divine_reversal","Göttliche Umkehr"
"specials.name.dizzying_strike","Betäubender Schlag"
"specials.name.donut_to_the_rescue","Rettungs-Donut!"
"specials.name.doomrend","Verderbensriss"
"specials.name.doomstrike","Verderbensschlag"
"specials.name.double_flail_mayhem","Doppelflegelchaos"
"specials.name.double_strike","Doppelschlag"
"specials.name.doublebarreled_starstick","Doppelläufiger Sternstock"
"specials.name.dozy_mead","Dämmermet"
"specials.name.dragon_autumn_blaze","Herbstbrand"
"specials.name.dragon_blaze_of_fatigue","Flamme der Ermüdung"
"specials.name.dragon_blaze_of_mortality","Flamme der Sterblichkeit"
"specials.name.dragon_blaze_of_protection","Flamme des Schutzes"
"specials.name.dragon_blaze_of_suppression","Flamme der Unterdrückung"
"specials.name.dragon_blaze_of_the_hydra","Flamme der Hydra"
"specials.name.dragon_blaze_of_the_undying","Flammen der Untoten"
"specials.name.dragon_blaze_of_torment","Flamme der Qual"
"specials.name.dragon_blazing_inferno","Flammendes Inferno"
"specials.name.dragon_blazing_storm","Lodernder Sturm"
"specials.name.dragon_blinding_blaze","Blendendes Feuer"
"specials.name.dragon_blinding_blaze_duskwing","Blendendes Feuer"
"specials.name.dragon_blinding_blaze_jawbreaker","Blendendes Feuer"
"specials.name.dragon_blinding_blaze_wildheart","Blendendes Feuer"
"specials.name.dragon_breath_of_bulwark","Atem des Bollwerks"
"specials.name.dragon_breath_of_compassion","Atem des Mitgefühls"
"specials.name.dragon_breath_of_nourishment","Atem der Nahrung"
"specials.name.dragon_breath_of_retribution","Atem der Vergeltung"
"specials.name.dragon_breath_of_revival","Atem der Wiederbelebung"
"specials.name.dragon_cauterizing_blaze","Kauterisierendes Feuer"
"specials.name.dragon_charring_blaze","Verkohlendes Feuer"
"specials.name.dragon_claws","Drachenklauen"
"specials.name.dragon_cleansing_flame","Reinigende Flamme"
"specials.name.dragon_corrosive_blaze","Ätzendes Feuer"
"specials.name.dragon_cracking_blaze","Knisternde Flamme"
"specials.name.dragon_crackling_blaze_smoldercoil","Knisternde Flamme"
"specials.name.dragon_crashing_blaze","Zerschmetternde Flamme"
"specials.name.dragon_crippling_blaze","Lähmende Flamme"
"specials.name.dragon_crippling_blaze_belzaas","Lähmende Flamme"
"specials.name.dragon_crushing_blaze","Vernichtende Flamme"
"specials.name.dragon_dampening_blaze","Entmutigendes Feuer"
"specials.name.dragon_dazing_blaze","Betäubende Flamme"
"specials.name.dragon_delivery_service","Drachen-Lieferservice"
"specials.name.dragon_destabilizing_blaze","Destabilisierende Flamme"
"specials.name.dragon_devastating_blaze","Verheerende Flamme"
"specials.name.dragon_disarming_blaze","Entwaffnende Flamme"
"specials.name.dragon_draining_blaze","Dränagebrand"
"specials.name.dragon_empowering_breath","Verstärkender Atem"
"specials.name.dragon_esoteric_flame","Esoterische Flamme"
"specials.name.dragon_fang","Drachenzahn"
"specials.name.dragon_fiery_blaze","Feuerwall"
"specials.name.dragon_flames_of_acceleration","Beschleunigende Flamme"
"specials.name.dragon_fortifying_flame","Stärkende Flamme"
"specials.name.dragon_inspirational_breath","Atem der Inspiration"
"specials.name.dragon_mana_infused_breath","Mana-Atem"
"specials.name.dragon_mindless_blaze","Gewissenlose Flamme"
"specials.name.dragon_novices_blaze","Neulingsfeuer"
"specials.name.dragon_pacifying_breath","Beruhigender Atem"
"specials.name.dragon_protective_breath","Beschützender Atem"
"specials.name.dragon_rallying_breath","Versammlungsatem"
"specials.name.dragon_rallying_breath_trezoro","Versammlungsatem"
"specials.name.dragon_resuscitating_breath","Wiederbelebender Atem"
"specials.name.dragon_revitalizing_breath","Lebensspendender Atem"
"specials.name.dragon_sacred_flame","Heilige Flamme"
"specials.name.dragon_sacred_flame_harmonis","Heilige Flamme"
"specials.name.dragon_searing_blaze","Sengende Flamme"
"specials.name.dragon_shielding_breath","Abschirmender Atem"
"specials.name.dragon_shocking_blaze","Schockbrand"
"specials.name.dragon_spring_breath","Frühlingsatem"
"specials.name.dragon_spring_breath_erudius","Frühlingsatem"
"specials.name.dragon_strengthening_flame","Kräftigende Flamme"
"specials.name.dragon_summer_blaze","Sommerbrise"
"specials.name.dragon_volcanic_blaze","Vulkanflamme"
"specials.name.dragon_weakening_blaze","Schwächendes Feuer"
"specials.name.dragon_weakening_blaze_ashenheart","Schwächendes Feuer"
"specials.name.dragon_weakening_blaze_gonthrox","Schwächendes Feuer"
"specials.name.dragon_wounding_blaze","Verletzendes Feuer"
"specials.name.dragon_wounding_blaze_ceestraze","Verletzendes Feuer"
"specials.name.dragon_wounding_blaze_talonshine","Verletzendes Feuer"
"specials.name.dragon_wrecking_blaze","Verheerende Flamme"
"specials.name.dragon_wrecking_blaze_rangifer","Verheerende Flamme"
"specials.name.drain_strike","Rinnenschlag"
"specials.name.draining_blade","Beeinträchtigende Klinge"
"specials.name.drawn_to_the_depths","In die Tiefe gezogen"
"specials.name.dread_hammer","Schreckenshammer"
"specials.name.dreaded_swords","Schreckliche Schwerter"
"specials.name.dreaded_waters","Gefürchtete Gewässer"
"specials.name.dreadful_riddle","Furchtbares Rätsel"
"specials.name.dreadstrike","Furchtschlag"
"specials.name.dreams_of_nourishment","Träume der Nahrung"
"specials.name.dress_up","Schick gemacht!"
"specials.name.drowsy_bolt","Schläfriger Bolzen"
"specials.name.drum_chain","Ipu-Trommelkette"
"specials.name.dual_axes","Doppeläxte"
"specials.name.dual_blades","Doppelklingen"
"specials.name.dual_data_blades","Daten-Doppelklingen"
"specials.name.dual_laser_blades","Doppelklingen"
"specials.name.dual_slash","Dualschlag"
"specials.name.dual_sting","Zweifacher Stich"
"specials.name.dubious_cuisine","Fragwürdige Küche"
"specials.name.dubious_cuisine_catastrophic_kitchen_failure","Katastrophales Versagen in der Küche"
"specials.name.dubious_cuisine_exquisite_food","Exquisites Essen"
"specials.name.dubious_cuisine_rotten_food","Verdorbenes Essen"
"specials.name.dubious_merchandise","Bedenkliche Ware"
"specials.name.dubious_mixture","Dubiose Mischung"
"specials.name.dum_and_dee","Dum und Dee"
"specials.name.dusk_dust","Dämmerungsdunst"
"specials.name.dusk_till_dawn","Bis zur Morgendämmerung"
"specials.name.dust_to_dust","Staub zu Staub"
"specials.name.dwarven_flourish","Erfolg der Zwerge"
"specials.name.dwarven_kings_levy","Zwergenkönigs-Abgabe"
"specials.name.dwarven_recharge","Zwergennachladung"
"specials.name.easy_breezy_aura","Unbeschwerte Aura"
"specials.name.echoes_of_ice","Eisechos"
"specials.name.echoes_of_pain","Echos des Schmerzes"
"specials.name.echoes_of_the_opera","Echos der Oper"
"specials.name.eclipse_shield","Finsternisschild"
"specials.name.eclipse_spear","Finsternisspeer"
"specials.name.educated_exorcism","Geschulter Exorzismus"
"specials.name.egg_barrage","Eierhagel"
"specials.name.elders_remedy","Heilmittel der Alten"
"specials.name.eldritch_blight","Gespenstische Fäule"
"specials.name.eldritch_sign_bolts","Unheimliche Signalbolzen"
"specials.name.electric_cut","Elektroschnitt"
"specials.name.electric_dragonfire","Elektrisches Drachenfeuer"
"specials.name.electric_jolt","Kugelblitz"
"specials.name.electric_stab","Elektrischer Stich"
"specials.name.electric_sting_dragon_pve","Elektrischer Stachel"
"specials.name.electrified_claws","Elektrische Klauen"
"specials.name.electrified_claws_ultimate_boss","Elektrische Klauen"
"specials.name.electrifying_gust_dragon_pve","Elektrisierender Windstoß"
"specials.name.elegant_pulverizer","Eleganter Pulverisator"
"specials.name.elemental_corruption","Elementar-Verderben"
"specials.name.elemental_infusion_arrow","Elementar-Pfeil"
"specials.name.elemental_infusion_arrow_pve","Elementar-Infusionspfeil"
"specials.name.elemental_magic","Elementarmagie"
"specials.name.emboldened_strike","Ermutigter Schlag"
"specials.name.emerald_dual_blade","Smaragd-Doppelklinge"
"specials.name.emerald_flash","Smaragdblitz"
"specials.name.emerald_tide","Smaragdflut"
"specials.name.emerald_wind","Smaragdwind"
"specials.name.empowered_slash","Verstärkter Schlitzer"
"specials.name.empowering_bash","Verstärkender Schlag"
"specials.name.empowering_bash_deadly","Verstärkender Schlag"
"specials.name.en_garde","En Garde"
"specials.name.enchanted_antlers","Verzaubertes Geweih"
"specials.name.enchanted_axe_swing","Verwunschener Axtschwung"
"specials.name.enchanted_edge","Verzauberte Klinge"
"specials.name.enchanted_elven_sword","Verwunschenes Elfenschwert"
"specials.name.enchanted_symphony","Verzauberte Symphonie"
"specials.name.enchanting_divination","Bezaubernde Prophezeiung"
"specials.name.enchanting_melody","Zauberhafte Melodie"
"specials.name.endless_daggers","Endlose Dolche"
"specials.name.endless_maze","Endloses Labyrinth"
"specials.name.energy_conjunction","Energiekonjunktion"
"specials.name.energy_of_mjolnir","Energie von Mjölnir"
"specials.name.energy_steal_dragon_pve","Energieraub"
"specials.name.engulfing_candlelight","Im Kerzenschein"
"specials.name.entangling_shot","Schlingenschuss"
"specials.name.entrapping_enchantment","Einschließender Zauber"
"specials.name.erase_strength","Stärke löschen"
"specials.name.erupting_slices","Ausbrechende Teile"
"specials.name.esprit_de_corps","Esprit de Corps"
"specials.name.essence_of_queen_nitocris","Essenz der Königin Nitocris"
"specials.name.eternal_bond","Ewiger Bund"
"specials.name.eternal_ishq","Ewige Ishq"
"specials.name.eternal_loyalty","Ewige Treue"
"specials.name.eternal_servitude","Ewige Knechtschaft"
"specials.name.ethereal","Geist"
"specials.name.evading_dash","Ausweichendes Vorpreschen"
"specials.name.everlasting_wound","Immerwährende Wunde"
"specials.name.excalibur","Excalibur"
"specials.name.excorcizing_arrow","Exorzismuspfeil"
"specials.name.explosive_goo_minions","Lakaienprüfung"
"specials.name.explosive_o_lantern","Sprengkürbis"
"specials.name.express_delivery","Expresslieferung"
"specials.name.exquisite_alchemy","Ausgesuchte Alchemie"
"specials.name.exquisite_victuals","Vorzügliche Verpflegung"
"specials.name.exquisite_victuals_pve_advanced","Vorzügliche Verpflegung"
"specials.name.exquisite_victuals_pve_normal","Vorzügliche Verpflegung"
"specials.name.eye_of_panther","Pantherauge"
"specials.name.eye_of_the_storm","Auge des Sturms"
"specials.name.eye_of_yog-sir","Auge von Yog-Sir"
"specials.name.fabled_fist","Sagenhafte Faust"
"specials.name.fabled_llama_ballad","Fabelhafte Lama-Ballade"
"specials.name.fairy_godmothers_blessing","Segen der guten Fee"
"specials.name.faithful_force","Treue Streitkraft"
"specials.name.falcon_screech","Falkenschrei"
"specials.name.false_treat","Falsche Belohnung"
"specials.name.familiar_eater","Lakaienfresser"
"specials.name.familiar_witchcraft","Hexerei des Vertrauten"
"specials.name.fangs_and_blades","Zähne und Klingen"
"specials.name.fangs_of_death","Hauer der Agonie"
"specials.name.fatal_dreams","Tödliche Träume"
"specials.name.fatal_finisher","Tödlicher Vernichtungsschlag"
"specials.name.fearless_charge","Furchtloser Ansturm"
"specials.name.feather_tempest","Federsturm"
"specials.name.feline_constellation","Katzen-Konstellation"
"specials.name.feral_arrows","Wilde Pfeile"
"specials.name.feral_bite","Wilder Biss"
"specials.name.feral_gust_dragon_pve","Sturmwind"
"specials.name.feral_peck","Wildes Picken"
"specials.name.feral_revenge","Wilde Rache"
"specials.name.feral_swing","Wilder Schwung"
"specials.name.feyfire_slash","Feuerhieb"
"specials.name.field_aid","Einfachheilung"
"specials.name.field_surgery","Mehrfachheilung"
"specials.name.fiendslayer","Feindschlächter"
"specials.name.fierce_fu_jow_pai","Wildes Fu Jow Pai"
"specials.name.fierce_pierce","Wilder Stachel"
"specials.name.fierce_slash","Wuthieb"
"specials.name.fiery_charge","Feuriger Angriff"
"specials.name.fiery_performance","Leidenschaftlicher Auftritt"
"specials.name.fiery_revenge","Feuerrache"
"specials.name.fire_barrier_dragon_pve","Feuerbarriere"
"specials.name.fire_bolt_zidane","Feuerbolzen"
"specials.name.fire_storm","Feuersturm"
"specials.name.fire_tiger","Feuertiger"
"specials.name.fireball","Feuerball"
"specials.name.fireball_single","Feuerball"
"specials.name.fireblade_slash","Feuerklingenhieb"
"specials.name.fires_of_ragnarok","Feuer von Ragnarök"
"specials.name.fires_of_ragnarok_final","Feuer von Ragnarök"
"specials.name.firestone_daggers","Feuerstein-Dolche"
"specials.name.firewall","Feuerwand"
"specials.name.firing_on_all_cylinders","Feuern auf allen Zylindern"
"specials.name.first_frost","Erster Frost"
"specials.name.first_law_of_thermodynamics","Erstes Gesetz der Thermodynamik"
"specials.name.fishbone_blades","Grätenklinge"
"specials.name.fists_of_atonement","Fäuste der Buße"
"specials.name.flail_of_destruction","Morgenstern der Zerstörung"
"specials.name.flail_swing","Flegelschwung"
"specials.name.flails_of_fury","Flegel der Wut"
"specials.name.flame_of_the_dragon_familiar","Flamme des Drachenvertrauten"
"specials.name.flame_of_the_lioness","Flamme der Löwin"
"specials.name.flame_storm","Flammensturm"
"specials.name.flame_surge","Flammenfront"
"specials.name.flames_and_rejuvenation","Flammen und Verjüngung"
"specials.name.flames_and_rejuvenation_pve","Flammen und Verjüngung"
"specials.name.flames_of_revenge","Flammen der Rache"
"specials.name.flaming_fury","Flammende Wut"
"specials.name.flaming_grudge","Flammender Groll"
"specials.name.flaming_mandibles","Brennende Unterkiefer"
"specials.name.flaming_rapier","Flammender Degen"
"specials.name.flaming_rapier_pve","Flammender Degen"
"specials.name.flaming_sword","Flammendes Schwert"
"specials.name.flanking_maneuver","Seitenmanöver"
"specials.name.flanking_maneuver_pve","Seitenmanöver"
"specials.name.flare","Feuerodem"
"specials.name.flat_cake_for_sweethearts","Blechkuchen für Liebespaare"
"specials.name.flat_cake_for_sweethearts_pve","Blechkuchen für Liebespaare"
"specials.name.flawless_shot","Makelloser Schuss"
"specials.name.flock_of_folly_eldwren","Verrückte Schar"
"specials.name.floral_sting","Blumenstich"
"specials.name.flower_arrangements","Blumenarrangements"
"specials.name.flower_of_kindness","Blumen der Güte"
"specials.name.fluff_in_the_air","Flauschigkeit in der Luft"
"specials.name.flurry_of_blows","Hiebhagel"
"specials.name.flurry_of_slashes","Schlitzerwirbel"
"specials.name.flurry_of_slashes_deadly","Schlitzerwirbel"
"specials.name.flute_of_enchantment","Flöte der Verzauberung"
"specials.name.focused_shot","Präzisionsschuss"
"specials.name.fog_machine","Rauch der Nebelmaschine"
"specials.name.fog_of_the_fallen","Nebel der Verdammten"
"specials.name.fog_of_the_glass_sabina","Nebel der Vitrail"
"specials.name.fog_of_the_perished","Nebel der Verschwundenen"
"specials.name.fog_of_the_toons","Nebel der Toons"
"specials.name.fog_of_the_vitrails","Nebel der Vitrail"
"specials.name.for_queen_and_hollow","Für Königin und Tal!"
"specials.name.force_of_forest","Macht des Waldes"
"specials.name.forceful_advance","Entschiedener Ansturm"
"specials.name.forest_breath","Waldhauch"
"specials.name.forest_command","Waldkommando"
"specials.name.forest_friends","Waldfreunde"
"specials.name.forge_rush","Schmiederausch"
"specials.name.forged_axe_of_light","Geschmiedete Axt des Lichts"
"specials.name.forged_from_gold","Aus Gold geschmiedet"
"specials.name.forged_in_fire","In Feuer geschmiedet"
"specials.name.fortunate_slice","Glücksschnitt"
"specials.name.fracturing_cut","Zerbrechender Schnitt"
"specials.name.fracturing_shards","Splitterscherbe"
"specials.name.fracturing_slash","Brechender Schlitzer"
"specials.name.freezing_cold_cutter","Eiskalter Schnitter"
"specials.name.freezing_crystal","Frostkristall"
"specials.name.freezing_fairy_mist","Einfrierender Feenstaub"
"specials.name.freezing_power_hooks","Einfrierende Krafthaken"
"specials.name.frenzied_rend","Rasendes Zerfleischen"
"specials.name.frenzy_plant","Amokwuchs"
"specials.name.friendly_critters_feast","Festmahl der freundlichen Krabbler"
"specials.name.frightening_pinch","Atlantischer Speer"
"specials.name.frightstrike","Angstschlag"
"specials.name.frogs_and_hoop","Frösche und Reifen"
"specials.name.from_shadows","Aus den Schatten"
"specials.name.from_shadows_pve","Aus den Schatten"
"specials.name.frost_and_rime","Frost und Reime"
"specials.name.frost_bound_blade","Frostige Klinge"
"specials.name.frostbite","Frostbeule"
"specials.name.frostbolt_dragon_pve","Frostbolzen"
"specials.name.frostbound_smash","Abkühlender Hieb"
"specials.name.frostneedle","Frostnadel"
"specials.name.frosty_axes","Frostige Äxte"
"specials.name.frosty_punches","Frostige Fäuste"
"specials.name.frozen_orb","Frostkugel"
"specials.name.frozen_path","Flusspfad"
"specials.name.frozen_wind","Eisiger Wind"
"specials.name.frozen_wind_pve","Eisiger Wind"
"specials.name.fruit_cocktail","Fruchtcocktail"
"specials.name.fruits_of_labor","Gute Dosis Knoblauch"
"specials.name.fullmetal_pelt","Metallfell"
"specials.name.furious_bite","Bissangriff"
"specials.name.furious_boar","Rasender Eber"
"specials.name.furious_flames","Wilde Flammen"
"specials.name.furry_loggers_swing","Schlag des pelzigen Holzfällers"
"specials.name.fury_of_ash","Zorn der Asche"
"specials.name.fury_of_grimnir","Zorn des Grimnir"
"specials.name.fury_of_the_ancient_forest","Zorn des uralten Waldes"
"specials.name.fury_of_the_fire_giants","Zorn der Feuerriesen"
"specials.name.fury_of_the_fire_giants_final","Zorn der Feuerriesen"
"specials.name.fury_of_the_mountain_lord","Zorn des Bergfürsten"
"specials.name.fury_of_the_silverback","Zorn des Silberrückens"
"specials.name.gallant_stance","Beherzte Haltung"
"specials.name.gamblers_stance","Riskanter Einsatz"
"specials.name.gamblers_swing","Zockerschwung"
"specials.name.garbage_shock_wave","Müll-Schockwelle"
"specials.name.gardeners_remedy","Erlösung des Gärtners"
"specials.name.gargantuan_bite","Gargantischer Biss"
"specials.name.gargoyles_of_redemption","Gargoyles der Erlösung"
"specials.name.gargoyles_of_redemption_pve","Gargoyles der Erlösung"
"specials.name.gargoyles_of_restoration","Gargoyles der Wiederherstellung"
"specials.name.garlic_serving_edwin","Knoblauchteller"
"specials.name.generous_gifts","Großzügige Spenden"
"specials.name.gentle_paw","Sanfte Pfote"
"specials.name.gentlemans_cane","Gentlemanstock"
"specials.name.gentlemans_transformation","Wandlung des Gentlemans"
"specials.name.giddy_jab_dragon_pve","Fröhlicher Stoß"
"specials.name.gift_list","Geschenkeliste"
"specials.name.gift_of_rejuvenation","Geschenk der Verjüngung"
"specials.name.gift_of_rock","Geschenk des Steins"
"specials.name.giftsack","Geschenkesack"
"specials.name.gilded_antlers","Goldgeweih"
"specials.name.glacial_atmosphere","Gletscheratmosphäre"
"specials.name.glacial_crusher","Gletscherspalter"
"specials.name.glacial_explosion","Gletscherexplosion"
"specials.name.glacial_fissure_cleave","Gletscherspalten-Hieb"
"specials.name.glacial_resilience","Gletscherwiderstand"
"specials.name.glacial_shatter","Gletscherschlag"
"specials.name.glacial_vortex","Gletscherwirbel"
"specials.name.glaive_of_flames","Flammengleve"
"specials.name.glass_anger_of_forest_horghall","Wut der Scherben"
"specials.name.glass_arrow","Glaspfeil"
"specials.name.glass_barrage_scarlett","Glassalve"
"specials.name.glass_beam","Glasstrahl"
"specials.name.glass_bite","Glasbiss"
"specials.name.glass_bolt","Glaspfeil"
"specials.name.glass_brew","Glasgebräu"
"specials.name.glass_burning_strike","Glasschlag"
"specials.name.glass_chop","Glashieb"
"specials.name.glass_cleave","Glasspalter"
"specials.name.glass_cold_blast_ulmer","Glassturm"
"specials.name.glass_cut","Glasschnitt"
"specials.name.glass_cut_chao","Vitrailschnitt"
"specials.name.glass_entangling_shot","Glaspfeil"
"specials.name.glass_finisher_thorne","Glas-Abschluss"
"specials.name.glass_fireball","Glas-Feuerball"
"specials.name.glass_flame_smash","Glas-Flammenangriff"
"specials.name.glass_four_blades","Glasklingenhieb"
"specials.name.glass_fury","Gläserner Zorn"
"specials.name.glass_gamblers_stance","Glashaltung"
"specials.name.glass_hammer","Glashammer"
"specials.name.glass_have_faith","Glaube an die Klarheit"
"specials.name.glass_heal","Glasheilung"
"specials.name.glass_jolt","Glasrüttler"
"specials.name.glass_kick","Gläserner Tritt"
"specials.name.glass_leaping_attack_dawa","Glasangriff"
"specials.name.glass_leeching_stars_renfeld","Glassterne"
"specials.name.glass_link","Glasverbindung"
"specials.name.glass_massive_chop","Glashieb"
"specials.name.glass_mist","Glasnebel"
"specials.name.glass_order","Vitrail-Befehl"
"specials.name.glass_peck","Gläserner Schnabelhieb"
"specials.name.glass_piercing_hit_tyrum","Glastreffer"
"specials.name.glass_piercing_strike","Glasschlag"
"specials.name.glass_prayer","Glasgebet"
"specials.name.glass_pulverizer","Glasvernichter"
"specials.name.glass_pulverizer_tiburtus","Glasvernichter"
"specials.name.glass_purification","Verglasung"
"specials.name.glass_ramming_rush","Glasansturm"
"specials.name.glass_ramming_rush_isshtak","Glasansturm"
"specials.name.glass_riposte","Glas-Riposte"
"specials.name.glass_riposte_boril","Glas-Riposte"
"specials.name.glass_shatter","Glassplitter"
"specials.name.glass_shield_kadilen","Glasschild"
"specials.name.glass_skin","Glashaut"
"specials.name.glass_slam","Glasschlag"
"specials.name.glass_slash","Glasschlitzer"
"specials.name.glass_spear","Glasspeer"
"specials.name.glass_stab","Glasstab"
"specials.name.glass_stone_skin_gunnar","Glasverbindung"
"specials.name.glass_strike","Glasschlag"
"specials.name.glass_strike_caedmon","Glasschlag"
"specials.name.glass_strike_magni","Glasschlag"
"specials.name.glass_swords","Glaswand"
"specials.name.glass_thunderstrike_quintus","Glas-Ultimatum"
"specials.name.glass_traps_oberon","Glasfallen"
"specials.name.glass_vines","Glasreben"
"specials.name.glass_volcano","Glasvulkan"
"specials.name.glass_wall","Glasmauer"
"specials.name.glass_warcry","Glas-Kriegsschrei"
"specials.name.gleaming_gemstones","Leuchtende Edelsteine"
"specials.name.gleaming_sword_and_iron_mail","Schimmerndes Schwert und eiserne Rüstung"
"specials.name.glittering_sweep_dragon_pve","Glitzerndes Fegen"
"specials.name.gloom_grenades","Finsternisgranaten"
"specials.name.gloomy_tune","Düstere Melodie"
"specials.name.glorious_grace","Glorreiche Gnade"
"specials.name.glutinous_execution","Klebrige Hinrichtung"
"specials.name.gnomish_carnage","Zwergengemetzel"
"specials.name.goat_rush","Ziegenansturm"
"specials.name.goblin_explosives","Goblinexplosion"
"specials.name.goblin_serenade","Goblin-Serenade"
"specials.name.god_of_the_underworld","Unterweltschlag"
"specials.name.gold_gauntlet","Goldhandschuh"
"specials.name.gold_rush","Goldrausch"
"specials.name.gold_weaver","Goldweber"
"specials.name.golden_aura","Goldene Aura"
"specials.name.golden_cicada","Goldene Zikade"
"specials.name.golden_sacred_symbol","Goldenes heiliges Symbol"
"specials.name.golden_thread","Goldene Fäden"
"specials.name.golem_crusher","Golemvernichter"
"specials.name.goodnight_lullaby","Gutenachtlied"
"specials.name.gooey_rose","Schleimige Rose"
"specials.name.gorging_bite_yellow","Gelagebiss"
"specials.name.gorging_chew_blue","Füllender Bissen"
"specials.name.gorging_chew_green","Füllender Bissen"
"specials.name.gorging_chew_purple","Füllender Bissen"
"specials.name.gorging_chew_red","Füllender Bissen"
"specials.name.gorging_chew_yellow","Füllender Bissen"
"specials.name.gorgyra","Stärke der Walküre"
"specials.name.grab_and_run","Schnappen und fliehen"
"specials.name.graceful_shot","Anmutiger Schuss"
"specials.name.graceless_ritual","Schamloses Ritual"
"specials.name.grand_heist","Großer Raub"
"specials.name.great_frost_axe","Große Frostaxt"
"specials.name.great_frost_hoe","Große Frosthacke"
"specials.name.greed_and_bribery","Gier und Bestechung"
"specials.name.greedy_munch_red","Gieriges Mampfen"
"specials.name.green_dragon_crescent_blade","Halbmondklinge des grünen Drachen"
"specials.name.green_dragon_inferno","Höllenklinge des grünen Drachen"
"specials.name.green_sparks_dragon_pve","Grüne Funken"
"specials.name.greeting_of_the_sun","Gruß der Sonne"
"specials.name.grim_awakening","Grimmiges Erwachen"
"specials.name.grimoire_skim","Grimoire-Lesung"
"specials.name.grips_of_longing","Griffe der Sehnsucht"
"specials.name.grips_of_longing_pve","Griffe der Sehnsucht"
"specials.name.grove_splash_dragon_pve","Waldbad"
"specials.name.gruesome_charge","Grausamer Sturmangriff"
"specials.name.guard_the_garden","Schützt den Garten!"
"specials.name.guardian_armor","Wächterrüstung"
"specials.name.guardians_retaliation","Vergeltung des Wächters"
"specials.name.guarding_tunes","Wächtermelodien"
"specials.name.guiding_arrow","Wegweisender Pfeil"
"specials.name.gust_of_restoration","Böe der Erneuerung"
"specials.name.gust_of_swiftness","Böe der Schnelligkeit"
"specials.name.hack_and_slash","Haudrauf"
"specials.name.hacking_attack","Spalthieb"
"specials.name.hailstone_glare_dragon_pve","Hagelkornblende"
"specials.name.hailstorm","Hagelsturm"
"specials.name.halflings_wisdom","Weisheit des Halblings"
"specials.name.halflings_wit","Halblingsverstand"
"specials.name.hallowed_blade","Die heilige Klinge"
"specials.name.halting_counter_strike","Zögerlicher Gegenschlag"
"specials.name.hammer_thump","Hammerschlag"
"specials.name.harmonic_bash","Harmonieschlag"
"specials.name.harmonic_slam","Harmonieangriff"
"specials.name.harpoon_sentry","Harpunenwächter"
"specials.name.harpy_claw","Harpyienklaue"
"specials.name.harrow_the_heart","Herzerbarmen"
"specials.name.hasty_gift_wrapper","Hastige Geschenkverpackung"
"specials.name.hasty_trigger_finger","Hastiger Abzugsfinger"
"specials.name.have_curiosity","Hoffnungsschimmer"
"specials.name.have_faith","Fest im Glauben"
"specials.name.haze_of_the_deceased","Schleier der Verdammten"
"specials.name.head_hurl","Kopfwirbel"
"specials.name.healing_chant","Heilzauber"
"specials.name.healing_fire_spirits","Heilende Feuergeister"
"specials.name.healing_gift","Gedankenlose Heilung"
"specials.name.healing_gift_anteros","Gedankenlose Heilung"
"specials.name.healing_gift_kabeiroi","Gedankenlose Heilung"
"specials.name.healing_mirror","Heilspiegel"
"specials.name.healthiest_catch","Gesündester Fang"
"specials.name.hearty_stew","Herzhafter Eintopf"
"specials.name.heatstinger","Hitzestachel"
"specials.name.heavy_fragrance","Schwerer Duft"
"specials.name.heedless_hammer_flurry","Rücksichtsloser Hammerschwung"
"specials.name.heirloom_dagger","Vererbter Dolch"
"specials.name.helping_hands","Helfende Hände"
"specials.name.hemlock_tea","Schierlingstee"
"specials.name.herbal_remedies","Kräuter-Heilmittel"
"specials.name.herculean_throw","Herkulesaufgabe"
"specials.name.herd_stampede","Herden-Stampede"
"specials.name.here_catch","Hier! Fang!"
"specials.name.heretic_slayer","Ketzerschlächter"
"specials.name.heroic_noble","Dreizackwurf"
"specials.name.heroic_noble_deadly","Dreizackwurf"
"specials.name.herring_blaster","Hering-Sprenger"
"specials.name.herring_surprise","Heringsüberraschung"
"specials.name.hide_in_shadows","Im Schatten verstecken"
"specials.name.high_altitude_ambush","Hinterhalt aus großer Höhe"
"specials.name.high_energy_field","Feld mit hoher Energie"
"specials.name.high_noon_sun","High-Noon-Sonne"
"specials.name.holding_down_the_fort","Die Festung halten"
"specials.name.hollow_boast","Leere Prahlerei"
"specials.name.holy_aura","Heilige Aura"
"specials.name.holy_guard","Heilige Wache"
"specials.name.holy_hibiscus_ale","Heiliges Hibiskus-Ale"
"specials.name.holy_mark","Heiliges Zeichen"
"specials.name.holy_splash","Heilige Welle"
"specials.name.home_run","Home Run"
"specials.name.horn_attack","Geweih-Angriff"
"specials.name.horrifying_wail","Schreckliches Klagen"
"specials.name.horses_curse","Sandbrise"
"specials.name.hoverboard_crash","Hoverboard-Zusammenstoß"
"specials.name.hoverboard_slam","Hoverboard-Sturz"
"specials.name.howling_sword","Heulendes Schwert"
"specials.name.hues_of_love","Farben der Liebe"
