"herocard.passive_skill.description.addmana.all.allies","Kaikki liittolaiset saavat pienen määrän manaa."
"herocard.passive_skill.description.managenerationmodifier.none","{MODIFIER} % manatuotantoa."
"herocard.passive_skill.description.manaonownfamiliardeath.minion","Hahmo saa pienen määrän manaa, kun hänen omistamansa käskyläinen tuhotaan."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all","Tällä hahmolla on luontainen kyky painaa muistiin mikä tahansa vihollisten erikoistaidoilla kutsuttu käskyläinen tai riiviö. Viimeisin vihollisten kutsuma käskyläinen tai riiviö pysyy muistiin painettuna kunnes tätä erikoistaitoa käytetään."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#2","Tällä hahmolla on luontainen kyky painaa muistiin mikä tahansa vihollisten erikoistaidoilla kutsuttu käskyläinen tai riiviö. {0} viimeisintä vihollisten kutsumaa käskyläistä tai riiviötä pysyy muistiin painettuna kunnes tätä erikoistaitoa käytetään."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#3","This character has innate ability to Memorize any Minion or Fiend summoned by enemies' Special Skills. The latest {0} Minions and Fiends that enemies summon will stay memorized until the Special Skill is cast. (THIRD FORM)"
"herocard.passive_skill.description.memorizestatuseffects","Tällä hahmolla on luontainen kyky painaa muistiin vaivoja. Viimeisin hahmoon kohdistettu vaiva pysyy muistissa kunnes erikoistaitoa käytetään. Muistiin voi painaa vain vaivoja, joilla on kestoaika."
"herocard.passive_skill.description.memorizestatuseffects#2","Tällä hahmolla on luontainen kyky painaa muistiin vaivoja. Viimeisimmät {0} hahmoon kohdistettua vaivaa pysyvät muistissa kunnes erikoistaitoa käytetään. Muistiin voi painaa vain vaivoja, joilla on kestoaika."
"herocard.passive_skill.description.memorizestatuseffects#3","This character has innate ability to Memorize status ailments. The latest {0} status ailments that are cast on this character will stay memorized until the Special Skill is cast. Only status ailments with a duration can be memorized. (THIRD FORM)"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_blue","Tämä matkija antaa mahdollisuuden saada ylimääräistä saalista vyöhykkeiden suorittamisesta:

*****
 Alfaeetteri
 Jääeetteri III

****
 Jääeetteri II

***
 Jääeetteri I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_green","Tämä matkija antaa mahdollisuuden saada ylimääräistä saalista vyöhykkeiden suorittamisesta:

*****
 Alfaeetteri
 Luontoeetteri III

****
 Luontoeetteri II

***
 Luontoeetteri I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_purple","Tämä matkija antaa mahdollisuuden saada ylimääräistä saalista vyöhykkeiden suorittamisesta:

*****
 Alfaeetteri
 Pimeyden eetteri III

****
 Pimeyden eetteri II

***
 Pimeyden eetteri I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_red","Tämä matkija antaa mahdollisuuden saada ylimääräistä saalista vyöhykkeiden suorittamisesta:

*****
 Alfaeetteri
 Tulieetteri III

****
 Tulieetteri II

***
 Tulieetteri I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_yellow","Tämä matkija antaa mahdollisuuden saada ylimääräistä saalista vyöhykkeiden suorittamisesta:

*****
 Alfaeetteri
 Pyhä eetteri III

****
 Pyhä eetteri II

***
 Pyhä eetteri I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_blue","Tämä matkija antaa mahdollisuuden saada ylimääräistä saalista vyöhykkeiden suorittamisesta:

****
 Damaskiveitsi
 Taktiikkakirja
 Kaukoputki

***
 Hienot käsineet
 Kompassi
 Lämmin viitta
 Taisteluopas
 Korkeavartiset saappaat
 Ketjupanssari

**
 Vahva köysi"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_epic_yellow","Tämä matkija antaa mahdollisuuden saada ylimääräistä saalista vyöhykkeiden suorittamisesta:

***
 Piilotettu terä
 Taikapallo
 Vankka kilpi
 Ansavälineet
 Lämmin viitta
 Taisteluopas 
 Ketjupanssari
 Huotra
 Korkeavartiset saappaat

**
 Loitsukirjoitukset
 Tikari
 Nahkapanssari
 Teroituskivi
 Vahva köysi
 Puinen kilpi

*
 Seikkailijapakkaus
 Harjoitusmiekka
 Karut vaatteet"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_green","Tämä matkija antaa mahdollisuuden saada ylimääräistä saalista vyöhykkeiden suorittamisesta:

****
 Damaskiveitsi
 Taktiikkakirja
 Mysteerijuoma

***
 Hienot käsineet
 Kompassi
 Vankka kilpi
 Korkeavartiset saappaat
 Huotra

**
 Vahva köysi
 Tikari"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_purple","Tämä matkija antaa mahdollisuuden saada ylimääräistä saalista vyöhykkeiden suorittamisesta:

****
 Damaskiveitsi
 Taktiikkakirja
 Kuninkaallinen liivi

***
 Hienot käsineet
 Kompassi
 Ansavälineet
 Korkeavartiset saappaat
 Huotra

**
 Vahva köysi
 Tikari"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_red","Tämä matkija antaa mahdollisuuden saada ylimääräistä saalista vyöhykkeiden suorittamisesta:

****
 Damaskiveitsi
 Taktiikkakirja
 Mystiset sormukset

***
 Hienot käsineet
 Kompassi
 Piilotettu terä
 Ketjupanssari
 Korkeavartiset saappaat

**
 Loitsukirjoitukset"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_yellow","Tämä matkija antaa mahdollisuuden saada ylimääräistä saalista vyöhykkeiden suorittamisesta:

****
 Damaskiveitsi
 Taktiikkakirja
 Myrkkynuolet

***
 Hienot käsineet
 Kompassi
 Taikapallo
 Ketjupanssari
 Korkeavartiset saappaat

**
 Loitsukirjoitukset"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_blue","Tämä matkija antaa mahdollisuuden saada ylimääräistä saalista vyöhykkeiden suorittamisesta:

*****
 Noitamestariembleemit
 Velhomestariembleemit

****
 Noitaembleemit
 Velhoembleemit"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_green","Tämä matkija antaa mahdollisuuden saada ylimääräistä saalista vyöhykkeiden suorittamisesta:

*****
 Paladiinimestariembleemit
 Druidimestariembleemit

****
 Paladiiniembleemit
 Druidiembleemit"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_purple","Tämä matkija antaa mahdollisuuden saada ylimääräistä saalista vyöhykkeiden suorittamisesta:

*****
 Vaeltajamestariembleemit
 Samoojamestariembleemit

****
 Vaeltajaembleemit
 Samoojaembleemit"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_red","Tämä matkija antaa mahdollisuuden saada ylimääräistä saalista vyöhykkeiden suorittamisesta:

*****
 Taistelijamestariembleemit
 Barbaarimestariembleemit

****
 Taistelijaembleemit
 Barbaariembleemit"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_yellow","Tämä matkija antaa mahdollisuuden saada ylimääräistä saalista vyöhykkeiden suorittamisesta:

*****
 Pappimestariembleemit
 Munkkimestariembleemit

****
 Pappiembleemit
 Munkkiembleemit"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_experience_rare_red","Tämä matkija antaa mahdollisuuden saada ylimääräistä saalista vyöhykkeiden suorittamisesta:

**
Epätavallisia tuli-, luonto-, jää-, pimeyden ja pyhiä sankareita

*
Tavallisia mestarikouluttajasankareita
Tavallisia tuli-, luonto-, jää-, pimeyden ja pyhiä sankareita"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_blue","Tämä matkija antaa mahdollisuuden ylimääräiseen saaliiseen vyöhykkeiden suorittamisesta:

***
Harvinaisia jääkouluttajasankareita

**
Epätavallisia jääkouluttajasankareita
Epätavallisia jääsankareita

*
Tavallisia jääkouluttajasankareita
Tavallisia jääsankareita"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_green","Tämä matkija antaa mahdollisuuden ylimääräiseen saaliiseen vyöhykkeiden suorittamisesta:

***
Harvinaisia luontokouluttajasankareita

**
Epätavallisia luontokouluttajasankareita
Epätavallisia luontosankareita

*
Tavallisia luontokouluttajasankareita
Tavallisia luontosankareita"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_purple","Tämä matkija antaa mahdollisuuden ylimääräiseen saaliiseen vyöhykkeiden suorittamisesta:

***
Harvinaisia pimeyden kouluttajasankareita

**
Epätavallisia pimeyden kouluttajasankareita
Epätavallisia pimeyden sankareita

*
Tavallisia pimeyden sankareita
Tavallisia pimeyden kouluttajasankareita"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_red","Tämä matkija antaa mahdollisuuden ylimääräiseen saaliiseen vyöhykkeiden suorittamisesta:

***
Harvinaisia tulikouluttajasankareita

**
Epätavallisia tulikouluttajasankareita
Epätavallisia tulisankareita

*
Tavallisia tulikouluttajasankareita
Tavallisia tulisankareita"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_yellow","Tämä matkija antaa mahdollisuuden ylimääräiseen saaliiseen vyöhykkeiden suorittamisesta:

***
Harvinaisia pyhiä kouluttajasankareita

**
Epätavallisia pyhiä kouluttajasankareita
Epätavallisia pyhiä sankareita

*
Tavallisia pyhiä kouluttajasankareita
Tavallisia pyhiä sankareita"
"herocard.passive_skill.description.nevermissspecial","Tämän hahmon erikoistaito osuu aina kohteisiinsa."
"herocard.passive_skill.description.ransack","Tämä hahmo ryöstää satunnaisen vihollisen joka vuoron alussa:

Varastaa {DAMAGE} terveyttä.
Varastaa viholliselta turvallisesti jonkin tehosteen, kasvuefektin tai positiivisen kasaumatehosteen. Tämä koskee myös tehosteita, joita ei voi häivyttää, sekä tanssiefektejä."
"herocard.passive_skill.description.ransack.chance","Tällä hahmolla on joka vuoron alussa {CHANCE} %:n mahdollisuus ryöstää satunnainen vihollinen:

Ryöstö:
Varastaa {DAMAGE} terveyttä.
Varastaa viholliselta turvallisesti yhden satunnaisen kasvuefektin, positiivisen kasauman tai tilaefektitehosteen. Tämä koskee myös tehosteita, joita ei voi häivyttää, sekä tanssiefektejä.
Turvallinen varastaminen ohittaa poistettujen tehosteiden toissijaiset vaikutukset, kuten poistosta johtuvan vaurion. Passiiviset taidot ja perhevaikutukset voivat silti aktivoitua."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest","Kun tämä hahmo käyttää erikoistaitoaan, hänellä on {CHANCE} %:n mahdollisuus anastaa uusin häivytettävä tehoste satunnaiselta viholliselta, jolla on tehosteita. Jos yhdelläkään vihollisella ei ole tehosteita, tämä tekee {DAMAGE} % vauriota kaikille vihollisille."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest.randomenemytarget","Kun tämä hahmo käyttää erikoistaitoaan, hänellä on {CHANCE} %:n mahdollisuus anastaa uusin häivytettävä tehoste satunnaiselta viholliselta, jolla on tehosteita. Jos yhdelläkään vihollisella ei ole tehosteita, tämä tekee {DAMAGE} % vauriota kaikille vihollisille."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.heal.always.minordebuff.newest","Kun tämä hahmo käyttää erikoistaitoaan, hän siirtää viimeisimmän puhdistettavan vaivansa itseltään kohteelle. Jos erikoistaitoa ei voi kohdistaa tiettyyn viholliseen, valitaan satunnainen vihollinen. Jos tällä hahmolla ei ole puhdistettavia vaivoja, hän saa {HEALTH} % terveydestään takaisin."
"herocard.passive_skill.description.receivedeffectreplacement.minordebuff","{REPLACEMENTCHANCE} %:n mahdollisuus korvata tulevat negatiiviset vaikutukset vastaavilla positiivisilla."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage","Tämä sankari kärsii vähemmän elementaalivauriota vahvemman elementin joukoilta.

Kärsitty elementaalivaurio: -{MODIFIER} %"
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.combined","{MODIFIER} % vähemmän elementaalivauriota vahvemman elementin joukoilta."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.increase.dragon","{MODIFIER} % enemmän elementaalivauriota vahvemman elementin tulipalloista."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single","Kun tämä hahmo kärsii ensimmäisen kerran kuolettavan vaurion, kyseinen vaurio ohjataan satunnaiseen viholliseen.

Jos taistelussa on useita aaltoja, tämä vaikutus nollautuu jokaisen aallon alussa."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single.battle","Kun tämä hahmo kärsii ensimmäisen kerran kuolettavan vaurion, kyseinen vaurio ohjataan satunnaiseen viholliseen. (Aktivointeja jäljellä: {ACTIVATIONSLEFT})"
"herocard.passive_skill.description.reflectstatuseffect.with_chance","{CHANCE} %:n lisämahdollisuus heijastaa vaivat takaisin hyökkääjälle."
"herocard.passive_skill.description.removebasestatmodifiers.removenegative.from.all.allies","Poistaa kaikilta liittolaisilta kaikki näivetysefektit aina {TURNS} vuoron välein."
"herocard.passive_skill.description.removebasestatmodifiers.removepositive.from.all.enemies","Poistaa kaikilta vihollisilta kaikki kasvuefektit aina {TURNS} vuoron välein."
"herocard.passive_skill.description.repaircoreintrinsicchargeeffectonspecial.healthboost.all.allies.always","Tämän hahmon rakennelmaydin on korjausydin.

Korjausydin aktivoituu aina kun tämän hahmon erikoistaitoa käytetään:

 Täyteen ladattu korjausydin tehostaa kaikkien liittolaisten terveyttä {CHARGEDPOWER1} %. 
 Parannus skaalautuu ytimessä olevan latauksen määrän mukaan. Lataus tyhjenee kokonaan, kun ydin aktivoituu."
"herocard.passive_skill.description.repeatspecial","{REPEATCHANCE} %:n mahdollisuus loitsia tämän sankarin erikoistaito {REPEATS} kertaa."
"herocard.passive_skill.description.resist.accuracymodifiers","Hahmo on immuuni tarkkuuteen vaikuttaville vaivoille. Ei koske liittolaisilta saatuja alkuperäisiä tilaefektejä."
"herocard.passive_skill.description.resist.alldebuffs.alldebuffs","Hahmo on immuuni vaivoille ja negatiivisille kasaumille."
"herocard.passive_skill.description.resist.alldebuffs.buffdispels.with_chance","{CHANCE} %:n lisämahdollisuus vastustaa kaikkia vaivoja ja tehosteiden häivytyksiä."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.attackwither.defensewither.alldebuffs.with_chance","{CHANCE} %:n lisämahdollisuus vastustaa kaikkia vaivoja, manavähennyksiä, tehosteiden häivytyksiä ja näivetysefektejä."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.insanity.with_chance","{CHANCE} %:n lisämahdollisuus vastustaa kaikkia vaivoja, manavähennyksiä, tehosteiden häivytyksiä ja hulluutta."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.with_chance","{CHANCE} %:n lisämahdollisuus vastustaa kaikkia vaivoja, manavähennyksiä ja tehosteiden häivytyksiä."
"herocard.passive_skill.description.resist.alldebuffs.with_chance","{CHANCE} %:n lisämahdollisuus vastustaa kaikkia vaivoja."
"herocard.passive_skill.description.resist.alldefensemodifiers.alldebuffs","Hahmo on immuuni puolustukseen vaikuttaville vaivoille. Koskee myös elementaalipuolustukseen vaikuttavia vaivoja."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.alldebuffs","Hahmo on immuuni puolustukseen vaikuttaville vaivoille, kasaumille ja näivetysefekteille."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.allstatuseffects","Tämä hahmo on immuuni efekteille, jotka lisäävät tai vähentävät puolustusta.

Tämä koskee tilaefektitehosteita ja vaivoja, positiivisia ja negatiivisia kasaumia sekä näivetys- ja kasvuefektejä."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.defensegrowth.allstatuseffectsandstacks","Tämä hahmo on immuuni efekteille, jotka lisäävät tai vähentävät puolustusta.

Tämä koskee
 Tilaefektitehosteita ja vaivoja
 Positiivisia ja negatiivisia kasaumia
 Näivetys- ja kasvuefektejä"
"herocard.passive_skill.description.resist.alldefensemodifiersincludingwither.allstatuseffects","Tämä hahmo on immuuni efekteille, jotka lisäävät tai vähentävät puolustusta.

Tämä koskee tilaefektitehosteita ja vaivoja, positiivisia ja negatiivisia kasaumia sekä näivetys- ja kasvuefektejä."
"herocard.passive_skill.description.resist.allmanaeffects.alldebuffs","Hahmo on immuuni manatuotantoon vaikuttaville vaivoille ja negatiivisille kasaumille. Koskee myös manaa estäviä tai manaa varastavia vaivoja."
"herocard.passive_skill.description.resist.allmanaeffects.manareduction.alldebuffs","Hahmo on immuuni manan vähennyksille sekä manatuotantoon vaikuttaville vaivoille ja negatiivisille kasaumille. Koskee myös manaa estäviä tai manaa varastavia efektejä ja vaivoja."
"herocard.passive_skill.description.resist.allstatuseffectdamage.none","Hahmo on immuuni tilaefekteistä aiheutuvalle vauriolle."
"herocard.passive_skill.description.resist.attackdelay","Tämän hahmon normaalia hyökkäystä ei voi viivästyttää."
"herocard.passive_skill.description.resist.attackdelay.alldebuffs","Tämän hahmon normaalia hyökkäystä ei voi viivästyttää."
"herocard.passive_skill.description.resist.attackmodifiers","Hahmo on immuuni hyökkäykseen vaikuttaville vaivoille."
"herocard.passive_skill.description.resist.attackmodifiers.allstatuseffectsandstacks","Hahmo on immuuni hyökkäykseen vaikuttaville tilaefekteille ja kasaumille. Koskee myös tilaefektitehosteita."
"herocard.passive_skill.description.resist.attackmodifiers.attackwither.alldebuffs","Hahmo on immuuni hyökkäykseen vaikuttaville vaivoille, kasaumille ja näivetysefekteille."
"herocard.passive_skill.description.resist.bleed","Hahmo on immuuni verenvuotovauriota tuottaville vaivoille."
"herocard.passive_skill.description.resist.bleed.with_effect.healthboost.addmana","Hahmo on immuuni verenvuotovauriota tuottaville vaivoille, ja hän saa {HEALTHBOOST} tehostettua terveyttä ja {MANA} % manaa jokaisesta vastustuskerrasta."
"herocard.passive_skill.description.resist.buffdispels","Hahmo on immuuni tilaefektitehosteita häivyttäville efekteille."
"herocard.passive_skill.description.resist.buffdispels.none.with_chance","{CHANCE} %:n lisämahdollisuus vastustaa tehosteiden häivytyksiä."
"herocard.passive_skill.description.resist.buffimmunity","Hahmo on immuuni efekteille, jotka estävät häntä saamasta uusia tilaefektitehosteita."
"herocard.passive_skill.description.resist.burn","Hahmo on immuuni palovauriota tuottaville vaivoille."
"herocard.passive_skill.description.resist.burn.with_effect.healthboost.addmana","Hahmo on immuuni palovauriota tuottaville vaivoille, ja hän saa {HEALTHBOOST} tehostettua terveyttä ja {MANA} % manaa jokaisesta vastustuskerrasta."
"herocard.passive_skill.description.resist.can_stack.alldebuffs","Hahmo on immuuni vaivoille."
"herocard.passive_skill.description.resist.can_stack.alldebuffs.with_chance","{CHANCE} %:n lisämahdollisuus vastustaa kaikkia vaivoja."
"herocard.passive_skill.description.resist.criticalhits.none","Hahmo on immuuni kriittisten iskujen lisävauriolle ja muille lisäefekteille."
"herocard.passive_skill.description.resist.defensemodifierdebuffs","Hahmo on immuuni puolustukseen vaikuttaville vaivoille. Ei koske elementaalipuolustukseen vaikuttavia vaivoja."
"herocard.passive_skill.description.resist.defensemodifiers.alldebuffs","Hahmo on immuuni puolustukseen vaikuttaville vaivoille ja negatiivisille kasaumille. Ei koske elementaalipuolustukseen vaikuttavia vaivoja."
"herocard.passive_skill.description.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion"," Immuuni käskyläisiä poistaville efekteille.
 Käskyläisten saamista ei voi estää.
 Käskyläisten hyökkäyksiä ja kykyjä ei voi estää."
"herocard.passive_skill.description.resist.frost","Hahmo on immuuni jäävauriota tuottaville vaivoille."
"herocard.passive_skill.description.resist.frost.with_effect.healthboost.addmana","Hahmo on immuuni jäävauriota tuottaville vaivoille, ja hän saa {HEALTHBOOST} tehostettua terveyttä ja {MANA} % manaa jokaisesta vastustuskerrasta."
"herocard.passive_skill.description.resist.healeffects","Hahmo on immuuni parannukseen vaikuttaville vaivoille."
"herocard.passive_skill.description.resist.healthsteal","Hahmo on immuuni vaivoille, jotka vievät terveyttä."
"herocard.passive_skill.description.resist.insanity.permanentstatuseffects","Hahmo on immuuni hulluudelle."
"herocard.passive_skill.description.resist.manadebuffs","Hahmo on immuuni manaan vaikuttaville vaivoille."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking","Hahmo on immuuni manatuotantoon vaikuttaville tai erikoistaitojen käytön estäville vaivoille."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking.with_chance","Hahmolla on {CHANCE} %:n mahdollisuus vastustaa vaivoja, jotka vaikuttavat manaan tai estävät erikoistaitojen käytön."
"herocard.passive_skill.description.resist.managenerationmodifiers.alldebuffs","Hahmo on immuuni manatuotantoon vaikuttaville vaivoille ja negatiivisille kasaumille. Ei koske manatuotannon pysäyttäviä tai manaa varastavia vaivoja."
"herocard.passive_skill.description.resist.manareduction","Hahmo on immuuni manan vähennyksille."
"herocard.passive_skill.description.resist.manareduction.alldebuffs.with_chance","{CHANCE} %:n lisämahdollisuus vastustaa manan vähennystä."
"herocard.passive_skill.description.resist.manareduction.none.with_effect.healthboost.addmana","Hahmo on immuuni manan vähennyksille. Lisäksi hän saa {HEALTHBOOST} tehostettua terveyttä ja {MANA} % manaa jokaisesta vastustuskerrasta."
"herocard.passive_skill.description.resist.maxhealthreduction","Hahmo on immuuni maksimiterveyden vähennykselle."
"herocard.passive_skill.description.resist.poison","Hahmo on immuuni myrkkyvauriota tuottaville vaivoille."
"herocard.passive_skill.description.resist.poison.burn.bleed","Hahmo on immuuni myrkky-, palo- tai verenvuotovauriota tuottaville vaivoille."
"herocard.passive_skill.description.resist.possession.allstatuseffects","Hahmo on immuuni tilaefekteille, jotka riivaisivat hahmon."
"herocard.passive_skill.description.resist.sand","Hahmo on immuuni hiekkavauriota tuottaville vaivoille."
"herocard.passive_skill.description.resist.specialblocking","Hahmo on immuuni erikoistaitojen käytön estäville vaivoille."
"herocard.passive_skill.description.resist.specialblocking.with_chance","Hahmolla on {CHANCE} %:n mahdollisuus vastustaa vaivoja, jotka estävät erikoistaitojen käytön."
"herocard.passive_skill.description.resist.specialblocking.with_effect.healthboost.addmana","Hahmo on immuuni erikoistaitojen käytön estäville vaivoille. Lisäksi hän saa {HEALTHBOOST} tehostettua terveyttä ja {MANA} % manaa jokaisesta vastustuskerrasta."
"herocard.passive_skill.description.resist.stopmanageneration","Hahmo on immuuni vaivoille, jotka pysäyttävät manatuotannon."
"herocard.passive_skill.description.resist.water","Hahmo on immuuni vesivauriota tuottaville vaivoille."
"herocard.passive_skill.description.resistdebuffsfromfamiliars.minion","Hahmo on immuuni käskyläisten aiheuttamille vaivoille."
"herocard.passive_skill.description.resistfamiliarremoval.minion.bigminion","Hahmo on immuuni efekteille, jotka poistaisivat käskyläisiä häneltä."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion","Hahmo on immuuni käskyläisten aiheuttamille negatiivisille efekteille ja vaurioille."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion.bigminion","Hahmo on immuuni käskyläisten ja megakäskyläisten aiheuttamille negatiivisille efekteille ja vaurioille."
"herocard.passive_skill.description.resistnewfamiliars.parasite","Hahmo ei voi saada riiviöitä."
"herocard.passive_skill.description.resistnewfamiliars.parasite.bigparasite","Hahmo ei voi saada riiviöitä tai megariiviöitä."
"herocard.passive_skill.description.resistsupportcharacter.troop.alldebuffs.with_chance","{CHANCE} %:n lisämahdollisuus vastustaa kaikkia vaivoja."
"herocard.passive_skill.description.revivalchancemodifier.all.enemies","Kaikkien taistelussa olevien elvytysmahdollisuus laskee. Mahdollisuus on {MODIFIER} % alkuperäisestä arvosta."
"herocard.passive_skill.description.revivalhealthmodifier.all.enemies.excluding.boss","Kaikilla vihollisilla on {HEALTHMODIFIER} % terveyttä elpyessään. Ei vaikuta päävihollisiin."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance","Jos tämä hahmo kukistuu, hänellä on mahdollisuus syntyä uudelleen ikiaikaisena oliona. Mahdollisuus on {CHANCEINCREASEPERSTEP} % jokaista tällä hahmolla olevaa {INSANITYPERSTEP} hulluuspistettä kohti, yhteensä enintään {MAXCHANCEINCREASE} %. 

Ikiaikaisella oliolla on:
{INHERITEDHEALTH} % perittyä terveyttä. 
{ATTACK} hyökkäystä.
{DEFENSE} puolustusta.
Erikoistaito: Ikiaikainen vitsaus.

Jos tämä hahmo kukistaa itsensä hulluuden aktivoituessa, uudelleen syntymisen mahdollisuus on aina {CHANCEONSELFCAUSEDDEATH} %."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance_temp","Jos tämä hahmo kukistuu, hänellä on mahdollisuus syntyä uudelleen ikiaikaisena oliona. Mahdollisuus on {CHANCEINCREASEPERSTEP} % jokaista tällä hahmolla olevaa {INSANITYPERSTEP} hulluuspistettä kohti, yhteensä enintään {MAXCHANCEINCREASE} %.

Ikiaikaisella oliolla on:
{INHERITEDHEALTH} % perittyä terveyttä. 
{ATTACK} hyökkäystä.
{DEFENSE} puolustusta.
Seuraava erikoistaito:

{ALTERNATIVEFORMSPECIALTITLE}
{ALTERNATIVEFORMSPECIALDESCRIPTION}"
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance","Kukistuessaan tällä hahmolla on {TOTALCHANCE} %:n mahdollisuus elpyä seuraavan vuoronsa alussa ja saada {HEALTH} % terveyttä ja {MANA} % manaa. 

Aktivoituu enintään {MAXACTIVATIONCOUNT} kertaa. Elpymisen mahdollisuus laskee jokaisen aktivoitumisen jälkeen. Elpymistä ei voi estää vaivoilla tai passiivisilla taidoilla."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Kaikki vihollisten loitsimat balladit kestävät vain {TURNS} vuoron."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Kaikki vihollisten loitsimat tanssit kestävät vain {TURNS} vuoron."
"herocard.passive_skill.description.sharereceiveddamage","{SHAREDDAMAGEPORTION} % tämän hahmon kärsimästä vauriosta jaetaan kaikille muille liittolaisille."
"herocard.passive_skill.description.specialdamagereduction","Saatua vauriota vähennetään {DAMAGEREDUCTION} % ensimmäiset {MAXACTIVATIONCOUNT} kertaa, kun tämä hahmo saa vauriota erikoistaidoista."
"herocard.passive_skill.description.specialdamagereduction.chance","Hahmolla on {CHANCE} %:n mahdollisuus pudottaa erikoistaidoista saatu suora vahinko 1:een."
"herocard.passive_skill.description.specialdamagereductionsupportcharacter.troop","Tämän hahmon erikoistaidoista saamaa vauriota vähennetään {DAMAGEREDUCTION} %."
"herocard.passive_skill.description.startbattlewitheffect.addmana","Hahmo saa {MANA} % manaa taistelun alussa."
"herocard.passive_skill.description.statmodifier.attack","{ATTACKMULTIPLIER} % hyökkäystä."
"herocard.passive_skill.description.statmodifier.defense","{DEFENSEMULTIPLIER} % puolustusta."
"herocard.passive_skill.description.statmodifier.health","{HEALTHMULTIPLIER} % terveyttä."
"herocard.passive_skill.description.statmodifier.health.attack","{HEALTHMULTIPLIER} % terveyttä, {ATTACKMULTIPLIER} % hyökkäystä."
"herocard.passive_skill.description.statmodifier.health.defense","{HEALTHMULTIPLIER} % terveyttä, {DEFENSEMULTIPLIER} % puolustusta."
"herocard.passive_skill.description.statmodifier.health.defense.attack","{HEALTHMULTIPLIER} % terveyttä, {DEFENSEMULTIPLIER} % puolustusta, {ATTACKMULTIPLIER} % hyökkäystä."
"herocard.passive_skill.description.statuseffectattackmodifier.addition","Hyökkäystä nostavat tilaefektit ovat {MODIFIER} % tehokkaampia tällä hahmolla."
"herocard.passive_skill.description.statuseffectattackmodifier.all.allies.reduction","Vähentää hyökkäysvaivojen vaikutusta {MODIFIER} %. Vaikutus koskee tätä hahmoa ja kaikkia sen liittolaisia tässä taistelussa."
