"herocard.passive_skill.description.addmana.all.allies","يكتسب جميع الحلفاء كمية صغيرة من القوة."
"herocard.passive_skill.description.insanitydamagereduction","يقل كل الضرر الذي تتلقاه هذه الشخصية بنسبة {DAMAGEREDUCTION}% لكل {DISPLAYSCALE} من الجنون لهذه الشخصية حتى حد أقصى من التقليل نسبته {MAXDAMAGEREDUCTION}%."
"herocard.passive_skill.description.iterateeffectonspecial","عندما تلقي هذه الشخصية مهاراتها الخاصة، يصبح لدى أي من مهاراتها الخاملة التي تمنح تأثيرات إضافية عند الإلقاء {APPLYCOUNT} من الفرص للتفعيل."
"herocard.passive_skill.description.league.featured_family","هذا البطل جزء من العائلة المميزة!"
"herocard.passive_skill.description.league.non_featured_family","هذا البطل ليس جزءًا من العائلة المميزة!"
"herocard.passive_skill.description.league_accuracy_modifier_against_family.decrease","{POWERMULTIPLIER}% من الدقة ضد أبطال العائلات المميزة."
"herocard.passive_skill.description.league_heal_modifier_against_family.decrease","تتمتع عمليات التعافي التي تؤثر على أفراد العائلة المميزة بنسبة {POWERMULTIPLIER}% من التأثير."
"herocard.passive_skill.description.league_received_damage_modifier_against_non_featured_family.decrease","{POWERMULTIPLIER}% من الضرر المتلقى من العائلات غير المتميزة."
"herocard.passive_skill.description.managenerationmodifier","{MODIFIER}% توليد قوة."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill","لخفض مقدار القوة الذي يزيد بواسطة المهارة الخاصة بنسبة {MODIFIER}%. ينطبق التأثير على جميع الأعداء في المعركة."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect","تخفض مقدار القوة الذي يزيد من خلال المهارات الخاصة، والمهارات الخاملة، ومكافآت العائلة، وتأثيرات الحالة، بنسبة {MODIFIER}%. ينطبق التأثير على جميع الأعداء في المعركة."
"herocard.passive_skill.description.managenerationmodifier.all.enemies.specialskill.passiveskill.family.statuseffect.realm","تخفض مقدار القوة الذي يزيد من خلال المهارات الخاصة، والمهارات الخاملة، ومكافآت العائلة، وتأثيرات الحالة، بنسبة {MODIFIER}%. ينطبق التأثير على جميع الأعداء في المعركة."
"herocard.passive_skill.description.manaonownfamiliardeath.minion","تربح هذه الشخصية كميةً قليلةً من القوة عند تدمير أحد أتباعها."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all","تتمتع هذه الشخصية بقدرة غريزية على تذكر أي تابع أو شرير يتم استدعاؤه من خلال مهارات الأعداء الخاصة. سيظل آخر تابع وشرير استدعاه الأعداء محفوظًا حتى يتم إلقاء المهارة الخاصة."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#2","تتمتع هذه الشخصية بقدرة غريزية على تذكر أي تابع أو شرير يتم استدعاؤه من خلال مهارات الأعداء الخاصة. سيظل آخر اثنين من الأتباع، والأشرار الذين استدعاهم الأعداء محفوظين حتى يتم إلقاء المهارة الخاصة."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#3","تتمتع هذه الشخصية بقدرة غريزية على تذكر أي تابع أو شرير يتم استدعاؤه من خلال مهارات الأعداء الخاصة. سيظل آخر {0} توابع وأشرار استدعاهم الأعداء محفوظين حتى يتم إلقاء المهارة الخاصة."
"herocard.passive_skill.description.memorizestatuseffects","تتمتع هذه الشخصية بقدرة غريزية على تذكر حالات الأمراض. ستظل آخر حالات الأمراض التي تلقى على هذه الشخصية محفوظة حتى إلقاء المهارة الخاصة. لا يمكن تذكر سوى حالات الأمراض التي لها مدة."
"herocard.passive_skill.description.memorizestatuseffects#2","تتمتع هذه الشخصية بقدرة غريزية على تذكر حالات الأمراض. سيظل آخر مرضين من أمراض الحالات التي يتم إلقاؤها على هذه الشخصية محفوظة حتى إلقاء المهارة الخاصة. لا يمكن تذكر سوى حالات الأمراض التي لها مدة."
"herocard.passive_skill.description.memorizestatuseffects#3","تتمتع هذه الشخصية بقدرة غريزية على تذكر حالات الأمراض. ستظل آخر {0} أمراض حالات يتم إلقاؤها على هذه الشخصية محفوظة حتى إلقاء المهارة الخاصة. لا يمكن تذكر سوى حالات الأمراض التي لها مدة."
"herocard.passive_skill.description.mimiclootonlevelcompleted","يمكن لكل محاكاة فريدة في فريقك منحك غنائم إضافية عند إكمال المراحل. يمنح هذا المُحاكي فرصة للحصول على الغنائم الإضافية التالية:"
"herocard.passive_skill.description.nevermissspecial","لا تفوت المهارة الخاصة لهذه الشخصية أهدافها أبدًا."
"herocard.passive_skill.description.ransack","في بداية كل دور، تؤدي هذه الشخصية نهب عدو عشوائي:

تسرق {DAMAGE} من الصحة.
تسرق تأثيرًا إيجابيًّا، أو تأثير نمو، أو علاوة تراكم إيجابية من العدو؛ بما في ذلك العلاوات غير القابلة للتبديد وتأثيرات الرقص."
"herocard.passive_skill.description.ransack.chance","في بداية كل دور، تتمتع هذه الشخصية بفرصة باحتمال {CHANCE}% في نهب عدو عشوائي:

النهب:
تسرق {DAMAGE} من الصحة.
تسرق تأثير نمو عشوائي، أو تراكم إيجابي، أو علاوة تأثير الحالة من العدو. يتضمن ذلك التعزيزات غير القابلة للإزالة، وتأثيرات الرقص.
تتجاوز السرقة الآمنة التأثيرات الثانوية مثل الضرر عند الإزالة من التعزيزات المُزالة. يمكن أن تظل المهارات الخاملة وتأثيرات العائلة مفعّلة."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest","عندما تُلقي هذه الشخصية مهارتها الخاصة، فإن لها فرصة {CHANCE}% لسرقة العلاوة الأحدث القابلة للتبديد  من عدو عشوائي يملك علاوات. إذا لم يملك أي عدو علاوات، فإنها تسبب ضررًا بنسبة {DAMAGE}% لجميع الأعداء."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest.randomenemytarget","عندما تُلقي هذه الشخصية مهارتها الخاصة، فإن لها فرصة {CHANCE}% لسرقة العلاوة الأحدث القابلة للتبديد  من عدو عشوائي يملك علاوات. إذا لم يملك أي عدو علاوات، فإنها تسبب ضررًا بنسبة {DAMAGE}% لجميع الأعداء."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.heal.always.minordebuff.newest","عندما تُلقي هذه الشخصية مهاراتها الخاصة، فإنها تنقل أحدث الأمراض القابلة للعلاج من نفسها إلى الهدف. إذا لم تستطع المهارة الخاصة استهداف عدو، فسيتم اختيار عدو عشوائي بدلاً من ذلك. إذا لم يكن لهذه الشخصية أمراض يمكن علاجها، فإنها تستعيد {HEALTH}% من نقاط الصحة."
"herocard.passive_skill.description.receivedeffectreplacement.minordebuff","فرصة بنسبة {REPLACEMENTCHANCE}% لاستبدال التأثيرات السلبية المتلقاة بأخرى إيجابية مشابهة."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage","تتلقى هذه الشخصية ضررًا أقل من القوات التابعة للعنصر الأقوى.

ضرر متلقى: -{MODIFIER}%"
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.combined","ضرر أقل بنسبة {MODIFIER}% مُتلقى من قوات العنصر الأقوى."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.increase.dragon","تلقي ضرر عناصر أكبر بنسبة {MODIFIER}% من الكرات النارية للعنصر الأقوى."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single","في المرة الأولى التي تتلقّى فيها هذه الشخصية ضررًا قاتلًا، تُحوِّل ذلك الضرر إلى عدو عشوائي  بدلًا من ذلك.

في المعارك التي تتكوّن من عدّة موجات، يُعاد تفعيل هذا التأثير في بداية كل موجة."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single.battle","في المرة الأولى التي تتلقى فيها هذه الشخصية ضررًا قاتلًا، تُحوِّل ذلك الضرر إلى عدو عشوائي بدلًا من ذلك. (عمليات التفعيل المتبقية: {ACTIVATIONSLEFT})"
"herocard.passive_skill.description.reflectstatuseffect.with_chance","فرصة إضافية بنسبة {CHANCE}% لتعكس الأمراض إلى المهاجم."
"herocard.passive_skill.description.removebasestatmodifiers.removenegative.from.all.allies","كل {TURNS} من الجولات، تُزال كل تأثيرات التلف من جميع الحلفاء."
"herocard.passive_skill.description.removebasestatmodifiers.removepositive.from.all.enemies","كل {TURNS} من الجولات، تُزال كل تأثيرات النمو من جميع الأعداء."
"herocard.passive_skill.description.repaircoreintrinsicchargeeffectonspecial.healthboost.all.allies.always","مركز بناء هذه الشخصية هو مركز الإصلاح.

يُفعل مركز الإصلاح في كل مرة تُلقى المهارة الخاصة لهذه الشخصية:

 عند شحن مركز الإصلاح بالكامل، تتعزز صحة كل الحلفاء بنسبة {CHARGEDPOWER1}%. 
 يُقاس التعافي حسب مقدار الشحن في المركز. يُستهلك كل الشحن عند تفعيل المركز."
"herocard.passive_skill.description.repeatspecial","توجد فرصة بنسبة {REPEATCHANCE}% لإلقاء المهارة الخاصة لهذا البطل {REPEATS} من المرات."
"herocard.passive_skill.description.resist.accuracymodifiers","هذه الشخصية محصنة ضد حالات الأمراض التي تؤثر في الدقة. لا ينطبق ذلك على تأثيرات الحالة الأصلية من الحلفاء."
"herocard.passive_skill.description.resist.alldebuffs.alldebuffs","هذه الشخصية محصنة ضد حالات الأمراض والتراكمات السلبية."
"herocard.passive_skill.description.resist.alldebuffs.buffdispels.with_chance","فرصة إضافية بنسبة {CHANCE}% لمقاومة كل أمراض الحالات، وتبديد العلاوة."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.attackwither.defensewither.alldebuffs.with_chance","فرصة إضافية بنسبة {CHANCE}% لمقاومة كل أمراض الحالات، وتقليل القوة، وتبديد العلاوة، وتأثيرات التلف."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.insanity.with_chance","فرصة إضافية بنسبة {CHANCE}% لمقاومة كل حالات الأمراض، وتقليل القوة، وتبديد العلاوة، والجنون."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.with_chance","فرصة إضافية بنسبة {CHANCE}% لمقاومة كل أمراض الحالات، وتقليل القوة، وتبديد العلاوة."
"herocard.passive_skill.description.resist.alldebuffs.with_chance","فرصة إضافية بنسبة {CHANCE}% لمقاومة كل أمراض الحالة."
"herocard.passive_skill.description.resist.alldefensemodifiers.alldebuffs","هذه الشخصية منيعة ضد حالات الأمراض التي تؤثر في الدفاع. ينطبق ذلك أيضًا على حالات الأمراض التي تؤثر في دفاع العناصر."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.alldebuffs","هذه الشخصية محصنة ضد حالات الأمراض، والتراكمات، وتأثيرات التلف التي تؤثر في الدفاع."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.allstatuseffects","لا تتأثر هذه الشخصية بالتأثيرات التي تزيد أو تقلل الدفاع.

وذلك يشمل علاوات التأثيرات على الحالة والأمراض، والتراكمات الإيجابية والسلبية، بالإضافة إلى تأثيرات التلف والنمو."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.defensegrowth.allstatuseffectsandstacks","لا تتأثر هذه الشخصية بالتأثيرات التي تزيد أو تقلل من الدفاع.

يشمل هذا
 علاوات التأثيرات على الحالة والأمراض
 التراكمات الإيجابية والسلبية
 تأثيري النمو والتلف"
"herocard.passive_skill.description.resist.alldefensemodifiersincludingwither.allstatuseffects","لا تتأثر هذه الشخصية بالتأثيرات التي تزيد أو تقلل الدفاع.

وذلك يشمل علاوات التأثيرات على الحالة والأمراض، والتراكمات الإيجابية والسلبية، بالإضافة إلى تأثيرات التلف والنمو."
"herocard.passive_skill.description.resist.allmanaeffects.alldebuffs","هذه الشخصية محصنة ضد حالات الأمراض والتراكمات السلبية التي تؤثر في توليد القوة. ينطبق ذلك أيضًا على حالات الأمراض التي تعيق القوة، أو تسرق القوة."
"herocard.passive_skill.description.resist.allmanaeffects.manareduction.alldebuffs","هذه الشخصية محصنة ضد خفض القوة، وأمراض الحالات والتراكمات السلبية التي تؤثر في توليد القوة. ينطبق ذلك أيضًا على التأثيرات وأمراض الحالات التي تعيق القوة أو تسرقها."
"herocard.passive_skill.description.resist.allstatuseffectdamage.none","هذه الشخصية محصنة ضد الأضرار الناتجة من تأثيرات الحالة والتراكمات."
"herocard.passive_skill.description.resist.attackdelay","لا يمكن تأخير الهجوم العادي لهذه الشخصية."
"herocard.passive_skill.description.resist.attackdelay.alldebuffs","لا يمكن تأخير الهجوم العادي لهذه الشخصية."
"herocard.passive_skill.description.resist.attackmodifiers","هذه الشخصية محصنة ضد حالات الأمراض التي تؤثر في الهجوم."
"herocard.passive_skill.description.resist.attackmodifiers.allstatuseffectsandstacks","هذه الشخصية محصنة ضد جميع تأثيرات الحالة والتراكمات التي تؤثر في الهجوم. يشمل هذا علاوات التأثير على الحالة."
"herocard.passive_skill.description.resist.attackmodifiers.attackwither.alldebuffs","هذه الشخصية محصنة ضد حالات الأمراض، والتراكمات، وتأثيرات التلف التي تؤثر في الهجوم."
"herocard.passive_skill.description.resist.bleed","هذه الشخصية محصنة ضد حالات الأمراض التي تلحق ضرر النزيف."
"herocard.passive_skill.description.resist.bleed.with_effect.healthboost.addmana","هذه الشخصية محصنة ضد الحالات المرضية التي تُلحق ضرر النزيف، وتكتسب صحة معززة بمقدار {HEALTHBOOST}، ونسبة {MANA}% من القوة في كل مرة تقاوم فيها."
"herocard.passive_skill.description.resist.buffdispels","هذه الشخصية محصنة ضد التأثيرات التي تبدد تعزيزات تأثيرات الحالة."
"herocard.passive_skill.description.resist.buffdispels.none.with_chance","احتمالية إضافية بنسبة {CHANCE}% لمقاومة تبديد العلاوات."
"herocard.passive_skill.description.resist.buffimmunity","هذه الشخصية محصنة ضد التأثيرات التي تمنع تلقي تعزيزات تأثيرات الحالة الجديدة."
"herocard.passive_skill.description.resist.burn","هذه الشخصية محصنة ضد حالات الأمراض التي تلحق ضرر الاحتراق."
"herocard.passive_skill.description.resist.burn.with_effect.healthboost.addmana","هذه الشخصية محصنة ضد ضرر الحرق، وتكتسب صحة معززة بمقدار {HEALTHBOOST}، ونسبة {MANA}% من القوة في كل مرة تقاوم فيها."
"herocard.passive_skill.description.resist.can_stack.alldebuffs","هذه الشخصية محصنة ضد حالات الأمراض."
"herocard.passive_skill.description.resist.can_stack.alldebuffs.with_chance","فرصة إضافية بنسبة {CHANCE}% لمقاومة كل أمراض الحالات."
"herocard.passive_skill.description.resist.criticalhits.none","هذه الشخصية منيعة ضد الضرر الإضافي والتأثيرات الإضافية من الضربات الحرجة."
"herocard.passive_skill.description.resist.defensemodifierdebuffs","هذه الشخصية محصنة ضد حالات الأمراض التي تؤثر في الدفاع. ينطبق ذلك أيضًا على حالات الأمراض التي تؤثر في دفاع العناصر."
"herocard.passive_skill.description.resist.defensemodifiers.alldebuffs","هذه الشخصية محصنة ضد حالات الأمراض والتراكمات السلبية التي تؤثر في الدفاع. ينطبق ذلك أيضًا على حالات الأمراض التي تؤثر في دفاع العناصر."
"herocard.passive_skill.description.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion"," حصانة ضد التأثيرات التي تزيل التابعين.
 لا يمكن المنع من تلقي التابعين.
 لا يمكن تعطيل هجمات التابعين والقدرات."
"herocard.passive_skill.description.resist.frost","هذه الشخصية محصنة ضد حالات الأمراض التي تلحق ضرر الصقيع."
"herocard.passive_skill.description.resist.frost.with_effect.healthboost.addmana","هذه الشخصية منيعة ضد الصقيع، وتكتسب صحة معززة بمقدار {HEALTHBOOST}، ونسبة {MANA}% من القوة في كل مرة تقاوم فيها."
"herocard.passive_skill.description.resist.healeffects","هذه الشخصية محصنة ضد حالات الأمراض التي تؤثر في الشفاء."
"herocard.passive_skill.description.resist.healthsteal","هذه الشخصية محصنة ضد حالات الأمراض التي تسرق الصحة."
"herocard.passive_skill.description.resist.insanity.permanentstatuseffects","هذه الشخصية محصنة ضد الجنون."
"herocard.passive_skill.description.resist.manadebuffs","هذه الشخصية محصنة ضد حالات الأمراض التي تؤثر في القوة."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking","هذه الشخصية محصنة ضد أمراض الحالات التي تؤثر في توليد القوة، أو تمنع استخدام المهارات الخاصة."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking.with_chance","تتمتع هذه الشخصية بفرصة {CHANCE}% لمقاومة أمراض الحالات التي تؤثر على القوة أو تمنع استخدام المهارات الخاصة."
"herocard.passive_skill.description.resist.managenerationmodifiers.alldebuffs","هذه الشخصية محصنة ضد حالات الأمراض والتراكمات السلبية التي تؤثر في  توليد القوة. لا ينطبق هذا على حالات الأمراض التي توقف توليد القوة أو تسرق القوة."
"herocard.passive_skill.description.resist.manareduction","هذه الشخصية محصنة ضد تخفضيات القوة."
"herocard.passive_skill.description.resist.manareduction.alldebuffs.with_chance","احتمالية إضافية بنسبة {CHANCE}% لمقاومة خفض القوة."
"herocard.passive_skill.description.resist.manareduction.none.with_effect.healthboost.addmana","هذه الشخصية محصنة ضد خفض القوة، وتكتسب {HEALTHBOOST} من الصحة المعززة، و{MANA}% من القوة في كل مرة تقاوم فيها."
"herocard.passive_skill.description.resist.maxhealthreduction","هذه الشخصية محصنة ضد تخفيض الصحة القصوى."
"herocard.passive_skill.description.resist.poison","هذه الشخصية محصنة ضد حالات الأمراض التي تلحق ضرر السم."
"herocard.passive_skill.description.resist.poison.burn.bleed","هذه الشخصية محصنة ضد حالات الأمراض التي تلحق ضرر السم، أو الاحتراق، أو النزيف."
"herocard.passive_skill.description.resist.possession.allstatuseffects","هذه الشخصية محصنة ضد تأثيرات الحالة التي تستحوذ على الشخصية."
"herocard.passive_skill.description.resist.sand","هذه الشخصية محصنة ضد حالات الأمراض التي تلحق ضرر الرمال."
"herocard.passive_skill.description.resist.specialblocking","هذه الشخصية محصنة ضد حالات الأمراض التي تمنع استخدام المهارات الخاصة."
"herocard.passive_skill.description.resist.specialblocking.with_chance","تتمتع هذه الشخصية بفرصة {CHANCE}% لمقاومة أمراض الحالات التي تمنع استخدام المهارات الخاصة."
"herocard.passive_skill.description.resist.specialblocking.with_effect.healthboost.addmana","هذه الشخصية محصنة ضد حالات الأمراض التي تمنع استخدام المهارات الخاصة. وتكتسب {HEALTHBOOST} من الصحة المعززة، و{MANA}% من القوة في كل مرة تقاوم فيها."
"herocard.passive_skill.description.resist.stopmanageneration","هذه الشخصية محصنة ضد تأثيرات الحالة التي توقف توليد القوة."
"herocard.passive_skill.description.resist.water","هذه الشخصية محصنة ضد حالات الأمراض التي تلحق ضرر الماء."
"herocard.passive_skill.description.resistdebuffsfromfamiliars.minion","هذه الشخصية محصنة ضد حالات الأمراض الناتجة من التابعين."
"herocard.passive_skill.description.resistfamiliarremoval.minion.bigminion","هذه الشخصية محصنة ضد التأثيرات التي تزيل التابعين منها."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion","هذه الشخصية محصنة ضد التأثيرات السلبية والضرر الناتج من التابعين."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion.bigminion","هذه الشخصية محصنة ضد التأثيرات السلبية والضرر الناتج من التابعين الضخام."
"herocard.passive_skill.description.resistnewfamiliars.parasite","لا يمكن لهذه الشخصية استقبال الأشرار."
"herocard.passive_skill.description.resistnewfamiliars.parasite.bigparasite","لا يمكن لهذه الشخصية استقبال الأشرار، أو الأشرار الضخام"
"herocard.passive_skill.description.resistsupportcharacter.troop.alldebuffs.with_chance","فرصة إضافية بنسبة {CHANCE}% لمقاومة كل أمراض الحالات."
"herocard.passive_skill.description.revivalchancemodifier.all.enemies","خُفضت فرصة الإحياء لجميع الأعداء في المعركة. صارت الفرصة {MODIFIER}% من القيمة الأصلية."
"herocard.passive_skill.description.revivalhealthmodifier.all.enemies.excluding.boss","يمتلك جميع الأعداء {HEALTHMODIFIER}% من الصحة عند إعادة إحيائهم. لا يتأثر زعماء الأعداء بهذا التأثير."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance","عند الهزيمة، يكون لدى الشخصية فرصة لإعادة الإحياء كـ مضيف شعوذة. الفرصة هي {CHANCEINCREASEPERSTEP}% لكل {INSANITYPERSTEP} جنون لهذه الشخصية، بحد أقصى {MAXCHANCEINCREASE}%. 

مضيف الشعوذة لديه:
{INHERITEDHEALTH}% من الصحة الموروثة. 
{ATTACK} من الهجوم.
{DEFENSE} من الدفاع.
المهارة الخاصة التالية:

{ALTERNATIVEFORMSPECIALTITLE}
{ALTERNATIVEFORMSPECIALDESCRIPTION}

إذا هزمت هذه الشخصية نفسها عند تفعيل الجنون، فإن فرصة إعادة الإحياء دائمًا تكون {CHANCEONSELFCAUSEDDEATH}%."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance_temp","في حالة الهزيمة، لدى هذه الشخصية فرصة لإعادة الإحياء في هيئة مضيف الشعوذة. توجد فرصة بنسبة {CHANCEINCREASEPERSTEP}% لكل {INSANITYPERSTEP} من الجنون على هذه الشخصية، بحد أقصى يصل إلى {MAXCHANCEINCREASE}% من الفرص.

 لدى مضيف الشعوذة
{INHERITEDHEALTH}% من الصحة الموروثة. 
{ATTACK} من الهجوم.
{DEFENSE} من الدفاع.
المهارة الخاصة التالية:

{ALTERNATIVEFORMSPECIALTITLE}
{ALTERNATIVEFORMSPECIALDESCRIPTION}"
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance","عند الهزيمة، تتمتع هذه الشخصية بفرصة بنسبة {TOTALCHANCE}% لإعادة الإحياء في بداية الجولة التالية مع {HEALTH}% من الصحة و{MANA}% من القوة. 

يتم التنشيط حتى {MAXACTIVATIONCOUNT} من المرات. تقل فرصة إعادة الإحياء عند كل تنشيط. لا يمكن منع ذلك بأمراض الحالات أو المهارات الخاملة."
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance.ignoresreviveblockingdebuffs","عند الهزيمة، تتمتع هذه الشخصية بفرصة بنسبة {TOTALCHANCE}% لإعادة الإحياء في بداية الجولة التالية مع {HEALTH}% من الصحة و{MANA}% من القوة. 

يتم التنشيط حتى {MAXACTIVATIONCOUNT} من المرات. تقل فرصة إعادة الإحياء عند كل تنشيط. لا يمكن منع ذلك بأمراض الحالات أو المهارات الخاملة."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","كل الأغاني التي يغنيها الأعداء لا تدوم إلا لمدة {TURNS} من الأدوار."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","كل الرقصات التي يؤديها الأعداء لا تدوم إلا لمدة {TURNS} من الأدوار."
"herocard.passive_skill.description.sharereceiveddamage","تتلقى هذه الشخصية نسبة {SHAREDDAMAGEPORTION}% من الضرر وتتشاركها مع الحلفاء الآخرين."
"herocard.passive_skill.description.specialdamagereduction","يتم تقليل الضرر الملحق بنسبة {DAMAGEREDUCTION}% للمرات {MAXACTIVATIONCOUNT} الأولى التي تتلقى فيها هذه الشخصية الضرر من المهارات الخاصة."
"herocard.passive_skill.description.specialdamagereduction.chance","هذه الشخصية لديها فرصة {CHANCE}% لتقليل الضرر المباشر المُتلقى من المهارات الخاصة إلى 1."
"herocard.passive_skill.description.specialdamagereductionsupportcharacter.troop","يتم تقليل الضرر الناجم عن المهارات الخاصة بنسبة {DAMAGEREDUCTION}% لهذه الشخصية."
"herocard.passive_skill.description.startbattlewitheffect.addmana","تتلقى هذه الشخصية {MANA}% من القوة في بداية المعركة."
"herocard.passive_skill.description.statmodifier.attack","{ATTACKMULTIPLIER}% من الهجوم."
"herocard.passive_skill.description.statmodifier.defense","{DEFENSEMULTIPLIER}% من الدفاع."
"herocard.passive_skill.description.statmodifier.health","{HEALTHMULTIPLIER}% من نقاط الصحة."
"herocard.passive_skill.description.statmodifier.health.attack","{HEALTHMULTIPLIER}% صحة، {ATTACKMULTIPLIER}% هجوم."
"herocard.passive_skill.description.statmodifier.health.defense","{HEALTHMULTIPLIER}%صحة، {DEFENSEMULTIPLIER}%  دفاع."
"herocard.passive_skill.description.statmodifier.health.defense.attack","{HEALTHMULTIPLIER}% صحة، {DEFENSEMULTIPLIER}% دفاع، {ATTACKMULTIPLIER}% هجوم."
"herocard.passive_skill.description.statuseffectattackmodifier.addition","تأثيرات الحالة التي تزيد الهجوم تصبح أكثر تأثيرًا بنسبة {MODIFIER}% لهذه الشخصية."
"herocard.passive_skill.description.statuseffectattackmodifier.all.allies.reduction","لخفض تأثير أمراض الحالات التي تؤثر على الهجوم بنسبة {MODIFIER}%. يسري التأثير على هذه الشخصية وجميع حلفائها في المعركة."
"herocard.passive_skill.description.statuseffectattackmodifier.reduction","أمراض الحالات التي تقلل الهجوم تصبح أقل تأثيرًا بنسبة {MODIFIER}% ضد هذه الشخصية."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.addition","تأثيرات الحالة التي تزيد الهجوم تصبح أكثر تأثيرًا بنسبة {MODIFIER}% لهذه الشخصية."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.reduction","أمراض الحالات التي تقلل الهجوم تصبح أقل تأثيرًا بنسبة {MODIFIER}% ضد هذه الشخصية."
"herocard.passive_skill.description.statuseffectdefensemodifier.addition","تأثيرات الحالة التي تزيد الدفاع تصبح أكثر تأثيرًا بنسبة {MODIFIER}% لهذه الشخصية."
"herocard.passive_skill.description.statuseffectdefensemodifier.all.allies.reduction","تخفض تأثير أمراض الدفاع بنسبة {MODIFIER}%. يسري التأثير على هذه الشخصية وجميع حلفائها في المعركة."
"herocard.passive_skill.description.statuseffectdefensemodifier.reduction","أمراض الحالات التي تقلل الدفاع تصبح أقل تأثيرًا بنسبة {MODIFIER}% ضد هذا العدو."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.addition","تأثيرات الحالة التي تزيد الدفاع تصبح أكثر تأثيرًا بنسبة {MODIFIER}% لهذه الشخصية."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.reduction","أمراض الحالات التي تقلل الدفاع تصبح أقل تأثيرًا بنسبة {MODIFIER}% ضد هذا العدو."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","تقل مدة أول {MAXACTIVATIONCOUNT} من حالات الأمراض التي تتلقاها هذه الشخصية من المهارات الخاصة بمعدل {DURATIONMODIFIER} جولة."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","تقل مدة أمراض حالة الدفاع التي تتلقاها هذه الشخصية من المهارات الخاصة بمعدل {DURATIONMODIFIER} من الجولات."
"herocard.passive_skill.description.statuseffectdurationmodifier.increase.minorbuff.majorbuff","تزيد مدة أول {MAXACTIVATIONCOUNT} من التعزيزات التي تتلقاها هذه الشخصية من المهارات الخاصة بمعدل {DURATIONMODIFIER} جولة."
"herocard.passive_skill.description.statuseffectoncleanse.single.enemies","عند تطهير هذا البطل من مرض الحالة، يُصاب عدو عشوائي بنسخة جديدة من هذا المرض المُطّهَر."
"herocard.passive_skill.description.statuseffectonspecialcast.major.all.allies.softskin","في كل مرة يلقي فيها هذا المزراب مهارة خاصة، يتلقى جميع الحلفاء بشرة ناعمة. في المرات الـ{MAXACTIVATIONS} التالية التي يتلقون فيها ضررًا، يقل الضرر بنسبة {DAMAGEREDUCTION}%، ولديهم كذلك حصانة ضد جميع حالات الأمراض وحالات خفض القوة والجنون. لا يمكن إبطال هذا التأثير."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.softskin","في كل مرة يلقي فيها هذا المزراب مهارة خاصة، يتم تنشيط بشرته الناعمة. في المرات الـ{MAXACTIVATIONS} التالية التي يتلقى فيها ضررًا، يقل الضرر بنسبة {DAMAGEREDUCTION}%، ولديهم كذلك حصانة ضد جميع حالات الأمراض، وحالات خفض القوة والجنون. لا يمكن إبطال هذا التأثير."
