"heroes.name.astral_cosmicspeaker","المتحدث الكوني"
"heroes.name.magic_anastasia","أناستازيا"
"heroes.name.magic_anton","أنطون"
"heroes.name.magic_becky","بيكي"
"heroes.name.magic_camilla","كاميلا"
"heroes.name.magic_carpet_agadh","أجادا"
"heroes.name.magic_carpet_amelia","أميليا"
"heroes.name.magic_carpet_bart","بارت"
"heroes.name.magic_carpet_bertha","بيرثا"
"heroes.name.magic_carpet_crustee","كراستي"
"heroes.name.magic_carpet_elyssa","إليسا"
"heroes.name.magic_carpet_jwala","جوالا"
"heroes.name.magic_carpet_kesha","كيشا"
"heroes.name.magic_carpet_lando","لاندو"
"heroes.name.magic_carpet_lilli","ليلي"
"heroes.name.magic_carpet_manpip","مانبيب"
"heroes.name.magic_carpet_naeem","نعيم"
"heroes.name.magic_carpet_ragrim","راغريم"
"heroes.name.magic_carpet_shareef","شريف"
"heroes.name.magic_carpet_zazha","زازا"
"heroes.name.magic_cristobal","كريستوبال"
"heroes.name.magic_dolgoon","دولغون"
"heroes.name.magic_jett","جيت"
"heroes.name.magic_kornel","كورنيل"
"heroes.name.magic_lucy","لوسي"
"heroes.name.magic_milena","ميلينا"
"heroes.name.magic_motega","موتيجا"
"heroes.name.magic_nadezhda","ناديجدا"
"heroes.name.magic_ray","راي"
"heroes.name.magic_roxia","روكسيا"
"heroes.name.magic_sergei","سيرجي"
"heroes.name.magic_telonius","تيلونيوس"
"heroes.name.magic_ulius","أوليوس"
"heroes.name.magic_vaishali","فيشالي"
"heroes.name.magic_willow","ويلو"
"heroes.name.magitech_sniper","دوميتيا"
"heroes.name.mahayoddha_ali","علي"
"heroes.name.mahayoddha_bhima","بيما"
"heroes.name.mahayoddha_bonga","بونغا"
"heroes.name.mahayoddha_chitrangada","شيترانغادا"
"heroes.name.mahayoddha_devyani","ديفياني"
"heroes.name.mahayoddha_jyoti","جيوتي"
"heroes.name.mahayoddha_meenakshi","مييناكشي"
"heroes.name.mahayoddha_rafeeq","رفيق"
"heroes.name.mahayoddha_ustad_anand","أوستاد أناند"
"heroes.name.mahayoddha_veer","فير"
"heroes.name.masquerade_alessia","أليسيا"
"heroes.name.masquerade_aradia","أراديا"
"heroes.name.masquerade_carmenta","كارمينتا"
"heroes.name.masquerade_cel","سيل"
"heroes.name.masquerade_februus","فيبروس"
"heroes.name.masquerade_fortuna","فورتونا"
"heroes.name.masquerade_fosco","فوسكو"
"heroes.name.masquerade_jana","جانا"
"heroes.name.masquerade_jove","جوف"
"heroes.name.masquerade_umbria","أمبريا"
"heroes.name.mighty_pet_barkley","باركلي"
"heroes.name.mighty_pet_bubbles","بابلز"
"heroes.name.mighty_pet_chomper","تشومبر"
"heroes.name.mighty_pet_cinnamon","سينامون"
"heroes.name.mighty_pet_cupcake","كب كيك"
"heroes.name.mighty_pet_furdinand","فورديناند"
"heroes.name.mighty_pet_hachiko","هاتشيكو"
"heroes.name.mighty_pet_luna","لونا"
"heroes.name.mighty_pet_ribbit","الأرنب"
"heroes.name.mighty_pet_rufus","روفوس"
"heroes.name.mighty_pet_snowball","سنوبول"
"heroes.name.mighty_pet_toto","حد أقصى"
"heroes.name.mighty_pet_waddles","المتمايلون"
"heroes.name.mimic_aether_blue","محاكاة الأثير"
"heroes.name.mimic_aether_green","محاكاة الأثير"
"heroes.name.mimic_aether_purple","محاكاة الأثير"
"heroes.name.mimic_aether_red","محاكاة الأثير"
"heroes.name.mimic_aether_yellow","محاكاة الأثير"
"heroes.name.mimic_ascension_epic_yellow","محاكي التصعيد"
"heroes.name.mimic_ascension_item_blue","محاكي التصعيد"
"heroes.name.mimic_ascension_item_green","محاكي التصعيد"
"heroes.name.mimic_ascension_item_purple","محاكي التصعيد"
"heroes.name.mimic_ascension_item_red","محاكي التصعيد"
"heroes.name.mimic_ascension_item_yellow","محاكي التصعيد"
"heroes.name.mimic_emblem_blue","محاكي الرموز"
"heroes.name.mimic_emblem_green","محاكي الرموز"
"heroes.name.mimic_emblem_purple","محاكي الرموز"
"heroes.name.mimic_emblem_red","محاكي الرموز"
"heroes.name.mimic_emblem_yellow","محاكي الرموز"
"heroes.name.mimic_experience_rare_red","محاكاة الخبرة"
"heroes.name.mimic_training_hero_blue","محاكاة الخبرة"
"heroes.name.mimic_training_hero_green","محاكاة الخبرة"
"heroes.name.mimic_training_hero_purple","محاكاة الخبرة"
"heroes.name.mimic_training_hero_red","محاكاة الخبرة"
"heroes.name.mimic_training_hero_yellow","محاكاة الخبرة"
"heroes.name.monster_hunter_adalinda","أداليندا"
"heroes.name.monster_hunter_amund","آموند"
"heroes.name.monster_hunter_basil","بيزل"
"heroes.name.monster_hunter_berit","بيريت"
"heroes.name.monster_hunter_bogart","بوغارت"
"heroes.name.monster_hunter_bonecrusher","محطم العظام"
"heroes.name.monster_hunter_cedar","سيدار"
"heroes.name.monster_hunter_cleaver","كليفر"
"heroes.name.monster_hunter_dabria","دابريا"
"heroes.name.monster_hunter_dawn","دون"
"heroes.name.monster_hunter_dubhain","دونام"
"heroes.name.monster_hunter_ebba","إبا"
"heroes.name.monster_hunter_edelaide","أديليد"
"heroes.name.monster_hunter_fianna","فيانا"
"heroes.name.monster_hunter_goretooth","جورتوث"
"heroes.name.monster_hunter_greel","جريل"
"heroes.name.monster_hunter_hammertusk","هامرتوسك"
"heroes.name.monster_hunter_hawthorn","هوثورن"
"heroes.name.monster_hunter_hurricane","إعصار"
"heroes.name.monster_hunter_kai","كاي"
"heroes.name.monster_hunter_knuckles","ناكلز"
"heroes.name.monster_hunter_maheegan","ماهيغان"
"heroes.name.monster_hunter_malin","مالين"
"heroes.name.monster_hunter_meadow","ميدو"
"heroes.name.monster_hunter_mistweaver","ناسج الضباب"
"heroes.name.monster_hunter_njal","إنجال"
"heroes.name.monster_hunter_numbskull","نمسكل"
"heroes.name.monster_hunter_otis","أوتيس"
"heroes.name.monster_hunter_revna","ريفنا"
"heroes.name.monster_hunter_ruadh","رواه"
"heroes.name.monster_hunter_sigyn","سيجين"
"heroes.name.monster_hunter_sorcha","سورتشا"
"heroes.name.monster_hunter_sorrow","سورو"
"heroes.name.monster_hunter_staintongue","ستينتنج"
"heroes.name.monster_hunter_sune","سوني"
"heroes.name.monster_hunter_thunderclap","ثاندركلاب"
"heroes.name.monster_hunter_thura","ثورا"
"heroes.name.monster_hunter_tremor","تريمر"
"heroes.name.monster_hunter_waterpipe","واتربايب"
"heroes.name.moth_auricarc","أوريكارك"
"heroes.name.moth_chimister","الكيميائي"
"heroes.name.moth_chunkyroi","تشونكيروي"
"heroes.name.moth_furgeant","الهارب"
"heroes.name.moth_gardered","غاردريد"
"heroes.name.moth_grovevert","جروفيفرت"
"heroes.name.moth_joyvert","جويفرت"
"heroes.name.moth_lilareine","الأرجوانية"
"heroes.name.moth_limeboire","ليمبوار"
"heroes.name.moth_mortewitch","مورتويتش"
"heroes.name.moth_pepperbleu","بيبربلو"
"heroes.name.moth_rosepetite","روزبيتيت"
"heroes.name.moth_satinpimenter","ساتنبيمنتر"
"heroes.name.moth_shyombre","شيومبر"
"heroes.name.moth_tealmoine","تيلموين"
"heroes.name.musketeer_aramis","أراميس"
"heroes.name.musketeer_aramis_costume_boulanger","أراميس"
"heroes.name.musketeer_athos","آثوس"
"heroes.name.musketeer_athos_costume_farrier","آثوس"
"heroes.name.musketeer_cardinal_richelieu","الكاردينال ريشيلو"
"heroes.name.musketeer_constance","كونستانس"
"heroes.name.musketeer_dartagnan","دارتانيان"
"heroes.name.musketeer_felton","فيلتون"
"heroes.name.musketeer_kitty","كيتي"
"heroes.name.musketeer_milady_de_winter","ميلادي دي وينتر"
"heroes.name.musketeer_planchet","بلانشيت"
"heroes.name.musketeer_porthos","بورثوس"
"heroes.name.musketeer_porthos_costume_merchant","بورثوس"
"heroes.name.musketeer_queen_anne","الملكة آن"
"heroes.name.musketeer_rochefort","روشفورت"
"heroes.name.musketeer_villiers","فيليرز"
"heroes.name.mystery_enigmo","إنغيمو"
"heroes.name.nature_god_balbar","بالبار"
"heroes.name.nature_god_bertila","بيرتيلا"
"heroes.name.nature_god_bo_and_runt","بو ورانت"
"heroes.name.nature_god_chloris","كلوريس"
"heroes.name.nature_god_cinisia","سينيسيا"
"heroes.name.nature_god_florenna","فلورينا"
"heroes.name.nature_god_leadria","ليدريا"
"heroes.name.nature_god_liora","لويرا"
"heroes.name.nature_god_mystia","ميستيا"
"heroes.name.nature_god_silvaria","سيلفاريا"
"heroes.name.nature_god_viselus","فيسيلوس"
"heroes.name.ninja_amethyst","الجمشت"
"heroes.name.ninja_ametrine","أميترين"
"heroes.name.ninja_aurum","أوروم"
"heroes.name.ninja_azurite","أزوريت"
"heroes.name.ninja_chikao","شيكاو"
"heroes.name.ninja_cobalt","كوبالت"
"heroes.name.ninja_ekanite","إيكانيت"
"heroes.name.ninja_garnet","جارنيت"
"heroes.name.ninja_iga","إغا"
"heroes.name.ninja_ito","إيتو"
"heroes.name.ninja_jade","اليشم"
"heroes.name.ninja_kinsaishi","كينساشي"
"heroes.name.ninja_kushanku","كوشانكو"
"heroes.name.ninja_malum","مالوم"
"heroes.name.ninja_mica","الميكا"
"heroes.name.ninja_morganite","مورغانيت"
"heroes.name.ninja_myoinni","ميون-ني"
"heroes.name.ninja_nomad","نوماد"
"heroes.name.ninja_oniwakamaru","أونيواكامارو"
"heroes.name.ninja_onyx","العقيق"
"heroes.name.ninja_osamu","أوسامو"
"heroes.name.ninja_peridot","بريدوت"
"heroes.name.ninja_quartz","كوارتز"
"heroes.name.ninja_ruby","روبي"
"heroes.name.ninja_sapphire","سافير"
"heroes.name.ninja_satsui","ساتسوي"
"heroes.name.ninja_sawano","ساوانو"
"heroes.name.ninja_serandite","سرانديت"
"heroes.name.ninja_shale","صخر طيني"
"heroes.name.ninja_tametomo","تاميتومو"
"heroes.name.ninja_topaz","توباز"
"heroes.name.ninja_tora","تورا"
"heroes.name.ninja_umeko","أوميكو"
"heroes.name.ninja_zircon","زركون"
"heroes.name.nomad_axe_adventurer","كولين"
"heroes.name.nomad_female_archer","شاران"
"heroes.name.nomad_female_assassin","سكارليت"
"heroes.name.nomad_female_berserker","كاليل"
"heroes.name.nomad_female_captain","مرجانة"
"heroes.name.nomad_female_lord","إيلينا"
"heroes.name.nomad_female_shaman","هاوكمون"
"heroes.name.nomad_female_swordmaster","عزار"
"heroes.name.nomad_female_thief","جيل"
"heroes.name.nomad_fighter","فريد"
"heroes.name.nomad_mage","جاهانغير"
"heroes.name.nomad_scout","تودان"
"heroes.name.nomad_shaman","شاركوت"
"heroes.name.nordic_ancestral_warrior","غريم"
"heroes.name.nordic_chained_werewolf","غرايماين"
"heroes.name.nordic_female_scout","سيغرون"
"heroes.name.nordic_female_warrior","راغنهيلد"
"heroes.name.nordic_ice_enchantress","إيسارنيا"
"heroes.name.nordic_mage","أولمير"
"heroes.name.nordic_male_lord","ريتشارد"
"heroes.name.nordic_swordman","فالين"
"heroes.name.nordic_warrior","براند"
"heroes.name.orc_gladiator","بولدتوسك"
"heroes.name.orc_skirmisher","زوداك"
"heroes.name.orc_troopmaster","غورميك"
"heroes.name.orc_warrior","ناشغار"
"heroes.name.oriental_brawler","بين"
"heroes.name.oriental_enchanted_monk","جون"
"heroes.name.oriental_falconer","تشاو"
"heroes.name.oriental_falconer.falcon","صقر تشاو"
"heroes.name.oriental_female_guard","داوا"
"heroes.name.oriental_female_mage","كيلاني"
"heroes.name.oriental_female_mystic","فيفيكا"
"heroes.name.oriental_female_ninja","هيكارو"
"heroes.name.oriental_female_templar","لي كسيو"
"heroes.name.oriental_monkey_captain","وو كونغ"
"heroes.name.oriental_monkey_warrior","هاو"
"heroes.name.oriental_panda_berserker","غان دجو"
"heroes.name.oriental_panda_scout","شا دجي"
"heroes.name.oriental_panda_warrior","هيو تاو"
"heroes.name.oriental_squire","ناش"
"heroes.name.oriental_warrior","كينجيرو"
"heroes.name.oriental_warrior_king","ليونيداس"
"heroes.name.outlaw_chao_gai","تشاو غاي"
"heroes.name.outlaw_gu_dasao","غو داساو"
"heroes.name.outlaw_hu_sanniang","هو سانيانغ"
"heroes.name.outlaw_li_kui","لي كوي"
"heroes.name.outlaw_lin_chong","لين تشونغ"
"heroes.name.outlaw_liu_tang","ليو تانغ"
"heroes.name.outlaw_lu_zhishen","لو تشيشن"
"heroes.name.outlaw_ruan_xiaoqi","روان شياوتشي"
"heroes.name.outlaw_shi_jin","شي جين"
"heroes.name.outlaw_song_jiang","سونغ جيانغ"
"heroes.name.outlaw_sun_erniang","سون إرنيانغ"
"heroes.name.outlaw_wu_song","وو سونغ"
"heroes.name.outlaw_wu_yong","وو يونغ"
"heroes.name.outlaw_xiang_chong","شيانغ تشونغ"
"heroes.name.outlaw_zheng_tianshou","جينغ تيانشو"
"heroes.name.owl_cennius","سينيوس"
"heroes.name.owl_eron","إيرون"
"heroes.name.owl_featherino","فيذرينو"
"heroes.name.owl_fulvia","فولفيا"
"heroes.name.owl_juliani","جولياني"
"heroes.name.owl_livia","ليفيا"
"heroes.name.owl_lodius","لوديوس"
"heroes.name.owl_mariol","ماريول"
"heroes.name.owl_olbec","أولبيك"
"heroes.name.owl_ommodus","أومودوس"
"heroes.name.owl_paeia","باييا"
"heroes.name.owl_pertinax","بيرتيناكس"
"heroes.name.owl_relius","ريليوس"
"heroes.name.owl_timius","تيميوس"
"heroes.name.owl_verus","فيرس"
"heroes.name.pirate_anne","آن"
"heroes.name.pirate_boatswain","القيصر الأسود"
"heroes.name.pirate_bonny","بوني"
"heroes.name.pirate_cabin_boy","بيتيرز"
"heroes.name.pirate_commodore_finley","فينلي"
"heroes.name.pirate_dread_captain","سارغاسو"
"heroes.name.pirate_first_mate","بومر"
"heroes.name.pirate_lady","لايدي لوك"
"heroes.name.pirate_marie_therese","ماري-تيريز"
"heroes.name.pirate_sally","سالي"
"heroes.name.pirate_swashbuckler","كابتن كيستريل"
"heroes.name.pirate_vodnik","فودنيك"
"heroes.name.rabbit_blue","السيد ليبوس"
"heroes.name.rabbit_green","جاك أوهير"
"heroes.name.rabbit_red","أرنب حامل الدروع"
"heroes.name.rider_hero_blue","بطل مدرب"
"heroes.name.rider_hero_green","بطل مدرب"
"heroes.name.rider_hero_purple","بطل مدرب"
"heroes.name.rider_hero_red","بطل مدرب"
"heroes.name.rider_hero_yellow","بطل مدرب"
"heroes.name.royal_female_knight","صونيا"
"heroes.name.royal_knight","غونار"
"heroes.name.royal_knight_commander","ثورن"
"heroes.name.royal_knight_commander_tutorial","غراي"
"heroes.name.royal_pikeman","أولاف"
"heroes.name.s2_ariel","آرييل"
"heroes.name.s2_atlantean_robot","جاديروس"
"heroes.name.s2_chameleon_bruiser","ماغي"
"heroes.name.s2_chameleon_chief","ديك رومي"
"heroes.name.s2_chameleon_mage","آغوي"
"heroes.name.s2_crab_man","كاركينوس"
"heroes.name.s2_croc_man","الهرّ"
"heroes.name.s2_cursed_samurai","كاجبورادو"
"heroes.name.s2_demon_master","سوميتومو"
"heroes.name.s2_fiji_mermaid","جيل-را"
"heroes.name.s2_fox_girl","إيناري"
"heroes.name.s2_ghost_woman","سيدة المطر"
"heroes.name.s2_hammerhead_hulk","موك-آر"
"heroes.name.s2_junglehunter","تارلاك"
"heroes.name.s2_lantern_ghost","كوتشي"
"heroes.name.s2_mercenary_woman","ميساندرا"
"heroes.name.s2_merman","منيساويس"
"heroes.name.s2_merwoman","ميليا"
"heroes.name.s2_noble_lady","ميتسوكو"
"heroes.name.s2_oceanus","أوقيانوس"
"heroes.name.s2_poseidon","بوسيدون"
"heroes.name.s2_proteus","بروتيوس"
"heroes.name.s2_rugged_fisherman","ويلبور"
"heroes.name.s2_skyllaros","أتوموس"
"heroes.name.s2_straw_demon","ناماهاج"
"heroes.name.s2_tanuki_raccoon","دنزابورو"
"heroes.name.s2_tethys","تيثس"
"heroes.name.s2_triton","ترايتون"
"heroes.name.s2_ursena","أورسينا"
"heroes.name.s3_agnes","أنياس"
"heroes.name.s3_alfrike","ألفريكي"
"heroes.name.s3_almur","ألمور"
"heroes.name.s3_anwindr","آن-ويندر"
"heroes.name.s3_baldur","بالدر"
"heroes.name.s3_bera","بيرا"
"heroes.name.s3_bjorn","بيورن"
"heroes.name.s3_brynhild","برونهيلد"
"heroes.name.s3_by_ulf","باي-أولف"
"heroes.name.s3_ei_dunn","أيدون"
"heroes.name.s3_fenrir","فنرير"
"heroes.name.s3_freya","فرِيا"
"heroes.name.s3_frigg","فريغ"
"heroes.name.s3_fura","فورا"
"heroes.name.s3_gefjon","جيفجون"
"heroes.name.s3_grevle","غريفل"
"heroes.name.s3_gullinbursti","غولينبورستي"
"heroes.name.s3_heimdall","هايمدال"
"heroes.name.s3_jarvur","جافور"
"heroes.name.s3_jott","جوت"
"heroes.name.s3_kvasir","كفاسير"
"heroes.name.s3_loki_female","السيدة لوكي"
"heroes.name.s3_loki_fish","سالمون لوكي"
"heroes.name.s3_loki_male","السيد لوكي"
"heroes.name.s3_lord_loki_covenant","السيد لوكي"
"heroes.name.s3_mireweave","مايرويف"
"heroes.name.s3_mist","ضباب"
"heroes.name.s3_nordri","نوردري"
"heroes.name.s3_norns","نورنات"
"heroes.name.s3_odin","أودين"
"heroes.name.s3_ratatoskr","راتاتوسك"
"heroes.name.s3_shadereave","سالب الظلّ"
"heroes.name.s3_sif","سيف"
"heroes.name.s3_skadi","سكادي"
"heroes.name.s3_stonecleave","مشقق الصخور"
"heroes.name.s3_sudri","سودري"
"heroes.name.s3_sumle","سومل"
"heroes.name.s3_thor","ثور"
"heroes.name.s3_tyr","تور"
"heroes.name.s4_akkorog","أكوروج"
"heroes.name.s4_aouda","أودا"
"heroes.name.s4_captain_nemo","كابتن نيمو"
"heroes.name.s4_congalach","كونغلاتش"
"heroes.name.s4_doctor_moreau","د. مورو"
"heroes.name.s4_elizabeth","إليزابيث"
"heroes.name.s4_exeera","إكسيرا"
"heroes.name.s4_garjammal","جارجامال"
"heroes.name.s4_gramps","جرامبس"
"heroes.name.s4_griffin","جريفين"
"heroes.name.s4_hannah","هانا"
"heroes.name.s4_helo","هيلو"
"heroes.name.s4_hulda","هولدا"
"heroes.name.s4_kravekrush","كرافيكروش"
"heroes.name.s4_lepiota","ليبيوتا"
"heroes.name.s4_lughaidh","لوفايد"
"heroes.name.s4_mack","ماك"
"heroes.name.s4_morel","موريل"
"heroes.name.s4_morris","موريس"
"heroes.name.s4_octros","أكتروس"
"heroes.name.s4_passepartout","باسبارتو"
"heroes.name.s4_phileas_fogg","فيلياس فوغ"
"heroes.name.s4_poppy","بوبي"
"heroes.name.s4_professor_lidenbrock","بروفيسور ليدنبروك"
"heroes.name.s4_rokkamush","روكاموش"
"heroes.name.s4_russula","روسولا"
"heroes.name.s4_tettukh","تيتوخ"
"heroes.name.s4_vollermork","فولرمورك"
"heroes.name.s4_xenda","زندا"
"heroes.name.s4_xnolphod","إكسنولفود"
"heroes.name.s4_zekena","زيكينا"
"heroes.name.s4_zenobia","زنوبيا"
"heroes.name.s4_zila_lei","زيلا لي"
"heroes.name.s5_ahhotep","إياح حتب"
"heroes.name.s5_ahmose","أحمس"
"heroes.name.s5_anubis","أنوبيس"
"heroes.name.s5_aqeela","عقيلة"
"heroes.name.s5_azmia","أزميا"
"heroes.name.s5_bastet","باستيت"
"heroes.name.s5_bennu","بينيو"
"heroes.name.s5_cleopatra","كليوباترا"
"heroes.name.s5_el_naddaha","النداهة"
"heroes.name.s5_eset","إسيت"
"heroes.name.s5_faiez","فآيز"
"heroes.name.s5_hathor","حتحور"
"heroes.name.s5_hetepheres","حتب حرس"
"heroes.name.s5_horus","حورس"
"heroes.name.s5_jarif","جريف"
"heroes.name.s5_junaid","جنيد"
"heroes.name.s5_khafre","خوفو"
"heroes.name.s5_khepri","خبري"
"heroes.name.s5_khonshu","خونشو"
"heroes.name.s5_maat","ماعت"
"heroes.name.s5_meresankh","مرس عنخ"
"heroes.name.s5_papyros","بردي"
"heroes.name.s5_ptolemy","بطليموس"
"heroes.name.s5_rekhetre","رخيت رع"
"heroes.name.s5_scoratek","سوراتك"
"heroes.name.s5_sekhmet","سخمت"
"heroes.name.s5_set","سيث"
"heroes.name.s5_sneferu","سنفرو"
"heroes.name.s5_sobek","سوبك"
"heroes.name.s5_tetisheri","تتي شري"
"heroes.name.s5_waqas","وقاص"
"heroes.name.sand_horse","حصان"
"heroes.name.sand_king","يونان"
"heroes.name.sand_queen","رنا"
"heroes.name.sand_roc","روك"
"heroes.name.sand_soldier","أرمن"
"heroes.name.sand_tower","جبار"
"heroes.name.sand_vizier","جعفر"
"heroes.name.scoundrel_duval","دوفال"
"heroes.name.scoundrel_lane","لين"
"heroes.name.shadow_abigail","أبيجيل"
"heroes.name.shadow_asketel","اسكيتل"
"heroes.name.shadow_atwood","أتوود"
"heroes.name.shadow_burton","بيرتون"
"heroes.name.shadow_cthuwu","كثوو"
"heroes.name.shadow_dolores","دولورس"
"heroes.name.shadow_gwendoline","غويندولين"
"heroes.name.shadow_hunter","هنتر"
"heroes.name.shadow_hysteria","هستيريا"
"heroes.name.shadow_melancholia","ميلانكوليا"
"heroes.name.shadow_omen","أومين"
"heroes.name.shadow_penelope","بينيلوبي"
"heroes.name.shadow_rashan","راشان"
"heroes.name.shadow_rosanna","روزانا"
"heroes.name.shadow_salvatore","سالفاتوري"
"heroes.name.shadow_shoggo","شوغو"
"heroes.name.shadow_wulfstan","ولفستان"
"heroes.name.shadow_zavinia","زافينيا"
"heroes.name.slayer_aodhan","أودهان"
"heroes.name.slayer_caitlin","كيتلين"
"heroes.name.slayer_cathal","كاثال"
"heroes.name.slayer_cillian","كيليان"
"heroes.name.slayer_maeve","ميف"
"heroes.name.slayer_noril","نوريل"
"heroes.name.slayer_orla","أورلا"
"heroes.name.slayer_rian","ريان"
"heroes.name.slayer_saoirse","سيرشا"
"heroes.name.slayer_senan","سينان"
"heroes.name.slime","سلايم"
"heroes.name.slime_achillea","آشيليا"
"heroes.name.slime_boboosang","بوبو سانج"
"heroes.name.slime_bulklug","بلكلج"
"heroes.name.slime_charmione","شارميوني"
"heroes.name.slime_chingiriko","تشينجيريكو"
"heroes.name.slime_choozen","تشووزين"
"heroes.name.slime_fruitio","فروتيو"
"heroes.name.slime_fungustine","فونجستين"
"heroes.name.slime_gloozmer","غلوزمير"
"heroes.name.slime_goldrip","غولدريب"
"heroes.name.slime_gooldron","غولدرون"
"heroes.name.slime_goorian","غوريان"
"heroes.name.slime_gooric","غوريك"
"heroes.name.slime_gooze","غوز"
"heroes.name.slime_gunktus","غانكتس"
"heroes.name.slime_harubo","هاروبو"
"heroes.name.slime_justico","جاستيكو"
"heroes.name.slime_knightus","نايتوس"
"heroes.name.slime_labblub","لابلاب"
"heroes.name.slime_magistine","ماجيستين"
"heroes.name.slime_mucktus","ماكتوس"
"heroes.name.slime_slaymire","سلايمير"
"heroes.name.slime_slimgo","سليمغو"
"heroes.name.slime_sliposi","سليبوزي"
"heroes.name.slime_sludgus","سلدجس"
"heroes.name.slime_verdigoo","فيرديغو"
"heroes.name.slime_zestique","زيستيك"
"heroes.name.styx_amphitrite","أمفيتريت"
"heroes.name.styx_arges","أرجيس"
"heroes.name.styx_brontes","برونتيس"
"heroes.name.styx_charon","شارون"
"heroes.name.styx_dante","دانتي"
"heroes.name.styx_erebus","إريبوس"
"heroes.name.styx_hypnos","هيبنوس"
"heroes.name.styx_nemesis","نيمسيس"
"heroes.name.styx_nyx","نيكس"
"heroes.name.styx_steropes","ستيروبس"
"heroes.name.styx_thanatos","ثاناتوس"
"heroes.name.styx_virgil","فيرجيل"
"heroes.name.tales1_aqualith","أكواليث"
"heroes.name.tales1_atlanteia","أتلانتيا"
"heroes.name.tales1_bagreg","باغريغ"
"heroes.name.tales1_ceto","سيتو"
"heroes.name.tales1_domiventus","دوميفنتوس"
"heroes.name.tales1_ephyra","إيفيرا"
"heroes.name.tales1_galapago","غالاباغو"
"heroes.name.tales1_gelert","جيليرت"
"heroes.name.tales1_gestalt","غيستالت"
"heroes.name.tales1_jaco","جاكو"
"heroes.name.tales1_lasalle","لاسال"
"heroes.name.tales1_medea","ميديا"
"heroes.name.tales1_mulgog","مولغوغ"
"heroes.name.tales1_persa","بيرسا"
"heroes.name.tales1_phorcys","فورسيس"
"heroes.name.tales1_sharkhai","شاركاي"
"heroes.name.tales1_spartoi","سبارتوي"
"heroes.name.tales1_thalassa","ثالاسا"
"heroes.name.tales1_ultrox","ألتروكس"
"heroes.name.tales2_aethslegaur","أيثسليجور"
"heroes.name.tales2_andvari","أندفاري"
"heroes.name.tales2_bragi","براغي"
"heroes.name.tales2_bryggvir","بريجفير"
"heroes.name.tales2_dagr","داغر"
"heroes.name.tales2_dain","داين"
"heroes.name.tales2_dularfulr","دولارفولر"
"heroes.name.tales2_fafnir","فافنير"
"heroes.name.tales2_fimafeng","فيمافينج"
"heroes.name.tales2_fjalar","فجالار"
"heroes.name.tales2_gandr","غاندر"
"heroes.name.tales2_helgi","هيلجي"
"heroes.name.tales2_hogne","هوجن"
"heroes.name.tales2_hreidmarr","هريدمار"
"heroes.name.tales2_motsognir","موتسونير"
"heroes.name.tales2_ott","أوت"
"heroes.name.tales2_regin","ريغين"
"heroes.name.tales2_snorri","سنوري"
"heroes.name.tales2_svafa","سفافا"
"heroes.name.tales2_thrivaldi","ثريفالدي"
"heroes.name.titan_hunter_adelitza","أديليتزا"
"heroes.name.titan_hunter_borgholf","بورغولف"
"heroes.name.titan_hunter_lumi_and_taiga","لومي وتايغا"
"heroes.name.trainer","بطل مدرب"
"heroes.name.trainer_rainbow","سيد المدربين"
"heroes.name.tribal_chief","خاقان"
"heroes.name.undead_captain_warrior","قبرصي"
"heroes.name.undead_female_warrior","سابينا"
"heroes.name.undead_horned_skeleton","أوبيرون"
"heroes.name.undead_running_skeleton","تيروم"
"heroes.name.undead_screaming_zombie","سيلثوس"
"heroes.name.underworld_champion","أوباكان"
"heroes.name.valentines_anteros","أنتيروس"
"heroes.name.valentines_cupido","كيوبيدو"
"heroes.name.valentines_elba","إلبا"
"heroes.name.valentines_eros","إيروس"
"heroes.name.valentines_himeros","هوميروس"
"heroes.name.valentines_kabeiroi","كابيروي"
"heroes.name.valentines_lempi","ليمبي"
"heroes.name.valentines_matchmaker_dodgrom","دودغروم"
"heroes.name.valentines_phthonus","فثونس"
"heroes.name.valentines_vernon","فيرنون"
"heroes.name.valentines_voluptas","فيلوبتس"
"heroes.name.valentines_zarola","زارولا"
"heroes.name.vampire_king","فيكتور"
"heroes.name.vampire_lord","فلاد"
"heroes.name.vampire_queen","فاليريا"
"heroes.name.vegetable_bartholomew","بارثولوميو"
"heroes.name.vegetable_elsbeth","إلسبيث"
"heroes.name.villain_asterius","أستيريوس"
"heroes.name.villain_crystalis","كريستاليس"
"heroes.name.villain_dark_lord","سيّد الظلام"
"heroes.name.villain_edd","إد"
"heroes.name.villain_ingolf","إنجولف"
"heroes.name.villain_isrod","إزرود"
"heroes.name.villain_karnov","كارنوف"
"heroes.name.villain_sanngrior","سانجريور"
"heroes.name.villain_skrekok","سكريكوك"
"heroes.name.villain_toxicandra","توكسيكاندرا"
"heroes.name.wild_cat_catalina","كاتالينا"
"heroes.name.wild_cat_ferni","فيرني"
"heroes.name.wild_cat_gitnib","غيتنيب"
"heroes.name.wild_cat_imagus","إيماغوس"
"heroes.name.wild_cat_lennart","لينارت"
"heroes.name.wild_cat_leonie","ليوني"
"heroes.name.wild_cat_marnes","مارنز"
"heroes.name.wild_cat_rajesh","راجيش"
"heroes.name.wild_cat_rawn","راون"
"heroes.name.wild_cat_savann","سافان"
"heroes.name.wild_cat_sharalen","شارألين"
"heroes.name.wild_cat_stravia","سترافيا"
"heroes.name.wild_cat_thaffer","ثافر"
