"specials.name.a_cozy_break","舒適小憩"
"specials.name.dragon_draining_blaze","消耗熾焰"
"specials.name.dragon_empowering_breath","賦能之息"
"specials.name.dragon_esoteric_flame","深奧火焰"
"specials.name.dragon_fang","巨龍獠牙"
"specials.name.dragon_fiery_blaze","烈火熾焰"
"specials.name.dragon_flames_of_acceleration","加速之焰"
"specials.name.dragon_fortifying_flame","強化火焰"
"specials.name.dragon_inspirational_breath","勵志之息"
"specials.name.dragon_mana_infused_breath","法力注入之息"
"specials.name.dragon_mindless_blaze","莽夫熾焰"
"specials.name.dragon_novices_blaze","新手熾焰"
"specials.name.dragon_pacifying_breath","安撫之息"
"specials.name.dragon_protective_breath","防護之息"
"specials.name.dragon_rallying_breath","集結之息"
"specials.name.dragon_rallying_breath_trezoro","集結之息"
"specials.name.dragon_resuscitating_breath","復甦之息"
"specials.name.dragon_revitalizing_breath","活力之息"
"specials.name.dragon_sacred_flame","神聖火焰"
"specials.name.dragon_sacred_flame_harmonis","神聖火焰"
"specials.name.dragon_searing_blaze","灼熱熾焰"
"specials.name.dragon_shielding_breath","防護吐息"
"specials.name.dragon_shocking_blaze","震撼熾焰"
"specials.name.dragon_spring_breath","春之吐息"
"specials.name.dragon_spring_breath_erudius","春之吐息"
"specials.name.dragon_strengthening_flame","強化火焰"
"specials.name.dragon_summer_blaze","夏季熾焰"
"specials.name.dragon_volcanic_blaze","火山熾焰"
"specials.name.dragon_weakening_blaze","弱化熾焰"
"specials.name.dragon_weakening_blaze_ashenheart","弱化熾焰"
"specials.name.dragon_weakening_blaze_gonthrox","弱化熾焰"
"specials.name.dragon_wounding_blaze","傷人熾焰"
"specials.name.dragon_wounding_blaze_ceestraze","傷人熾焰"
"specials.name.dragon_wounding_blaze_talonshine","傷人熾焰"
"specials.name.dragon_wrecking_blaze","破壞熾焰"
"specials.name.dragon_wrecking_blaze_rangifer","破壞熾焰"
"specials.name.drain_strike","消耗打擊"
"specials.name.draining_blade","削弱利刃"
"specials.name.drawn_to_the_depths","深淵吸引"
"specials.name.dread_hammer","恐懼之錘"
"specials.name.dreaded_swords","恐懼之劍"
"specials.name.dreaded_waters","可怕水域"
"specials.name.dreadful_riddle","恐懼謎語"
"specials.name.dreadstrike","恐懼之擊"
"specials.name.dreams_of_nourishment","營養幻夢"
"specials.name.dress_up","盛裝打扮！"
"specials.name.drowsy_bolt","昏睡閃電"
"specials.name.drum_chain","葫蘆鼓鏈"
"specials.name.dual_axes","雙斧"
"specials.name.dual_blades","雙刀"
"specials.name.dual_data_blades","資料雙刀"
"specials.name.dual_laser_blades","雷射雙刀"
"specials.name.dual_slash","二連斬"
"specials.name.dual_sting","二連刺"
"specials.name.dubious_cuisine","可疑美食"
"specials.name.dubious_cuisine_catastrophic_kitchen_failure","災難性廚房故障"
"specials.name.dubious_cuisine_exquisite_food","精美食物"
"specials.name.dubious_cuisine_rotten_food","腐敗食物"
"specials.name.dubious_merchandise","可疑商品"
"specials.name.dubious_mixture","可疑混合物"
"specials.name.dum_and_dee","當恩與迪迪"
"specials.name.dusk_dust","黃昏之塵"
"specials.name.dusk_till_dawn","黃昏直至黎明"
"specials.name.dust_to_dust","塵歸塵"
"specials.name.dwarven_flourish","矮人興旺"
"specials.name.dwarven_kings_levy","矮人王的徵收"
"specials.name.dwarven_recharge","矮人補充"
"specials.name.easy_breezy_aura","輕盈光環"
"specials.name.echoes_of_ice","冰雪回聲"
"specials.name.echoes_of_pain","痛苦回音"
"specials.name.echoes_of_the_opera","歌劇迴響"
"specials.name.eclipse_shield","日食護盾"
"specials.name.eclipse_spear","天蝕之矛"
"specials.name.educated_exorcism","智慧驅魔"
"specials.name.egg_barrage","雞蛋彈幕"
"specials.name.elders_remedy","長老的妙法"
"specials.name.eldritch_blight","駭異疫病"
"specials.name.eldritch_sign_bolts","駭異標記閃電"
"specials.name.electric_cut","電馳刀刃"
"specials.name.electric_dragonfire","電龍火"
"specials.name.electric_jolt","電子震顫"
"specials.name.electric_stab","電子戳擊"
"specials.name.electric_sting_dragon_pve","電刺擊"
"specials.name.electrified_claws","帶電利爪"
"specials.name.electrified_claws_ultimate_boss","帶電利爪"
"specials.name.electrifying_gust_dragon_pve","雷電狂風"
"specials.name.elegant_pulverizer","優雅粉碎"
"specials.name.elemental_corruption","元素腐朽"
"specials.name.elemental_infusion_arrow","元素注入箭"
"specials.name.elemental_infusion_arrow_pve","元素注入箭"
"specials.name.elemental_magic","元素魔法"
"specials.name.emboldened_strike","勇氣之擊"
"specials.name.emerald_dual_blade","翠綠雙刃"
"specials.name.emerald_flash","翠綠閃電"
"specials.name.emerald_tide","翡翠潮"
"specials.name.emerald_wind","翡翠之風"
"specials.name.empowered_slash","賦能連斬"
"specials.name.empowering_bash","賦能猛擊"
"specials.name.empowering_bash_deadly","賦能猛擊"
"specials.name.en_garde","警戒"
"specials.name.enchanted_antlers","魔法鹿角"
"specials.name.enchanted_axe_swing","魔法揮斧"
"specials.name.enchanted_edge","魔法鋒刃"
"specials.name.enchanted_elven_sword","魔法巫師劍"
"specials.name.enchanted_symphony","魔法交響曲"
"specials.name.enchanting_divination","魔法占卜"
"specials.name.enchanting_melody","魔法旋律"
"specials.name.endless_daggers","無盡匕首"
"specials.name.endless_maze","無盡迷宮"
"specials.name.energy_conjunction","能量咒法"
"specials.name.energy_of_mjolnir","雷神鎚能量"
"specials.name.energy_steal_dragon_pve","能量竊取"
"specials.name.engulfing_candlelight","燭焰吞噬"
"specials.name.entangling_shot","糾纏射擊"
"specials.name.entrapping_enchantment","誘騙魔法"
"specials.name.erase_strength","力量消除"
"specials.name.erupting_slices","爆發切片"
"specials.name.esprit_de_corps","團隊精神"
"specials.name.essence_of_queen_nitocris","尼托克里斯皇后的精華"
"specials.name.eternal_bond","永恆羈絆"
"specials.name.eternal_ishq","永恆之愛"
"specials.name.eternal_loyalty","永遠忠誠"
"specials.name.eternal_servitude","永恆苦役"
"specials.name.ethereal","幽靈"
"specials.name.evading_dash","逃脫衝刺"
"specials.name.everlasting_wound","永恆創傷"
"specials.name.excalibur","神劍"
"specials.name.excorcizing_arrow","驅魔箭"
"specials.name.explosive_goo_minions","小兵審查"
"specials.name.explosive_o_lantern","爆炸古燈"
"specials.name.express_delivery","快速運送"
"specials.name.exquisite_alchemy","優雅煉金"
"specials.name.exquisite_victuals","精緻飲食"
"specials.name.exquisite_victuals_pve_advanced","精緻飲食"
"specials.name.exquisite_victuals_pve_normal","精緻飲食"
"specials.name.eye_of_panther","黑豹之眼"
"specials.name.eye_of_the_storm","風暴之眼"
"specials.name.eye_of_yog-sir","尤格索之眼"
"specials.name.fabled_fist","傳說之拳"
"specials.name.fabled_llama_ballad","寓言羊駝民謠"
"specials.name.fairy_godmothers_blessing","神仙教母的祝福"
"specials.name.faithful_force","信仰之力"
"specials.name.falcon_screech","飛鷹尖叫"
"specials.name.false_treat","偏誤治療"
"specials.name.familiar_eater","小兵捕食者"
"specials.name.familiar_witchcraft","熟稔巫術"
"specials.name.fangs_and_blades","利爪與劍"
"specials.name.fangs_of_death","苦痛獠牙"
"specials.name.fatal_dreams","致命之夢"
"specials.name.fatal_finisher","致命終結者"
"specials.name.fearless_charge","無畏衝鋒"
"specials.name.feather_tempest","羽翼風暴"
"specials.name.feline_constellation","貓星座"
"specials.name.feral_arrows","兇猛之箭"
"specials.name.feral_bite","野性撕咬"
"specials.name.feral_gust_dragon_pve","狂風"
"specials.name.feral_peck","野性之啄"
"specials.name.feral_revenge","野性復仇"
"specials.name.feral_swing","野性揮擊"
"specials.name.feyfire_slash","妖火劈斬"
"specials.name.field_aid","輕微治療"
"specials.name.field_surgery","極效治療"
"specials.name.fiendslayer","弒魔者"
"specials.name.fierce_fu_jow_pai","猛虎爪派"
"specials.name.fierce_pierce","狂暴穿刺"
"specials.name.fierce_slash","爆裂連斬"
"specials.name.fiery_charge","火焰衝鋒"
"specials.name.fiery_performance","火熱表演"
"specials.name.fiery_revenge","烈火復仇"
"specials.name.fire_barrier_dragon_pve","火焰屏障"
"specials.name.fire_bolt_zidane","烈火弩箭"
"specials.name.fire_storm","烈火風暴"
"specials.name.fire_tiger","烈火虎"
"specials.name.fireball","火球"
"specials.name.fireball_single","火球"
"specials.name.fireblade_slash","火刃連斬"
"specials.name.fires_of_ragnarok","諸神黃昏之火"
"specials.name.fires_of_ragnarok_final","諸神黃昏之火"
"specials.name.firestone_daggers","火石匕首"
"specials.name.firewall","火牆"
"specials.name.firing_on_all_cylinders","全力以赴"
"specials.name.first_frost","初霜"
"specials.name.first_law_of_thermodynamics","熱力學第一定律"
"specials.name.fishbone_blades","魚骨刀"
"specials.name.fists_of_atonement","贖罪之拳"
"specials.name.flail_of_destruction","毀滅鏈枷"
"specials.name.flail_swing","鏈枷揮擊"
"specials.name.flails_of_fury","暴怒捶打"
"specials.name.flame_of_the_dragon_familiar","龍寵烈焰"
"specials.name.flame_of_the_lioness","母獅猛撲"
"specials.name.flame_storm","火焰風暴"
"specials.name.flame_surge","焰浪"
"specials.name.flames_and_rejuvenation","火焰回春"
"specials.name.flames_and_rejuvenation_pve","火焰回春"
"specials.name.flames_of_revenge","復仇之炎"
"specials.name.flaming_fury","烈焰暴怒"
"specials.name.flaming_grudge","烈焰積怨"
"specials.name.flaming_mandibles","火焰顎骨"
"specials.name.flaming_rapier","烈焰刺劍"
"specials.name.flaming_rapier_pve","烈焰刺劍"
"specials.name.flaming_sword","烈焰之劍"
"specials.name.flanking_maneuver","包抄機動"
"specials.name.flanking_maneuver_pve","包抄機動"
"specials.name.flare","烈火吐息"
"specials.name.flat_cake_for_sweethearts","愛心蛋糕"
"specials.name.flat_cake_for_sweethearts_pve","愛心蛋糕"
"specials.name.flawless_shot","完美射擊"
"specials.name.flock_of_folly_eldwren","愚昧之群"
"specials.name.floral_sting","花之刺擊"
"specials.name.flower_arrangements","花卉擺設"
"specials.name.flower_of_kindness","仁慈之花"
"specials.name.fluff_in_the_air","空中絨毛"
"specials.name.flurry_of_blows","亂舞打擊"
"specials.name.flurry_of_slashes","劈斬亂舞"
"specials.name.flurry_of_slashes_deadly","劈斬亂舞"
"specials.name.flute_of_enchantment","魔法長笛"
"specials.name.focused_shot","專注射擊"
"specials.name.fog_machine","煙霧機器之霧"
"specials.name.fog_of_the_fallen","墮落塵霧"
"specials.name.fog_of_the_glass_sabina","彩繪玻璃迷霧"
"specials.name.fog_of_the_perished","毀滅迷霧"
"specials.name.fog_of_the_toons","公仔迷霧"
"specials.name.fog_of_the_vitrails","彩繪玻璃迷霧"
"specials.name.for_queen_and_hollow","為了皇后與空洞"
"specials.name.force_of_forest","森林之力"
"specials.name.forceful_advance","強力推進"
"specials.name.forest_breath","森林吐息"
"specials.name.forest_command","森林指揮"
"specials.name.forest_friends","森林朋友"
"specials.name.forge_rush","鍛爐衝鋒"
"specials.name.forged_axe_of_light","光明鍛造斧"
"specials.name.forged_from_gold","黃金鍛造"
"specials.name.forged_in_fire","火中鍛造"
"specials.name.fortunate_slice","幸運切片"
"specials.name.fracturing_cut","壓裂切割"
"specials.name.fracturing_shards","壓裂碎片"
"specials.name.fracturing_slash","斷裂連斬"
"specials.name.freezing_cold_cutter","凍寒之刃"
"specials.name.freezing_crystal","冰凍水晶"
"specials.name.freezing_fairy_mist","冰凍精靈迷霧"
"specials.name.freezing_power_hooks","凍霜強力勾"
"specials.name.frenzied_rend","瘋狂撕裂"
"specials.name.frenzy_plant","迷亂植物"
"specials.name.friendly_critters_feast","友善生物盛宴"
"specials.name.frightening_pinch","亞特蘭蒂斯長矛"
"specials.name.frightstrike","駭人打擊"
"specials.name.frogs_and_hoop","青蛙和圈圈"
"specials.name.from_shadows","暗影襲擊"
"specials.name.from_shadows_pve","暗影襲擊"
"specials.name.frost_and_rime","冰霜"
"specials.name.frost_bound_blade","霜覆劍"
"specials.name.frostbite","凍傷"
"specials.name.frostbolt_dragon_pve","冰霜箭"
"specials.name.frostbound_smash","霜覆粉碎"
"specials.name.frostneedle","冰霜刺針"
"specials.name.frosty_axes","霜凍斧頭"
"specials.name.frosty_punches","霜凍搥擊"
"specials.name.frozen_orb","冰凍之珠"
"specials.name.frozen_path","河之路"
"specials.name.frozen_wind","冰霜之風"
"specials.name.frozen_wind_pve","冰霜之風"
"specials.name.fruit_cocktail","水果調酒"
"specials.name.fruits_of_labor","大蒜巨量攝取"
"specials.name.fullmetal_pelt","全金屬裘"
"specials.name.furious_bite","狂怒撕咬"
"specials.name.furious_boar","憤怒野豬"
"specials.name.furious_flames","憤怒烈焰"
"specials.name.furry_loggers_swing","毛茸茸樵夫的揮擊"
"specials.name.fury_of_ash","灰燼之怒"
"specials.name.fury_of_grimnir","格里米爾之怒"
"specials.name.fury_of_the_ancient_forest","古代森林之怒"
"specials.name.fury_of_the_fire_giants","烈火巨人暴怒"
"specials.name.fury_of_the_fire_giants_final","烈火巨人暴怒"
"specials.name.fury_of_the_mountain_lord","山君之怒"
"specials.name.fury_of_the_silverback","銀背酋長之怒"
"specials.name.gallant_stance","英勇姿態"
"specials.name.gamblers_stance","賭徒姿態"
"specials.name.gamblers_swing","賭徒揮擊"
"specials.name.garbage_shock_wave","垃圾衝擊波"
"specials.name.gardeners_remedy","園丁的妙法"
"specials.name.gargantuan_bite","龐大撕咬"
"specials.name.gargoyles_of_redemption","救贖石像鬼"
"specials.name.gargoyles_of_redemption_pve","救贖石像鬼"
"specials.name.gargoyles_of_restoration","復原石像鬼"
"specials.name.garlic_serving_edwin","大蒜盤"
"specials.name.generous_gifts","慷慨禮物"
"specials.name.gentle_paw","溫柔腳掌"
"specials.name.gentlemans_cane","紳士手杖"
"specials.name.gentlemans_transformation","紳士的變形"
"specials.name.giddy_jab_dragon_pve","飄飄猛刺"
"specials.name.gift_list","禮物清單"
"specials.name.gift_of_rejuvenation","回春贈禮"
"specials.name.gift_of_rock","石之贈禮"
"specials.name.giftsack","禮物麻袋"
"specials.name.gilded_antlers","鍍金鹿角"
"specials.name.glacial_atmosphere","冰河氣場"
"specials.name.glacial_crusher","冰河粉碎者"
"specials.name.glacial_explosion","冰川爆炸"
"specials.name.glacial_fissure_cleave","冰河裂縫劈擊"
"specials.name.glacial_resilience","冰河韌性"
"specials.name.glacial_shatter","冰川粉碎"
"specials.name.glacial_vortex","冰河漩渦"
"specials.name.glaive_of_flames","火焰闊劍"
"specials.name.glass_anger_of_forest_horghall","碎片之怒"
"specials.name.glass_arrow","玻璃箭"
"specials.name.glass_barrage_scarlett","玻璃之雨"
"specials.name.glass_beam","玻璃光束"
"specials.name.glass_bite","玻璃咬擊"
"specials.name.glass_bolt","玻璃閃電"
"specials.name.glass_brew","玻璃之釀"
"specials.name.glass_burning_strike","玻璃打擊"
"specials.name.glass_chop","玻璃砍擊"
"specials.name.glass_cleave","玻璃劈擊"
"specials.name.glass_cold_blast_ulmer","玻璃暴風雪"
"specials.name.glass_cut","玻璃切擊"
"specials.name.glass_cut_chao","彩繪玻璃切擊"
"specials.name.glass_entangling_shot","玻璃箭"
"specials.name.glass_finisher_thorne","玻璃終結者"
"specials.name.glass_fireball","玻璃火球"
"specials.name.glass_flame_smash","玻璃火焰粉碎"
"specials.name.glass_four_blades","玻璃刃連斬"
"specials.name.glass_fury","玻璃之怒"
"specials.name.glass_gamblers_stance","玻璃姿態"
"specials.name.glass_hammer","玻璃錘子"
"specials.name.glass_have_faith","純淨信仰"
"specials.name.glass_heal","玻璃治療"
"specials.name.glass_jolt","玻璃震顫"
"specials.name.glass_kick","玻璃踢擊"
"specials.name.glass_leaping_attack_dawa","玻璃攻擊"
"specials.name.glass_leeching_stars_renfeld","玻璃星星"
"specials.name.glass_link","玻璃連結"
"specials.name.glass_massive_chop","玻璃砍擊"
"specials.name.glass_mist","玻璃迷霧"
"specials.name.glass_order","彩繪玻璃的命令"
"specials.name.glass_peck","玻璃啄擊"
"specials.name.glass_piercing_hit_tyrum","玻璃一擊"
"specials.name.glass_piercing_strike","玻璃打擊"
"specials.name.glass_prayer","玻璃祈禱者"
"specials.name.glass_pulverizer","玻璃粉碎"
"specials.name.glass_pulverizer_tiburtus","玻璃粉碎"
"specials.name.glass_purification","玻璃化"
"specials.name.glass_ramming_rush","玻璃猛攻"
"specials.name.glass_ramming_rush_isshtak","玻璃猛攻"
"specials.name.glass_riposte","玻璃還擊"
"specials.name.glass_riposte_boril","玻璃還擊"
"specials.name.glass_shatter","玻璃粉碎"
"specials.name.glass_shield_kadilen","玻璃護盾"
"specials.name.glass_skin","玻璃膚"
"specials.name.glass_slam","玻璃猛撞"
"specials.name.glass_slash","玻璃連斬"
"specials.name.glass_spear","玻璃矛"
"specials.name.glass_stab","玻璃戳擊"
"specials.name.glass_stone_skin_gunnar","玻璃連結"
"specials.name.glass_strike","玻璃打擊"
"specials.name.glass_strike_caedmon","玻璃打擊"
"specials.name.glass_strike_magni","玻璃打擊"
"specials.name.glass_swords","玻璃牆"
"specials.name.glass_thunderstrike_quintus","玻璃通牒"
"specials.name.glass_traps_oberon","玻璃陷阱"
"specials.name.glass_vines","玻璃藤蔓"
"specials.name.glass_volcano","玻璃火山"
"specials.name.glass_wall","玻璃牆"
"specials.name.glass_warcry","玻璃戰嚎"
"specials.name.gleaming_gemstones","閃亮寶石"
"specials.name.gleaming_sword_and_iron_mail","閃亮的劍與鐵製鎖子甲"
"specials.name.glittering_sweep_dragon_pve","閃亮掃除"
"specials.name.gloom_grenades","幽暗手榴彈"
"specials.name.gloomy_tune","憂鬱曲調"
"specials.name.glorious_grace","榮耀恩典"
"specials.name.glutinous_execution","軟黏處決"
"specials.name.gnomish_carnage","侏儒殘殺"
"specials.name.goat_rush","山羊衝刺"
"specials.name.goblin_explosives","哥布林炸藥"
"specials.name.goblin_serenade","哥布林小夜曲"
"specials.name.god_of_the_underworld","黃泉衝擊"
"specials.name.gold_gauntlet","金手套"
"specials.name.gold_rush","淘金熱"
"specials.name.gold_weaver","織金者"
"specials.name.golden_aura","金色光環"
"specials.name.golden_cicada","黃金蟬"
"specials.name.golden_sacred_symbol","黃金神聖符號"
"specials.name.golden_thread","金絲線"
"specials.name.golem_crusher","石人粉碎者"
"specials.name.goodnight_lullaby","晚安搖籃曲"
"specials.name.gooey_rose","黏稠玫瑰"
"specials.name.gorging_bite_yellow","吞噬啃咬"
"specials.name.gorging_chew_blue","吞噬咀嚼"
"specials.name.gorging_chew_green","吞噬咀嚼"
"specials.name.gorging_chew_purple","吞噬咀嚼"
"specials.name.gorging_chew_red","吞噬咀嚼"
"specials.name.gorging_chew_yellow","吞噬咀嚼"
"specials.name.gorgyra","女武神的堅毅"
"specials.name.grab_and_run","抓了就跑"
"specials.name.graceful_shot","優雅射擊"
"specials.name.graceless_ritual","無禮儀式"
"specials.name.grand_heist","大劫案"
"specials.name.great_frost_axe","冰霜大斧"
"specials.name.great_frost_hoe","冰霜大鋤頭"
"specials.name.greed_and_bribery","貪婪與賄賂"
"specials.name.greedy_munch_red","貪婪咀嚼"
"specials.name.green_dragon_crescent_blade","青龍偃月刀"
"specials.name.green_dragon_inferno","綠龍煉獄之刃"
"specials.name.green_sparks_dragon_pve","綠火花"
"specials.name.greeting_of_the_sun","太陽問候"
"specials.name.grim_awakening","殘酷甦醒"
"specials.name.grimoire_skim","魔書群覽"
"specials.name.grips_of_longing","渴望之握"
"specials.name.grips_of_longing_pve","渴望之握"
"specials.name.grove_splash_dragon_pve","樹林水花"
"specials.name.gruesome_charge","可怕衝鋒"
"specials.name.guard_the_garden","守衛花園！"
"specials.name.guardian_armor","守護者護甲"
"specials.name.guardians_retaliation","守護者的報復"
"specials.name.guarding_tunes","守護曲調"
"specials.name.guiding_arrow","引導箭矢"
"specials.name.gust_of_restoration","恢復狂風"
"specials.name.gust_of_swiftness","迅捷狂風"
"specials.name.hack_and_slash","連續劈斬"
"specials.name.hacking_attack","駭客攻擊"
"specials.name.hailstone_glare_dragon_pve","冰雹眩光"
"specials.name.hailstorm","冰雹暴風"
"specials.name.halflings_wisdom","半身人的智慧"
"specials.name.halflings_wit","半身機智"
"specials.name.hallowed_blade","中空之刃"
"specials.name.halting_counter_strike","中斷反擊"
"specials.name.hammer_thump","錘擊"
"specials.name.harmonic_bash","諧波猛擊"
"specials.name.harmonic_slam","諧波震顫"
"specials.name.harpoon_sentry","魚叉哨兵"
"specials.name.harpy_claw","鳥妖利爪"
"specials.name.harrow_the_heart","傷透了心"
"specials.name.hasty_gift_wrapper","飛速包禮人員"
"specials.name.hasty_trigger_finger","快速板機指"
"specials.name.have_curiosity","獲得希望"
"specials.name.have_faith","信心滿滿"
"specials.name.haze_of_the_deceased","墮落之霾"
"specials.name.head_hurl","頭顱拋擲"
"specials.name.healing_chant","治療聖歌"
"specials.name.healing_fire_spirits","治癒火靈"
"specials.name.healing_gift","莽夫治療"
"specials.name.healing_gift_anteros","莽夫治療"
"specials.name.healing_gift_kabeiroi","莽夫治療"
"specials.name.healing_mirror","治癒鏡"
"specials.name.healthiest_catch","治愈一擊"
"specials.name.hearty_stew","豐盛燉煮"
"specials.name.heatstinger","熱螫"
"specials.name.heavy_fragrance","強烈香氣"
"specials.name.heedless_hammer_flurry","鐵鎚隨意亂舞"
"specials.name.heirloom_dagger","祖傳匕首"
"specials.name.helping_hands","伸出援手"
"specials.name.hemlock_tea","毒芹茶"
"specials.name.herbal_remedies","草藥療法"
"specials.name.herculean_throw","大力神投"
"specials.name.herd_stampede","群體竄逃"
"specials.name.here_catch","來！接住！"
"specials.name.heretic_slayer","異端殺手"
"specials.name.heroic_noble","拋扔三叉戟"
"specials.name.heroic_noble_deadly","拋扔三叉戟"
"specials.name.herring_blaster","鯡魚轟擊"
"specials.name.herring_surprise","鯡魚驚喜"
"specials.name.hide_in_shadows","暗影躲藏"
"specials.name.high_altitude_ambush","高空伏擊"
"specials.name.high_energy_field","高能量場域"
"specials.name.high_noon_sun","日正當中"
"specials.name.holding_down_the_fort","堅守堡壘"
"specials.name.hollow_boast","空洞自誇"
"specials.name.holy_aura","神聖光環"
"specials.name.holy_guard","神聖衛隊"
"specials.name.holy_hibiscus_ale","神聖木槿麥芽酒"
"specials.name.holy_mark","神聖印記"
"specials.name.holy_splash","神聖水花"
"specials.name.home_run","全壘打"
"specials.name.horn_attack","鹿角攻擊"
"specials.name.horrifying_wail","駭人尖嘯"
"specials.name.horses_curse","飛沙柔風"
"specials.name.hoverboard_crash","懸浮滑板撞擊"
"specials.name.hoverboard_slam","懸浮滑板猛撞"
"specials.name.howling_sword","咆哮之劍"
"specials.name.hues_of_love","愛之色彩"
"specials.name.hungering_grave","充滿渴望的墳墓"
"specials.name.hunt_for_prey","尋找獵物"
"specials.name.hunters_instinct","獵人直覺"
"specials.name.hunters_mark","獵人印記"
"specials.name.hunters_true_shot","獵人的會心一擊"
"specials.name.hunting_ballad","狩獵之歌"
"specials.name.hunting_charge","狩獵衝鋒"
"specials.name.hydra_bite","九頭蛇咬擊"
"specials.name.hymn_of_enrichment","豐饒讚歌"
"specials.name.hyper_porridge","超麥片粥"
"specials.name.hyperborean_hook","極北之勾"
"specials.name.hypersonic_tackle","高超音擒抱"
"specials.name.hypnosis_dragon_pve","催眠"
"specials.name.ice_and_slice","冰雪和切擊"
"specials.name.ice_boom","爆裂冰雪"
"specials.name.ice_cold_order","冰冷命令"
"specials.name.ice_cream_smash","冰淇淋粉碎"
"specials.name.ice_treatment","冰雪療法"
"specials.name.iceberg_aura","冰山光環"
"specials.name.iceberg_crush","冰山粉碎"
"specials.name.iceberg_havoc","冰山浩劫"
"specials.name.icebound_howl","冰封嚎叫"
"specials.name.icebound_ritual","冰封儀式"
"specials.name.icecold_finisher","冰冷終結者"
"specials.name.icehammer_smash","冰錘粉碎"
"specials.name.iceshatter","碎冰者"
"specials.name.icy_axes","冰斧"
"specials.name.icy_mandibles","冰凍顎骨"
"specials.name.icy_resilience","冰雪復原力"
"specials.name.ill_bring_you_back","絕不拋下你"
"specials.name.ill_fated_experiment","不幸的實驗"
"specials.name.imaginary_increments","幻想增長"
"specials.name.immortal_annihilator","永生殲滅者"
"specials.name.immortal_annihilator_deadly","永生殲滅者"
"specials.name.immortal_punisher","永生懲罰者"
"specials.name.impairing_strike","削弱打擊"
"specials.name.impale_and_devour","穿刺與吞噬"
"specials.name.impeccable_charge","完美衝鋒"
"specials.name.impeding_bolts","滯礙閃電"
"specials.name.impervious_formation","滴水不穿"
"specials.name.impossible_groove","不可思議節奏"
"specials.name.impossible_riddle","無解謎語"
"specials.name.incite_ki","氣之煽動"
"specials.name.incite_ki2","氣之煽動"
"specials.name.indestructible_claw","強悍利爪"
"specials.name.indifferent_blade","冷漠之刃"
"specials.name.inevitable_demise","必死無疑"
"specials.name.infernal_chops","煉獄劈擊"
"specials.name.infernal_drumstorm","煉獄鼓風暴"
"specials.name.infernal_flames","地獄之焰"
"specials.name.infernal_jaws","煉獄之顎"
"specials.name.ink_bomb","墨水炸彈"
"specials.name.innovative_lunge","新穎猛刺"
"specials.name.insidious_goo","陰險黏液"
"specials.name.inspiring_fencing","魅力柵欄"
"specials.name.insurmountable_flux","無堅不摧的變化"
"specials.name.intimidating_stance","恫嚇架勢"
"specials.name.invigorating_pollen","提神花粉"
"specials.name.invigorating_soup","提神湯"
"specials.name.invisible_strike","無形打擊"
"specials.name.iron_discipline_cut","鐵律切擊"
"specials.name.iron_rocket_fist","鋼鐵火箭拳"
"specials.name.ironbound_fury","鐵之怒"
"specials.name.jab_and_hook","組合連拳"
"specials.name.jack_of_owl_trades","貓頭鷹萬事通"
"specials.name.jackal_strike","胡狼打擊"
"specials.name.jade_blades","玉刃"
"specials.name.jaw_clamp","散播陷阱"
"specials.name.jaws_of_the_river","河之顎"
"specials.name.jewel_of_the_deep","深淵之寶"
"specials.name.join_in_joyful_song","一同歡歌"
"specials.name.joyful_noise","歡樂噪音"
"specials.name.joyful_palette","歡樂調色盤"
"specials.name.judgement_of_goo","黏液審判"
"specials.name.judgment_and_penance","審判與懺悔"
"specials.name.judgment_of_sun","太陽審判"
"specials.name.juggling_trials","雜耍試煉"
"specials.name.jungle_fury","叢林暴怒"
"specials.name.jungle_riposte","叢林還擊"
"specials.name.jungle_slash","沼澤連斬"
"specials.name.just_a_flesh_wound","一點皮外傷"
"specials.name.karnov","徹底鎮壓"
"specials.name.katana_rain","武士刀之雨"
"specials.name.katana_rain_pve","武士刀之雨"
"specials.name.keep_the_peace","維持和平"
"specials.name.keyknife_typhoon","鑰匙刀颱風"
"specials.name.khans_order","可汗指令"
"specials.name.kindled_carpet","點燃的毯子"
"specials.name.kings_blood_poisoning","悲傷之夜"
"specials.name.kings_curse","沙暴"
"specials.name.kings_curse_pve","沙暴"
"specials.name.kings_feast","國王的盛宴"
"specials.name.kite_of_endurance","耐力風箏"
"specials.name.kitten_stampede","小貓踩踏"
"specials.name.knights_armor","騎士護甲"
"specials.name.knights_fury","騎士之怒"
"specials.name.knights_parry","騎士迴避"
"specials.name.kong_smash","金剛粉碎"
"specials.name.kunai_assault","苦無突擊"
"specials.name.lacerating_leap","撕裂之躍"
"specials.name.lacerating_letters","撕裂信件"
"specials.name.lacerating_whip","撕裂之鞭"
"specials.name.ladys_charm","閉月羞花"
"specials.name.ladys_flowers","女士之花"
"specials.name.lament_of_the_hunt","狩獵輓歌"
"specials.name.lance_of_avarice","貪婪長槍"
"specials.name.lance_of_torment","折磨長槍"
"specials.name.lance_thrust","長槍突刺"
"specials.name.landslide","山崩"
"specials.name.lantern_of_insanity","瘋狂燈籠"
"specials.name.larva_prescription","幼蟲處方簽"
"specials.name.lash_of_the_whip","鞭打"
"specials.name.lasso_of_love","愛之套所"
"specials.name.last_words","最後遺言"
"specials.name.laundry_day","洗衣日"
"specials.name.lava_blast","熔岩爆發"
"specials.name.lava_spit","熔岩噴吐"
