"heroes.name_fancy.astral_cosmicspeaker","القزم النجمي عالم الفلك"
"heroes.name_fancy.fables_rumpelstiltskin_costume_eternal","المحتال الأبدي"
"heroes.name_fancy.fables_snow_white","أميرة غابة الظلام"
"heroes.name_fancy.fables_snow_white_costume_slayer","وايت القاتل"
"heroes.name_fancy.faun_araminta","محارب الفون المخيف"
"heroes.name_fancy.faun_ascian","فون العراف الذي يرى كل الأشياء"
"heroes.name_fancy.faun_bramble","فون البستاني اللطيف"
"heroes.name_fancy.faun_gideon","فون القائد الشجاع"
"heroes.name_fancy.faun_isidore","فون البطل الجذاب"
"heroes.name_fancy.faun_jolyon","فون المفكر المُصلح"
"heroes.name_fancy.faun_maud","فون الخيميائية الطموحة"
"heroes.name_fancy.faun_myrtle","أخصائية الأعشاب المنهكة من عائلة فون"
"heroes.name_fancy.faun_peregrine","فون الكشاف المتهور"
"heroes.name_fancy.faun_philomena","فون المنشدة الساحرة"
"heroes.name_fancy.faun_saskia","فون الراقصة ذات الحركات السريعة"
"heroes.name_fancy.faun_tamlin","فون عازف الفلوت الغريب"
"heroes.name_fancy.faun_verity","فون التاجرة الغامضة"
"heroes.name_fancy.faun_yolanda","فون العرّافة الدموية"
"heroes.name_fancy.faun_ysabel","مصارع الفون الشجاع"
"heroes.name_fancy.fire_god_andre","الفارس المغدور به"
"heroes.name_fancy.fire_god_anzogh","شامان حاقد"
"heroes.name_fancy.fire_god_ares","إله الحرب"
"heroes.name_fancy.fire_god_ares_costume_keymaster","سيد الحرب الرئيسي"
"heroes.name_fancy.fire_god_doom","كاهن درويد الملطخ بالدماء"
"heroes.name_fancy.fire_god_doom_costume_avenger","المنتقم الحارق"
"heroes.name_fancy.fire_god_eliane","الساحرة الحمراء الخبيرة"
"heroes.name_fancy.fire_god_jean_francois","الساحر الفارس"
"heroes.name_fancy.fire_god_maple","جنية غابات أوبورن"
"heroes.name_fancy.fire_god_nadnog","الشافي الشرس"
"heroes.name_fancy.fire_god_natalya","الساحرة المشتعلة"
"heroes.name_fancy.fire_god_natalya_costume_seamstress","الخيَّاطة المشتعلة"
"heroes.name_fancy.fire_god_neema","ساحر النار"
"heroes.name_fancy.fire_god_noor","هامسة العصافير"
"heroes.name_fancy.fire_god_reuben","المشعوذ المحلف"
"heroes.name_fancy.fire_god_roughian_and_nurgib","الفريق المترابط"
"heroes.name_fancy.fire_god_russell","كاهن النار الغاضب"
"heroes.name_fancy.fire_god_skargremar","حامية الجيش الرائدة"
"heroes.name_fancy.fire_god_tahir","صياد الرحالة"
"heroes.name_fancy.fire_god_yang_mai","قبضة الشمس"
"heroes.name_fancy.fire_god_zagrog","المحتال الوحيد"
"heroes.name_fancy.fire_god_zarga","نصل سريع"
"heroes.name_fancy.fire_god_zidane","القرصان الساحر"
"heroes.name_fancy.fire_god_zimkitha","ابنة مفقودة منذ زمن بعيد"
"heroes.name_fancy.fire_god_zimkitha_costume_adventurer","المغامر المفقود منذ فترة طويلة"
"heroes.name_fancy.fleur_elyzabel","الكونتيسة الدموية"
"heroes.name_fancy.fleur_eumachius","السليل الدموي"
"heroes.name_fancy.fleur_guillemette","الصليبي الدموي"
"heroes.name_fancy.fleur_lavinia","الحالم الدموي"
"heroes.name_fancy.fleur_ludovico","ستيوارد الدموي"
"heroes.name_fancy.fleur_talesie","قاتل دموي"
"heroes.name_fancy.forest_archer","رامي السهام البارع"
"heroes.name_fancy.forest_archer_costume_cute","رامي السهام الكرتوني"
"heroes.name_fancy.forest_archer_costume_glass","رامي سهام الزجاج"
"heroes.name_fancy.forest_archer_costume_warrior","الرامي الماهر"
"heroes.name_fancy.forest_female_druid","كاهن راثوود"
"heroes.name_fancy.forest_female_druid_costume_cute","كرتون راثوود"
"heroes.name_fancy.forest_female_druid_costume_glass","فيتريل من راثوود"
"heroes.name_fancy.forest_female_druid_costume_native","شامان كونكورديا"
"heroes.name_fancy.forest_female_druid_costume_stylish","الكاهن العصري"
"heroes.name_fancy.forest_female_elf","سيدة درع ضوء القمر"
"heroes.name_fancy.forest_female_elf_costume_cute","سيدة الدرع الكرتونية"
"heroes.name_fancy.forest_female_elf_costume_fairy","الجنية المقمرة"
"heroes.name_fancy.forest_female_elf_costume_glass","سيدة درع الزجاج"
"heroes.name_fancy.forest_female_elf_costume_mage","كاهنة ضوء القمر"
"heroes.name_fancy.forest_female_illusionist","هامس النبات"
"heroes.name_fancy.forest_female_spirit","روح فسحة الغابة"
"heroes.name_fancy.forest_female_spirit_costume_autumn","روح الفسحة"
"heroes.name_fancy.forest_female_spirit_costume_cute","روح كرتونية"
"heroes.name_fancy.forest_female_spirit_costume_glass","الروح الزجاجية"
"heroes.name_fancy.forest_female_warrior","القروية"
"heroes.name_fancy.forest_friar","الأخ المرح"
"heroes.name_fancy.forest_friar_costume_cute","الكرتوني المرح"
"heroes.name_fancy.forest_friar_costume_explorer","المستكشف المرح"
"heroes.name_fancy.forest_friar_costume_glass","جوفيال فيتريل"
"heroes.name_fancy.forest_god_elinor","صائدة الكنوز"
"heroes.name_fancy.forest_god_elradir","الساحر الهمجي للغابات القمرية"
"heroes.name_fancy.forest_god_evelyn","وريثة شجاعة"
"heroes.name_fancy.forest_god_evelyn_costume_huntress","الصيادة الشجاعة"
"heroes.name_fancy.forest_god_grace","سيرفيتور البستان"
"heroes.name_fancy.forest_god_gregorion","رامي السهام الماهر"
"heroes.name_fancy.forest_god_gregorion_costume_alchemist","الراهب الخيميائي"
"heroes.name_fancy.forest_god_kingston","القاتل النبيل"
"heroes.name_fancy.forest_god_oberon","بطل الجنيات"
"heroes.name_fancy.forest_god_oberon_costume_everoak","فارس إيفيرواك"
"heroes.name_fancy.forest_god_telluria","إله الغابة"
"heroes.name_fancy.forest_god_zeline","كائن الطبيعة السماوي"
"heroes.name_fancy.forest_god_zeline_costume_avian","الطائر السماوي"
"heroes.name_fancy.forest_god_zocc","سيد المفاتيح"
"heroes.name_fancy.forest_mage","حكمة الغابة"
"heroes.name_fancy.forest_mage_costume_cute","الساحر الكرتوني"
"heroes.name_fancy.forest_mage_costume_glass","فيتريل الغابة"
"heroes.name_fancy.forest_mage_costume_party","ساحر الحفل"
"heroes.name_fancy.forest_mage_costume_stylish","ساحر عصري"
"heroes.name_fancy.forest_mage_costume_white","السحر الجبار"
"heroes.name_fancy.forest_male_elf","سيّد رمح ضوء القمر"
"heroes.name_fancy.forest_male_elf_costume_cute","سيد الرمح الكرتوني"
"heroes.name_fancy.forest_male_elf_costume_dark","القاهر المقمر"
"heroes.name_fancy.forest_male_elf_costume_glass","سيد رمح الزجاج"
"heroes.name_fancy.forest_male_elf_costume_king","الملك المقمر"
"heroes.name_fancy.forest_male_elf_costume_stylish","سيّد الرمح الأنيق"
"heroes.name_fancy.forest_thug","سفاك مرتزق"
"heroes.name_fancy.forest_titan","عجوز الغابة"
"heroes.name_fancy.forest_titan_costume_cute","شخصية الغابة الكرتونية"
"heroes.name_fancy.forest_titan_costume_glass","فيتريل خبير الغابات"
"heroes.name_fancy.forest_titan_costume_jester","المهرّج الخشبي"
"heroes.name_fancy.forest_titan_costume_nightmare","كابوس الغابة"
"heroes.name_fancy.forest_woodsman","الحطّاب البسيط"
"heroes.name_fancy.forest_woodsman_warrior","الأخ العظيم"
"heroes.name_fancy.forest_woodsman_warrior_costume_camouflage","الأخ الخفي"
"heroes.name_fancy.forest_woodsman_warrior_costume_cute","الكرتوني الجبار"
"heroes.name_fancy.forest_woodsman_warrior_costume_glass","فيتريل القوي"
"heroes.name_fancy.forest_woodsman_warrior_costume_highlander","مايتي هايلاندر"
"heroes.name_fancy.forsaken_amarosa","إمبراطورة من النطاق الخارجي"
"heroes.name_fancy.forsaken_cassilda","كاهنة مسعورة"
"heroes.name_fancy.forsaken_demhalar","الساكن الغريب"
"heroes.name_fancy.forsaken_inanis","غير المقيد"
"heroes.name_fancy.forsaken_jax","سفاح المطاردة"
"heroes.name_fancy.forsaken_kadath","رجل الدين الملعون"
"heroes.name_fancy.forsaken_khatrox","الضارب الملعون"
"heroes.name_fancy.forsaken_lamentia","خادمة الهاوية"
"heroes.name_fancy.fortune_bai_yan","طبال رقص الأسد"
"heroes.name_fancy.fortune_dragon_kids","الجيل القادم من راقصي التنانين"
"heroes.name_fancy.fortune_ling_long","راقص التنين الصغير"
"heroes.name_fancy.fortune_wei_qi","راقص أسد الثلج"
"heroes.name_fancy.fortune_yan_qing","راقص تنين المصباح"
"heroes.name_fancy.fox_ashen","الثعلبة ذات الظهر الفضي"
"heroes.name_fancy.fox_ember","الثعلب مستدعي النيران"
"heroes.name_fancy.fox_foxglove","الثعلب الماكر ذو أذني الخفاش"
"heroes.name_fancy.fox_foxley","الثعلب الرمادي الخارج عن القانون"
"heroes.name_fancy.fox_halcyon","الثعلبة الرمادية الحارسة"
"heroes.name_fancy.fox_nettletail","الثعلبة اللطيفة حارسة البستان"
"heroes.name_fancy.fox_nibbles","أدوات الثعلب الجائع"
"heroes.name_fancy.fox_riverfang","الثعلب الساحر كورساك"
"heroes.name_fancy.fox_rust","الثعلب الأحمر الحارس"
"heroes.name_fancy.fox_sable","الأميرة الثعلبة المفقودة"
"heroes.name_fancy.fox_shadowfang","الثعلبة الرملية جامعة العظام"
"heroes.name_fancy.fox_silverpaw","ثعلب الصحراء القرصان"
"heroes.name_fancy.fox_spiff","الثعلب الفارس الملكي"
"heroes.name_fancy.fox_swiftpaw","الثعلبة الفضية القاتلة"
"heroes.name_fancy.fox_whitefang","الثعلب القطبي الحارس"
"heroes.name_fancy.gargoyle_arco","المزراب الحازم"
"heroes.name_fancy.gargoyle_bellerive","المزراب الخبيث"
"heroes.name_fancy.gargoyle_betty","المزراب الرشيق"
"heroes.name_fancy.gargoyle_budatin","المزراب الشرير"
"heroes.name_fancy.gargoyle_el_duque","المزراب العظيم"
"heroes.name_fancy.gargoyle_gaillard","مزراب مخضرم"
"heroes.name_fancy.gargoyle_garten","مزراب الحفل"
"heroes.name_fancy.gargoyle_goseck","المزراب الماكر"
"heroes.name_fancy.gargoyle_grumbl","المزراب الحكيم"
"heroes.name_fancy.gargoyle_guffa","المزراب الرصين"
"heroes.name_fancy.gargoyle_hilda","المزراب الجريء"
"heroes.name_fancy.gargoyle_hohenwerf","المزراب المفترس"
"heroes.name_fancy.gargoyle_kalo","المزراب المنحرف"
"heroes.name_fancy.gargoyle_kemeny","المزراب القاسي"
"heroes.name_fancy.gargoyle_matrera","المزراب الغامض"
"heroes.name_fancy.gargoyle_mena","المزراب المتحذلق"
"heroes.name_fancy.gargoyle_penolite","مزراب عنيد"
"heroes.name_fancy.gargoyle_pophit","المزراب الموهوب"
"heroes.name_fancy.gargoyle_soroca","المزراب الغاضب"
"heroes.name_fancy.gargoyle_uwe","المزراب الناعم"
"heroes.name_fancy.gargoyle_vincent","المزراب الخائف"
"heroes.name_fancy.gargoyle_vonreine","المزراب المشتعل"
"heroes.name_fancy.garrison_archibald","ضابط الإمدادات المخيف"
"heroes.name_fancy.garrison_beatrice","رقيبة الإمدادات"
"heroes.name_fancy.garrison_caelen","الشاعر المتأمل"
"heroes.name_fancy.garrison_ciara","القائد الحازم"
"heroes.name_fancy.garrison_dima","سيد الخنازير"
"heroes.name_fancy.garrison_fergus","شرطي رزين"
"heroes.name_fancy.garrison_flamehide","مقامر السحالي"
"heroes.name_fancy.garrison_frank_fangs_brimwell","الرقيب المحنك"
"heroes.name_fancy.garrison_frostsnout","حامل أعلام السحالي"
"heroes.name_fancy.garrison_godfrey","الحارس الثرثار"
"heroes.name_fancy.garrison_greg","سيد الشراب"
"heroes.name_fancy.garrison_iarlaith","السياف الأنيق"
"heroes.name_fancy.garrison_iocantha","ضابط النظام"
"heroes.name_fancy.garrison_kolya","الحارس المتبلد"
"heroes.name_fancy.garrison_maisie","البناءة المرحة"
"heroes.name_fancy.garrison_pip","المبعوث المتوتر"
"heroes.name_fancy.garrison_rosalind","الكابتن المرح"
"heroes.name_fancy.garrison_shimmerscale","حامل المصباح من السحالي"
"heroes.name_fancy.garrison_theodosius","العريف الشجاع"
"heroes.name_fancy.garrison_vanya","المهندس العسكري الصامد"
"heroes.name_fancy.garrison_violet_potts","القزم خالِي البال"
"heroes.name_fancy.garrison_william","الحارس الليلي المضطرب"
"heroes.name_fancy.goblin_acidfire","مستحضر الأرواح الجني"
"heroes.name_fancy.goblin_archer","الصياد الرشيق"
"heroes.name_fancy.goblin_boom_and_fang","الثنائي المتهور"
"heroes.name_fancy.goblin_boots","الحارس الغافل"
"heroes.name_fancy.goblin_darkfeather","مدرب النسور الماهر"
"heroes.name_fancy.goblin_deadboot","الجني عضو الطائفة"
"heroes.name_fancy.goblin_fighter","النشال"
"heroes.name_fancy.goblin_fighter_costume_cute","النشال الكرتوني"
"heroes.name_fancy.goblin_fighter_costume_evil","السفاح"
"heroes.name_fancy.goblin_fighter_costume_glass","اللص الزجاجي"
"heroes.name_fancy.goblin_fizzcoil","عازف كمان فرقة الجن"
"heroes.name_fancy.goblin_goldie","الجنية الجميلة"
"heroes.name_fancy.goblin_grimsteel","راهب الجبل المتجمد"
"heroes.name_fancy.goblin_kettle","خيميائي المطبخ"
"heroes.name_fancy.goblin_leafwizzle","ساحر الوحوش"
"heroes.name_fancy.goblin_madhammer","الجنية المشاكسة"
"heroes.name_fancy.goblin_mage","ساحرة المستنقع"
"heroes.name_fancy.goblin_mage_costume_candy","ساحرة الحلوى"
"heroes.name_fancy.goblin_mage_costume_cute","ساحرة كرتون"
"heroes.name_fancy.goblin_mage_costume_glass","الساحرة الزجاجية"
"heroes.name_fancy.goblin_mage_costume_toad","العلجوم الساحرة"
"heroes.name_fancy.goblin_pepperflame","عازف الناي الجني الشهير"
"heroes.name_fancy.goblin_ratgrub","حامل الجرذ الجني"
"heroes.name_fancy.goblin_rocket","خبير الهدم"
"heroes.name_fancy.goblin_scrollbeast","راكب الخنازير المتقاعد"
"heroes.name_fancy.goblin_smarttongue","الجنية الشاعرة"
"heroes.name_fancy.goblin_soursting","الجني القاتل المغرور"
"heroes.name_fancy.guardian_bat","كابوس تيلتوك"
"heroes.name_fancy.guardian_cat_warrior","محارب تيلتوك"
"heroes.name_fancy.guardian_cat_warrior_costume_fierce","النمر الشرس"
"heroes.name_fancy.guardian_chameleon","عنصري تيلتوك"
"heroes.name_fancy.guardian_elephant","السهم الحقيقي لتيلتوك"
"heroes.name_fancy.guardian_falcon_priest","كاهن تيلتوك"
"heroes.name_fancy.guardian_gazelle","قسيس تيلتوك"
"heroes.name_fancy.guardian_gazelle_costume_bandalore","مهاجم تيلتوك السريع"
"heroes.name_fancy.guardian_gorilla_chieftain","زعيم تيلتوك"
"heroes.name_fancy.guardian_gorilla_chieftain_costume_conqueror","كونج القاهر"
"heroes.name_fancy.guardian_hippo","وحش تيلتوك"
"heroes.name_fancy.guardian_jackal_assassin","قاتل تيلتوك"
"heroes.name_fancy.guardian_jackal_assassin_costume_bones","جامع عظام تيلتوك"
"heroes.name_fancy.guardian_lemur","مداوي تيلتوك"
"heroes.name_fancy.guardian_owl_gentleman","نخبة حرس تيلتوك"
"heroes.name_fancy.halloween_alucard","سليل مصاص الدماء"
"heroes.name_fancy.halloween_alucard_costume_mafia","مصاص الدماء ملك الجريمة"
"heroes.name_fancy.halloween_amber","مصاصة الدماء المحاربة"
"heroes.name_fancy.halloween_ana_belle","شارلادي من مورلوفيا"
"heroes.name_fancy.halloween_ana_belle_costume_mafia","بارونة التراب"
"heroes.name_fancy.halloween_chester","الشبح العدواني"
"heroes.name_fancy.halloween_edwin","الخادم الماكر"
"heroes.name_fancy.halloween_edwin_costume_mafia","الخادم الخائن"
"heroes.name_fancy.halloween_francine","أنثى الوحش"
"heroes.name_fancy.halloween_francine_costume_mafia","فتاة عصابة"
"heroes.name_fancy.halloween_frank","الوحش"
"heroes.name_fancy.halloween_frank_costume_mafia","رجل عصابة"
"heroes.name_fancy.halloween_goopy","غو الجيلاتيني"
"heroes.name_fancy.halloween_hortensia","راعي الأذرع الأخطبوطية الشريرة"
"heroes.name_fancy.halloween_jack","منشد اليقطين"
"heroes.name_fancy.halloween_lucinda","حاملة إكسكاليبروم"
"heroes.name_fancy.halloween_matilda","طاهي المعجنات غير المقدسة"
"heroes.name_fancy.halloween_miriam_and_midnight","الثنائي الغامض"
"heroes.name_fancy.halloween_vanda","ملكة مصاصي الدماء"
"heroes.name_fancy.halloween_vanda_costume_mafia","ملكة الجريمة"
"heroes.name_fancy.halloween_wayne","ساحر مورلوفيا العظيم"
"heroes.name_fancy.hidden_dark_god_myztero","عاكِس التأثيرات الغامض"
"heroes.name_fancy.holy_god_aurox","الهائج المشع"
"heroes.name_fancy.holy_god_aviana","القائد الصقر"
"heroes.name_fancy.holy_god_bai_yeong","راقص الشفرات"
"heroes.name_fancy.holy_god_celidana","قائد الإكليروس المقدس"
"heroes.name_fancy.holy_god_delilah","بطل الجزيرة المحرمة"
"heroes.name_fancy.holy_god_delilah_costume_guardian","حارس المعبد السماوي"
"heroes.name_fancy.holy_god_devana","صائدة عنيدة"
"heroes.name_fancy.holy_god_drake_lee","سيد الفنون القتالية"
"heroes.name_fancy.holy_god_drake_lee_costume_serene","المقاتل الهادئ"
"heroes.name_fancy.holy_god_faeona","الساحر الجني الأبيض"
"heroes.name_fancy.holy_god_gilda","المرشد القزم إلى النور"
"heroes.name_fancy.holy_god_gilligan","المغامر الوهمي"
"heroes.name_fancy.holy_god_hanitra","الآلهة ليموريان"
"heroes.name_fancy.holy_god_ithar","اللص الشريف"
"heroes.name_fancy.holy_god_kara","المُدافع المقدس"
"heroes.name_fancy.holy_god_malosi","البطل المسيطر"
"heroes.name_fancy.holy_god_may","الحاصد المبارك"
"heroes.name_fancy.holy_god_musashi","رونين المنيع"
"heroes.name_fancy.holy_god_musashi_costume_prisoner","فنان الهروب"
"heroes.name_fancy.holy_god_neith","فاتحة السبيل"
"heroes.name_fancy.holy_god_onatel","العرَّافة العمياء"
"heroes.name_fancy.holy_god_ranvir","القنطور المقدس"
"heroes.name_fancy.holy_god_uraeus","وزير غامض"
"heroes.name_fancy.holy_god_zora","فارس الزهور"
"heroes.name_fancy.ice_god_alexandrine","درع واقٍ من الظلم"
"heroes.name_fancy.ice_god_areax","ساحر الجليد نصف الحصان"
"heroes.name_fancy.ice_god_athena","كائنة الثلجة السماوية"
"heroes.name_fancy.ice_god_athena_costume_cute","كائنة الثلجة السماوية الكرتونية"
"heroes.name_fancy.ice_god_athena_costume_wargoddess","سيدة الحرب"
"heroes.name_fancy.ice_god_balur","المصارع الشرس"
"heroes.name_fancy.ice_god_callum","المطارد العنيد"
"heroes.name_fancy.ice_god_claeg","معالج لمسة اللعنة"
"heroes.name_fancy.ice_god_dvalin","مستخدم الصقيع"
"heroes.name_fancy.ice_god_eskimo","مطارِدة عمالقة الثلج"
"heroes.name_fancy.ice_god_eskimo_costume_champion","البطلة الجليدية"
"heroes.name_fancy.ice_god_frida","الخطيرة القطبية الشمالية"
"heroes.name_fancy.ice_god_frosth","جالب الشتاء"
"heroes.name_fancy.ice_god_glenda","الأم الروحية السحرية"
"heroes.name_fancy.ice_god_iris","خبيرة تبديد"
"heroes.name_fancy.ice_god_klaern","مشعوذ الصقيع"
"heroes.name_fancy.ice_god_mene","ملكة جنيات الليل"
"heroes.name_fancy.ice_god_miki","ذابح وحوش الجليد"
"heroes.name_fancy.ice_god_nerasis","الموت الهادئ"
"heroes.name_fancy.ice_god_october","الرجل الجبليّ المجمّد"
"heroes.name_fancy.ice_god_october_costume_farmer","مزارع مجمد"
"heroes.name_fancy.ice_god_perseus","ابن زوس"
"heroes.name_fancy.ice_god_perseus_costume_frozen","متحدي بورياس"
"heroes.name_fancy.ice_god_raffaele","الموجّه الهادئ"
"heroes.name_fancy.ice_god_sini","المشعوذ الأزرق"
"heroes.name_fancy.ice_god_suzuna","الساحرة الأنيقة"
"heroes.name_fancy.ice_god_vela","المشعوذة المائية"
"heroes.name_fancy.institute_ellery","عالم الأحياء الضال"
"heroes.name_fancy.institute_emilie","مستكشفة المملكة الحدودية"
"heroes.name_fancy.institute_piper","القاتلة المأجورة الفضولية"
"heroes.name_fancy.institute_professor_ambrose","مدير المعهد"
"heroes.name_fancy.institute_professor_morryster","الحكيم المقنع"
"heroes.name_fancy.institute_ryleh","أمين الأرشيف المساعد"
"heroes.name_fancy.institute_wilcox","الفيزيائي البارع"
"heroes.name_fancy.institute_zenas","خبير المعادن"
"heroes.name_fancy.journey_change","مختارة من قبل ضوء القمر"
"heroes.name_fancy.journey_erlang_shen","السيد الأكبر المقاتل"
"heroes.name_fancy.journey_general_yin","جينرال الشيطان المتحوِّل"
"heroes.name_fancy.journey_heifeng_guai","الشيطان ذو الأجنحة السوداء"
"heroes.name_fancy.journey_nineheaded_beast","مرافق الأمير ذو تسعة رؤوس"
"heroes.name_fancy.journey_queen_guowang","الجمال منقطع النظير"
"heroes.name_fancy.journey_sha_wujing","الراهب الحزين"
"heroes.name_fancy.journey_tang_sanzang","لغز النهر العظيم"
"heroes.name_fancy.journey_xie_zi_jing","عفريتة العقرب"
"heroes.name_fancy.journey_xiong_shanjun","سيد دب الجبل"
"heroes.name_fancy.journey_xiwangmu","الملكة الأم"
"heroes.name_fancy.kalevala_aino","فتاة الصيف"
"heroes.name_fancy.kalevala_aino_costume_water_maiden","فتاة البحيرة"
"heroes.name_fancy.kalevala_iku_turso","وحش الأعماق"
"heroes.name_fancy.kalevala_ilmarinen","الحداد الخبير"
"heroes.name_fancy.kalevala_ilmarinen_costume_gold","المُخترغ الخبير"
"heroes.name_fancy.kalevala_joukahainen","الصياد المفترس"
"heroes.name_fancy.kalevala_joukahainen_costume_frozen","الصياد المتجمد"
"heroes.name_fancy.kalevala_kullervo","الابن المنتقم"
"heroes.name_fancy.kalevala_kullervo_costume_battle_scarred","الابن ذو ندوب المعركة"
"heroes.name_fancy.kalevala_lemminkainen","البطل الخالد"
"heroes.name_fancy.kalevala_lemminkainen_costume_swan","البطل المتلاشي"
"heroes.name_fancy.kalevala_louhi","ساحرة الشمال"
"heroes.name_fancy.kalevala_louhi_costume_mistress","سيدة الشمال"
"heroes.name_fancy.kalevala_mielikki","روح الغابة"
"heroes.name_fancy.kalevala_mielikki_costume_bear_protector","حامي الدببة"
"heroes.name_fancy.kalevala_mother_lemminkainen","مُنقذة البطل"
"heroes.name_fancy.kalevala_otso","جائل السهول"
"heroes.name_fancy.kalevala_para","معهود العائلة"
"heroes.name_fancy.kalevala_suomuhauki","بايك الضخم"
"heroes.name_fancy.kalevala_ukkonen","قريب فينموينين الملعون"
"heroes.name_fancy.kalevala_ukkonen_costume_ukkonen_infernal","قريب فينموينين الجهنمي"
"heroes.name_fancy.kalevala_vainamoinen","الشاعر الأبدي"
"heroes.name_fancy.kalevala_vainamoinen_costume_vainamoinen_sage","الحكيم الأبدي"
"heroes.name_fancy.kingdom_cao_cao","سيد الحرب وي"
"heroes.name_fancy.kingdom_cao_cao_costume_ice","سيد حرب الثلج"
"heroes.name_fancy.kingdom_diaochan","جمال رائع"
"heroes.name_fancy.kingdom_diaochan_costume_flowers","جمال الزهرة"
"heroes.name_fancy.kingdom_guan_yu","الجنرال الشجاع"
"heroes.name_fancy.kingdom_guan_yu_costume_dragon","جنرال الجحيم"
"heroes.name_fancy.kingdom_jing","جندي المشاة شو"
"heroes.name_fancy.kingdom_li","جندي المشاة وو"
"heroes.name_fancy.kingdom_liu_bei","سيد الحرب شو"
"heroes.name_fancy.kingdom_liu_bei_costume_nature","سيد حرب الغابة"
"heroes.name_fancy.kingdom_lu_bu","سيد الحرب الغاضب"
"heroes.name_fancy.kingdom_lu_bu_costume_tiger_lord","سيد الحرب النمر الغاضب"
"heroes.name_fancy.kingdom_sun_quan","سيد الحرب وو"
"heroes.name_fancy.kingdom_sun_quan_costume_fire_bat","قائد الحظ"
"heroes.name_fancy.kingdom_sun_shangxiang","المقاتل النبيل"
"heroes.name_fancy.kingdom_wang_yuanji","المرأة النبيلة اللطيفة"
"heroes.name_fancy.kingdom_wang_yuanji_costume_artisan","الخطاط الطيب"
"heroes.name_fancy.kingdom_xiahou_dun","القائد ذو العين الواحدة"
"heroes.name_fancy.kingdom_yao","جندي المشاة وي"
"heroes.name_fancy.kingdom_zhang_fei","الجنرال الشرس"
"heroes.name_fancy.kingdom_zhang_fei_costume_bear_slayer","الجنرال الدب الشرس"
"heroes.name_fancy.kingdom_zhou_yu","القائد الشاب"
"heroes.name_fancy.kingdom_zhou_yu_costume_white_raven","القائد الغراب"
"heroes.name_fancy.kingdom_zhuge_liang","المعلم الاستراتيجي"
"heroes.name_fancy.kingdom_zhuge_liang_costume_crane","القائد الإستراتيجي الأعلى"
"heroes.name_fancy.knights_bauchan","امبراطور افالون"
"heroes.name_fancy.knights_black_knight","ارهاب افالون"
"heroes.name_fancy.knights_black_knight_costume_negative","الفارس السلبي"
"heroes.name_fancy.knights_gawain","الفارس الأزرق"
"heroes.name_fancy.knights_green_knight","متحد أفالون"
"heroes.name_fancy.knights_guinevere","ملكة أفالون"
"heroes.name_fancy.knights_guinevere_costume_rider","فارس تنانين آفالون"
"heroes.name_fancy.knights_king_arthur","ملك أفالون"
"heroes.name_fancy.knights_lady_of_the_lake","ساحرة أفالون"
"heroes.name_fancy.knights_lady_of_the_lake_costume_blades","سيدة الأنصال"
"heroes.name_fancy.knights_merlin","ساحر أفالون"
"heroes.name_fancy.knights_merlin_costume_astrology","عالم نجوم آفالون"
"heroes.name_fancy.knights_morgan_le_fay","ساحرة أفالون"
"heroes.name_fancy.knights_sir_lancelot","فارس أفالون"
"heroes.name_fancy.knights_treevil","شرير أفالون"
"heroes.name_fancy.lionman_barbarian","آخر الليور"
"heroes.name_fancy.lionman_barbarian_costume_armor","ملك الليور"
"heroes.name_fancy.lionman_barbarian_costume_babysitter","جليسة ليور"
"heroes.name_fancy.lionman_barbarian_costume_cute","ليور كرتوني"
"heroes.name_fancy.lionman_barbarian_costume_glass","الليور الزجاجي"
"heroes.name_fancy.lionman_barbarian_costume_stylish","ليور الأنيق"
"heroes.name_fancy.lizardman_trapper","زعيم السحالي"
"heroes.name_fancy.lizardman_trapper_costume_cute","رئيس القبيلة الكرتوني"
"heroes.name_fancy.lizardman_trapper_costume_fisher","صياد السحالي"
"heroes.name_fancy.lizardman_trapper_costume_glass","الزعيم الزجاجي"
"heroes.name_fancy.lizardman_trapper_costume_shaman","عجوز السحالي"
"heroes.name_fancy.lizardman_warrior","مقاتل السحالي"
"heroes.name_fancy.lizardman_warrior_costume_cute","المقاتل الكرتوني"
"heroes.name_fancy.lizardman_warrior_costume_dinosaur","سلف السحالي"
"heroes.name_fancy.lizardman_warrior_costume_glass","مُقاتل الزجاج"
"heroes.name_fancy.lunar_new_year_baishu","فأر بهلوان قمري"
"heroes.name_fancy.lunar_new_year_gongniu","ثور الحارس القمري"
"heroes.name_fancy.lunar_new_year_hongyunxing","الحصان القمري المتجول"
"heroes.name_fancy.lunar_new_year_laohu","نمر زودياك"
"heroes.name_fancy.lunar_new_year_laohu_costume_golden","النمر القمري المحظوظ"
"heroes.name_fancy.lunar_new_year_qinglong","التنين الإستراتيجي القمري"
"heroes.name_fancy.lunar_new_year_xiaoqing","ثعبان موسيقي قمري"
"heroes.name_fancy.lunar_new_year_xiaotu","أرنب زودياك"
"heroes.name_fancy.lunar_new_year_xiaotu_costume_golden","أرنب المصباح القمري"
"heroes.name_fancy.magic_agrafena","القائد الأعلى"
"heroes.name_fancy.magic_agrafena_costume_dark","ساحرة الظلام الأعلى"
"heroes.name_fancy.magic_anastasia","مستدعي التلميذ"
"heroes.name_fancy.magic_anton","العالِم الشاب"
"heroes.name_fancy.magic_becky","مشعوذ ضوء النجوم"
