"herocard.passive_skill.description.addmana.all.allies","Tüm müttefikler küçük bir miktar mana kazanırlar."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#3","This character has innate ability to Memorize any Minion or Fiend summoned by enemies' Special Skills. The latest {0} Minions and Fiends that enemies summon will stay memorized until the Special Skill is cast. (THIRD FORM)"
"herocard.passive_skill.description.memorizestatuseffects","Bu karakter, durum engellerini Ezberleme konusunda doğuştan yeteneklidir. Karaktere uygulanan en yeni durum engeli, Özel Yetenek uygulanana kadar ezberde kalır. Yalnızca süreli durum engelleri ezberlenebilir."
"herocard.passive_skill.description.memorizestatuseffects#2","Bu karakter, durum engellerini Ezberleme konusunda doğuştan yeteneklidir. Karaktere uygulanan en yeni {0} durum engeli, Özel Yetenek uygulanana kadar ezberde kalır. Yalnızca süreli durum engelleri ezberlenebilir."
"herocard.passive_skill.description.memorizestatuseffects#3","This character has innate ability to Memorize status ailments. The latest {0} status ailments that are cast on this character will stay memorized until the Special Skill is cast. Only status ailments with a duration can be memorized. (THIRD FORM)"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_blue","Bu Taklit, şu aşamaları tamamlarken ekstra ganimet şansı verir:

*****
 Alfa Eter
 Buz Eteri III

****
 Buz Eteri II

***
 Buz Eteri I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_green","Bu Taklit, şu aşamaları tamamlarken ekstra ganimet şansı verir:

*****
 Alfa Eter
 Doğa Eteri III

****
 Doğa Eteri II

***
 Doğa Eteri I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_purple","Bu Taklit, şu aşamaları tamamlarken ekstra ganimet şansı verir:

*****
 Alfa Eter
 Karanlık Eter III

****
 Karanlık Eter II

***
 Karanlık Eter I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_red","Bu Taklit, şu aşamaları tamamlarken ekstra ganimet şansı verir:

*****
 Alfa Eter
 Ateş Eteri III

****
 Ateş Eteri II

***
 Ateş Eteri I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_aether_yellow","Bu Taklit, şu aşamaları tamamlarken ekstra ganimet şansı verir:

*****
 Alfa Eter
 Kutsal Eter III

****
 Kutsal Eter II

***
 Kutsal Eter I"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_blue","Bu Taklit, aşamaları tamamlarken ekstra ganimet kazanma şansı verir:

****
 Şam Kılıcı
 Taktik Kitabı
 Uzak Görüş Teleskobu

***
 İnce Eldivenler
 Pusula
 Sıcak Pelerin
 Savaş Kılavuzu
 Uzun Çizme
 Örme Zırh Gömlek

**
 Güçlü Halat"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_epic_yellow","Bu Taklit, aşamaları tamamlarken ekstra ganimet kazanma şansı verir:

***
 Gizli Bıçak
 Büyü Küresi
 Sağlam Kalkan
 Tuzak Aracı
 Sıcak Pelerin
 Savaş Kılavuzu 
 Örme Zırh Gömlek
 Kın
 Uzun Çizme

**
 Gizli Kodlar
 Hançer
 Deri Zırh
 Bileme Taşı
 Güçlü Halat
 Ahşap Kalkan

*
 Maceracı Kiti
 Eğitim Kılıcı
 Basit Kıyafetler"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_green","Bu Taklit, aşamaları tamamlarken ekstra ganimet kazanma şansı verir:

****
 Şam Kılıcı
 Taktik Kitabı
 Gizemli Tonik

***
 İnce Eldivenler
 Pusula
 Sağlam Kalkan
 Uzun Çizme
 Kın

**
 Güçlü Halat
 Hançer"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_purple","Bu Taklit, aşamaları tamamlarken ekstra ganimet kazanma şansı verir:

****
 Şam Kılıcı
 Taktik Kitabı
 Kraliyet Cübbesi

***
 İnce Eldivenler
 Pusula
 Tuzak Araçları
 Uzun Çizme
 Kın

**
 Güçlü Halat
 Hançer"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_red","Bu Taklit, aşamaları tamamlarken ekstra ganimet kazanma şansı verir:

****
 Şam Kılıcı
 Taktik Kitabı
 Mistik Yüzükler

***
 İnce Eldivenler
 Pusula
 Gizli Bıçak
 Örme Zırh Gömlek
 Uzun Çizme

**
 Gizli Kod"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_ascension_yellow","Bu Taklit, aşamaları tamamlarken ekstra ganimet kazanma şansı verir:

****
 Şam Kılıcı
 Taktik Kitabı
 Zehirli Oklar

***
 İnce Eldivenler
 Pusula
 Büyü Küresi
 Örme Zırh Gömlek
 Uzun Çizme

**
 Gizli Kod"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_blue","Bu Taklit, aşamaları tamamlarken ekstra ganimet kazanma şansı verir:

*****
 Usta Büyücü Amblemleri
 Usta Sihirbaz Amblemleri

****
 Büyücü Amblemleri
 Sihirbaz Amblemleri"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_green","Bu Taklit, aşamaları tamamlarken ekstra ganimet kazanma şansı verir:

*****
 Usta Paladin Amblemleri
 Usta Rahip Amblemleri

****
 Paladin Amblemleri
 Rahip Amblemleri"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_purple","Bu Taklit, aşamaları tamamlarken ekstra ganimet kazanma şansı verir:

*****
 Usta Düzenbaz Amblemleri
 Usta Bekçi Amblemleri

****
 Düzenbaz Amblemleri
 Bekçi Amblemleri"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_red","Bu Taklit, aşamaları tamamlarken ekstra ganimet kazanma şansı verir:

*****
 Usta Dövüşçü Amblemleri
 Usta Barbar Amblemleri

****
 Dövüşçü Amblemleri
 Barbar Amblemleri"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_emblem_yellow","Bu Taklit, aşamaları tamamlarken ekstra ganimet kazanma şansı verir:

*****
 Usta Ruhban Amblemleri
 Usta Keşiş Amblemleri

****
 Ruhban Amblemleri
 Keşiş Amblemleri"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_experience_rare_red","Bu Taklit, aşamaları tamamlarken ekstra ganimet kazanma şansı verir:

**
Sıra Dışı Ateş, Doğa, Buz Kahramanları, Karanlık ve Kutsal Kahramanlar

*
Usta Antrenör Kahramanlar
Sıradan Ateş, Doğa, Buz Kahramanları, Karanlık ve Kutsal Kahramanlar"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_blue","Bu Taklit, aşamaları tamamlarken ekstra ganimet kazanma şansı verir:

***
Nadir Buz Antrenör Kahramanları

**
Sıra Dışı Buz Antrenör Kahramanları 
Sıra Dışı Buz Kahramanları

*
Sıradan Buz Antrenör Kahramanları
Sıradan Buz Kahramanları"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_green","Bu Taklit, aşamaları tamamlarken ekstra ganimet kazanma şansı verir:

***
Nadir Doğa Antrenör Kahramanları

**
Sıra Dışı Doğa Antrenör Kahramanları
Sıra Dışı Doğa Kahramanları
 
*
Sıradan Doğa Antrenör Kahramanları
Sıradan Doğa Kahramanları"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_purple","Bu Taklit, aşamaları tamamladığında ekstra ganimet alma şansı verir:

***
Nadir Karanlık Antrenör Kahramanları

**
Sıra Dışı Karanlık Antrenör Kahramanları
Sıra Dışı Karanlık Kahramanları
 
*
Sıradan Karanlık Kahramanları
Sıradan Karanlık Antrenör Kahramanları"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_red","Bu Taklit, aşamaları tamamladığında ekstra ganimet alma şansı verir:

***
Nadir Ateş Antrenör Kahramanları

**
Sıra Dışı Ateş Antrenör Kahramanları
Sıra Dışı Ateş Kahramanları

*
Sıradan Ateş Antrenör Kahramanları
Sıradan Ateş Kahramanları"
"herocard.passive_skill.description.mimiclootonlevelcompleted.mimic_training_hero_yellow","Bu Taklit, aşamaları tamamladığında ekstra ganimet alma şansı verir:

***
Nadir Kutsal Antrenör Kahramanlar

**
Sıra Dışı Kutsal Antrenör Kahramanlar
Sıra Dışı Kutsal Kahramanlar

*
Sıradan Kutsal Antrenör Kahramanlar
Sıradan Kutsal Kahramanlar"
"herocard.passive_skill.description.nevermissspecial","Bu karakterin Özel Yeteneği, hedefini asla şaşırmaz."
"herocard.passive_skill.description.ransack","Her turun başında, bu karakter rastgele bir düşmanı Yağmalar:

{DAMAGE} çalar.
Düşmandan bir buff'ı, Büyüme efektini veya olumlu istifi güvenle çalar. Buna bozulamaz buff'lar ve dans efektleri dâhildir."
"herocard.passive_skill.description.ransack.chance","Her turun başında, bu karakter %{CHANCE} şansla rastgele bir düşmanı Yağmalar:

Yağmala:
{DAMAGE} sağlık çalar.
Düşmandan rastgele bir Büyüme efektini, olumlu İstifi veya durum efekti buff'ını güvenle çalar. Buna bozulamaz buff'lar ve Dans efektleri dâhildir.
Güvenli çalma, kaldırılan buff'ın kaldırmadan sonra hasar gibi ikincil efektlerini atlatır. Pasif yetenekler ve aile efektleri yine de etkinleşebilir."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest","Bu karakter Özel Yeteneğini uyguladığında, buff'ları olan rastgele bir düşmandan en yeni bozulabilen buff'ı çalmak için %{CHANCE} şansı bulunur. Hiçbir düşmanın buff'ı yoksa tüm düşmanlara %{DAMAGE} hasar verir."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest.randomenemytarget","Bu karakter Özel Yeteneğini uyguladığında, buff'ları olan rastgele bir düşmandan en yeni bozulabilen buff'ı çalmak için %{CHANCE} şansı bulunur. Hiçbir düşmanın buff'ı yoksa tüm düşmanlara %{DAMAGE} hasar verir."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.heal.always.minordebuff.newest","Bu karakter Özel Yeteneğini uyguladığında en yeni arındırılabilir durum engellerini kendisinden hedefe aktarır. Özel Yetenek bir düşmanı hedef alamıyorsa bunun yerine rastgele bir düşman seçilir. Bu karakterin arındırılabilir durum engeli yoksa %{HEALTH} sağlık yeniler."
"herocard.passive_skill.description.receivedeffectreplacement.minordebuff","Gelen olumsuz efektleri uyumlu olumlu efektlerle değiştirmek için %{REPLACEMENTCHANCE} şans."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage","Bu kahraman, güçlü elementin Birliklerinden daha az elementer hasar alır.

Alınan elementer hasar: -%{MODIFIER}"
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.combined","Daha güçlü elementin Birliklerinden %{MODIFIER} daha az element hasarı alınır."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.increase.dragon","Daha güçlü elementin ateş toplarından %{MODIFIER} daha çok element hasarı alınır."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single","Bu karakter, ilk defa ölümcül bir hasar aldığında o hasarı rastgele bir düşmana yönlendirir.

Birden çok dalganın olduğu savaşlarda efekt, her dalganın başında yenilenir."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single.battle","Bu karakter ilk kez ölümcül hasar aldığında hasar almak yerine bu hasarı rastgele bir düşmana yansıtır. (Kalan etkinleştirme: {ACTIVATIONSLEFT})"
"herocard.passive_skill.description.reflectstatuseffect.with_chance","Durum engellerini saldırgana geri yansıtmak için %{CHANCE} ekstra şans."
"herocard.passive_skill.description.removebasestatmodifiers.removenegative.from.all.allies","Her {TURNS} turda bir tüm müttefiklerden tüm Soldurma efektlerini kaldırır."
"herocard.passive_skill.description.removebasestatmodifiers.removepositive.from.all.enemies","Her {TURNS} turda bir tüm düşmanlardan tüm Büyüme efektlerini kaldırır."
"herocard.passive_skill.description.repaircoreintrinsicchargeeffectonspecial.healthboost.all.allies.always","Bu karakterin Yapı Merkezi Onarım Merkezidir.

Onarım Merkezi bu karakterin Özel Yeteneği her uygulandığında etkinleşir:

 Tamamen dolan bir Onarım Merkeziyle tüm müttefiklerin sağlığını %{CHARGEDPOWER1} artırır. 
 Şifa, Merkezin dolum miktarına göre değişir. Merkez etkinleştirildiğinde doluluk oranı tamamen boşaltılır."
"herocard.passive_skill.description.repeatspecial","Bu Kahramanın Özel Yeteneğini {REPEATS} defa uygulamak için %{REPEATCHANCE} şans."
"herocard.passive_skill.description.resist.accuracymodifiers","Bu karakterin, isabetliliği etkileyen durum engellerine karşı bağışıklığı bulunur. Müttefiklerin asıl durum efektlerine uygulanmaz."
"herocard.passive_skill.description.resist.alldebuffs.alldebuffs","Bu karakterin, durum engellerine ve olumsuz istiflere karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resist.alldebuffs.buffdispels.with_chance","Tüm durum engellerine ve buff bozmalarına direnmek için ekstra %{CHANCE} şans."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.attackwither.defensewither.alldebuffs.with_chance","Tüm durum engellerine, mana düşüşlerine, buff bozmalarına ve Soldurma efektlerine direnmek için %{CHANCE} ekstra şans."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.insanity.with_chance","Tüm durum engellerine, mana azaltmalarına, buff bozmalarına ve Deliliğe direnmek için %{CHANCE} ekstra şans."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.with_chance","Tüm durum engellerine, mana düşüşlerine ve buff bozmalarına direnmek için %{CHANCE} ekstra şans."
"herocard.passive_skill.description.resist.alldebuffs.with_chance","Tüm durum engellerine direnmek için %{CHANCE} ekstra şans."
"herocard.passive_skill.description.resist.alldefensemodifiers.alldebuffs","Bu karakterin, savunmayı etkileyen durum engellerine karşı bağışıklığı bulunur. Elementer savunmaları etkileyen durum engellerine de uygulanır."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.alldebuffs","Bu karakterin, savunmaları etkileyen durum engellerine, istiflere ve Soldurma efektlerine karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.allstatuseffects","Bu karakter savunmayı artıran veya azaltan efektlerden etkilenmez.

Buna Soldurma ve Büyüme efektlerinin yanı sıra durum efekti güçlendirmeleri ve engelleri, olumlu ve olumsuz İstifler dâhildir."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.defensegrowth.allstatuseffectsandstacks","Bu karakter savunmayı artıran veya azaltan efektlerden etkilenmez.

Buna 
 Durum efekti buff'ları ve engelleri
 Olumlu ve olumsuz İstifler
 Büyüme ve Soldurma efektleri dâhildir."
"herocard.passive_skill.description.resist.alldefensemodifiersincludingwither.allstatuseffects","Bu karakter savunmayı artıran veya azaltan efektlerden etkilenmez.

Buna Soldurma ve Büyüme efektlerinin yanı sıra durum efekti güçlendirmeleri ve engelleri, olumlu ve olumsuz İstifler dâhildir."
"herocard.passive_skill.description.resist.allmanaeffects.alldebuffs","Bu karakterin, mana üretimini etkileyen durum engellerine ve olumsuz istiflere karşı bağışıklığı bulunur. Mana engelleyen ya da mana çalan durum engelleri için de geçerlidir."
"herocard.passive_skill.description.resist.allmanaeffects.manareduction.alldebuffs","Bu karakterin, mana üretimine, mana üretimini etkileyen durum engellerine ve olumsuz istiflere karşı bağışıklığı bulunur. Ayrıca mana engelleyen ya da çalan durum engelleri için de geçerlidir."
"herocard.passive_skill.description.resist.allstatuseffectdamage.none","Bu karakterin, durum efektlerinden gelen hasara karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resist.attackdelay","Bu karakterin normal saldırısı geciktirilemez."
"herocard.passive_skill.description.resist.attackdelay.alldebuffs","Bu karakterin normal saldırısı geciktirilemez."
"herocard.passive_skill.description.resist.attackmodifiers","Bu karakterin, saldırıyı etkileyen durum engellerine karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resist.attackmodifiers.allstatuseffectsandstacks","Bu karakterin, saldırıları etkileyen tüm durum efektlerine ve istiflerine karşı bağışıklığı bulunur. Buna durum efekti buff'ları da dâhildir."
"herocard.passive_skill.description.resist.attackmodifiers.attackwither.alldebuffs","Bu karakterin, saldırıyı etkileyen durum engellerine, istiflere ve Soldurma efektlerine karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resist.bleed","Bu karakterin, Kanama hasarı veren durum engellerine karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resist.bleed.with_effect.healthboost.addmana","Bu karakterin, Kanama hasarı veren durum engellerine karşı bağışıklığı bulunur ve her direndiğinde {HEALTHBOOST} güçlendirilmiş sağlık ve %{MANA} mana kazanır."
"herocard.passive_skill.description.resist.buffdispels","Bu karakterin, durum efekti buff'larını bozan efektlere karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resist.buffdispels.none.with_chance","Buff bozmalarına direnmek için %{CHANCE} ekstra şans."
"herocard.passive_skill.description.resist.buffimmunity","Bu karakterin, yeni durum efekti buff'ları almasını engelleyen efektlere karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resist.burn","Bu karakterin, Yakma hasarı veren durum engellerine karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resist.burn.with_effect.healthboost.addmana","Bu karakterin, Yakma hasarı veren durum engellerine karşı bağışıklığı bulunur ve her direndiğinde {HEALTHBOOST} güçlendirilmiş sağlık ve %{MANA} mana kazanır."
"herocard.passive_skill.description.resist.can_stack.alldebuffs","Bu karakterin, durum engellerine karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resist.can_stack.alldebuffs.with_chance","Tüm durum engellerine direnmek için %{CHANCE} ekstra şans."
"herocard.passive_skill.description.resist.criticalhits.none","Bu karakterin, Kritik Darbelerden gelen ekstra hasara ve ilave etkilere karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resist.defensemodifierdebuffs","Bu karakterin, savunmayı etkileyen durum engellerine karşı bağışıklığı bulunur. Elementer savunmaları etkileyen durum engellerine uygulanmaz."
"herocard.passive_skill.description.resist.defensemodifiers.alldebuffs","Bu karakterin, savunmayı etkileyen durum engellerine ve olumsuz istiflere karşı bağışıklığı bulunur. Elementer savunmaları etkileyen durum engellerine uygulanmaz."
"herocard.passive_skill.description.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion"," Hizmetkarları kaldıran etkilere karşı bağışıklığı bulunur.
 Hizmetkar alması önlenemez.
 Hizmetkar saldırıları ve kabiliyetleri devre dışı bırakılamaz."
"herocard.passive_skill.description.resist.frost","Bu karakterin, Ayaz hasarı veren durum engellerine karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resist.frost.with_effect.healthboost.addmana","Bu karakterin, Ayaz hasarı veren durum engellerine karşı bağışıklığı bulunur ve her direndiğinde {HEALTHBOOST} güçlendirilmiş sağlık ve %{MANA} mana kazanır."
"herocard.passive_skill.description.resist.healeffects","Bu karakterin, şifayı etkileyen durum engellerine karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resist.healthsteal","Bu karakterin, sağlık çalan durum engellerine karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resist.insanity.permanentstatuseffects","Bu karakterin, Deliliğe karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resist.manadebuffs","Bu karakterin, manayı etkileyen durum engellerine karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking","Bu karakterin, mana üretimini etkileyen ya da Özel Yetenek kullanımını önleyen durum engellerine karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking.with_chance","Bu karakterin, manayı etkileyen ya da Özel Yetenek kullanımını önleyen durum engellerine direnmek için %{CHANCE} şansı bulunur."
"herocard.passive_skill.description.resist.managenerationmodifiers.alldebuffs","Bu karakterin, mana üretimini etkileyen durum engellerine ve olumsuz istiflere karşı bağışıklığı bulunur. Mana üretimini durduran veya mana çalan durum engelleri için geçerli değildir."
"herocard.passive_skill.description.resist.manareduction","Bu karakterin, mana azalmalarına karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resist.manareduction.alldebuffs.with_chance","Mana azalmalarına direnmek için %{CHANCE} ekstra şans."
"herocard.passive_skill.description.resist.manareduction.none.with_effect.healthboost.addmana","Bu karakterin, mana azaltmalarına karşı bağışıklığı bulunur. Ayrıca her direndiğinde {HEALTHBOOST} güçlendirilmiş sağlık ve %{MANA} mana kazanır."
"herocard.passive_skill.description.resist.maxhealthreduction","Bu karakterin, maks. sağlık azalmasına karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resist.poison","Bu karakterin, Zehir hasarı veren durum engellerine karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resist.poison.burn.bleed","Bu karakterin, Zehir, Yakma ve Kanama hasarı veren durum engellerine karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resist.possession.allstatuseffects","Bu karakterin, karakteri ele geçirebilecek durum etkilerine karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resist.sand","Bu karakterin, Kum hasarı veren durum engellerine karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resist.specialblocking","Bu karakterin, Özel Yetenek kullanımını önleyen durum engellerine karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resist.specialblocking.with_chance","Bu karakterin Özel Yetenek kullanımını önleyen durum engellerine direnmek için %{CHANCE} şansı bulunur."
"herocard.passive_skill.description.resist.specialblocking.with_effect.healthboost.addmana","Bu karakterin, Özel Yetenek kullanımını önleyen durum engellerine karşı bağışıklığı bulunur. Ayrıca her direndiğinde {HEALTHBOOST} güçlendirilmiş sağlık ve %{MANA} mana kazanır."
"herocard.passive_skill.description.resist.stopmanageneration","Bu karakterin, mana üretimini durduran durum engellerine karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resist.water","Bu karakterin, Su hasarı veren durum engellerine karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resistdebuffsfromfamiliars.minion","Bu karakterin, Hizmetkarlardan gelen durum engellerine karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resistfamiliarremoval.minion.bigminion","Bu karakterin, kendisinden Hizmetkarları kaldıracak efektlere karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion","Bu karakterin, Hizmetkarlardan gelen olumsuz efektlere ve hasara karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion.bigminion","Bu karakterin, Hizmetkarlardan ve Mega Hizmetkarlardan gelen olumsuz efektlere ve hasara karşı bağışıklığı bulunur."
"herocard.passive_skill.description.resistnewfamiliars.parasite","Bu karakter Canavar alamaz."
"herocard.passive_skill.description.resistnewfamiliars.parasite.bigparasite","Bu karakter Canavar veya Mega Canavar alamaz"
"herocard.passive_skill.description.resistsupportcharacter.troop.alldebuffs.with_chance","Tüm durum engellerine direnmek için %{CHANCE} ekstra şans."
"herocard.passive_skill.description.revivalchancemodifier.all.enemies","Savaştaki tüm düşmanlar için dirilme şansı azaltılır. Şans, asıl değerin %{MODIFIER} kadarıdır."
"herocard.passive_skill.description.revivalhealthmodifier.all.enemies.excluding.boss","Tüm düşmanlar, dirildiklerinde %{HEALTHMODIFIER} sağlığa sahiptir. Boss düşmanları etkilenmez."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance","Bu karakterin yenildiğinde Tuhaf Konak olarak dirilme şansı vardır. Şans, karakter üzerindeki {INSANITYPERSTEP} Delilik başına en fazla %{MAXCHANCEINCREASE} olmak üzere %{CHANCEINCREASEPERSTEP} oranındadır. 

Tuhaf Konak şunlara sahiptir:
%{INHERITEDHEALTH} devralınan sağlık. 
{ATTACK} saldırı.
{DEFENSE} savunma.
Şu Özel Yetenek:

{ALTERNATIVEFORMSPECIALTITLE}
{ALTERNATIVEFORMSPECIALDESCRIPTION}

Bu karakter Deliliği etkinleştirirken kendini alt ederse yeniden dirilme şansı her zaman %{CHANCEONSELFCAUSEDDEATH} olur."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance_temp","Bu karakterin yenildiğinde Tuhaf Konak olarak dirilme şansı vardır. Şans, karakter üzerindeki {INSANITYPERSTEP} Delilik başına en fazla %{MAXCHANCEINCREASE} olmak üzere %{CHANCEINCREASEPERSTEP} oranındadır.

Tuhaf Konak şunlara sahiptir:
%{INHERITEDHEALTH} devralınan sağlık. 
{ATTACK} saldırı.
{DEFENSE} savunma.
Aşağıdaki Özel Yetenek:

{ALTERNATIVEFORMSPECIALTITLE}
{ALTERNATIVEFORMSPECIALDESCRIPTION}"
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance","Bu karakteri, yenildiğinde bir sonraki turunda %{HEALTH} sağlık ve %{MANA} mana ile dirilmek için %{TOTALCHANCE} şansı bulunur. 

{MAXACTIVATIONCOUNT} defaya kadar etkinleşir. Dirilme şansı her etkinleşmede azalır. Durum engelleri veya Pasif Yetenekler ile engellenemez."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Düşmanların uyguladığı tüm Balatlar yalnızca {TURNS} tur sürer."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Düşmanların uyguladığı tüm Danslar yalnızca {TURNS} tur sürer."
"herocard.passive_skill.description.sharereceiveddamage","Bu karakterin aldığı hasarın %{SHAREDDAMAGEPORTION} kadarı diğer tüm müttefiklerle paylaşılır."
"herocard.passive_skill.description.specialdamagereduction","Bu karakter, Özel Yeteneklerden gelen ilk {MAXACTIVATIONCOUNT} hasar için %{DAMAGEREDUCTION} daha az hasar alır."
"herocard.passive_skill.description.specialdamagereduction.chance","Bu karakterin, Özel Yeteneklerden alınan doğrudan hasarı 1'e düşürmesi için %{CHANCE} şans bulunur."
"herocard.passive_skill.description.specialdamagereductionsupportcharacter.troop","Bu karakter için Özel Yeteneklerden alınan hasar %{DAMAGEREDUCTION} azaltılır."
"herocard.passive_skill.description.startbattlewitheffect.addmana","Bu karakter, savaşın başında %{MANA} mana alır."
"herocard.passive_skill.description.statmodifier.attack","%{ATTACKMULTIPLIER} Saldırı."
"herocard.passive_skill.description.statmodifier.defense","%{DEFENSEMULTIPLIER} Savunma."
"herocard.passive_skill.description.statmodifier.health","%{HEALTHMULTIPLIER} Sağlık."
"herocard.passive_skill.description.statmodifier.health.attack","%{HEALTHMULTIPLIER} Sağlık, %{ATTACKMULTIPLIER} Saldırı."
"herocard.passive_skill.description.statmodifier.health.defense","%{HEALTHMULTIPLIER} Sağlık, %{DEFENSEMULTIPLIER} Savunma."
"herocard.passive_skill.description.statmodifier.health.defense.attack","%{HEALTHMULTIPLIER} Sağlık, %{DEFENSEMULTIPLIER} Savunma, %{ATTACKMULTIPLIER} Saldırı."
"herocard.passive_skill.description.statuseffectattackmodifier.addition","Saldırıyı artıran durum efektleri bu karakter için %{MODIFIER} daha etkilidir."
"herocard.passive_skill.description.statuseffectattackmodifier.all.allies.reduction","Saldırıyı etkileyen durum engellerinin efektini %{MODIFIER} azaltır. Efekt, bu karakter ve savaştaki tüm müttefikleri için geçerlidir."
"herocard.passive_skill.description.statuseffectattackmodifier.reduction","Saldırıyı azaltan durum engelleri, bu düşmana karşı %{MODIFIER} daha az etkilidir."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.addition","Saldırıyı artıran durum efektleri bu karakter için %{MODIFIER} daha etkilidir."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.reduction","Saldırıyı azaltan durum engelleri, bu düşmana karşı %{MODIFIER} daha az etkilidir."
"herocard.passive_skill.description.statuseffectdefensemodifier.addition","Savunmayı artıran durum efektleri bu karakter için %{MODIFIER} daha etkilidir."
"herocard.passive_skill.description.statuseffectdefensemodifier.all.allies.reduction","Savunma engellerinin etkisini %{MODIFIER} azaltır. Etki, bu karakter ve savaştaki tüm müttefikleri için geçerlidir."
