"herocard.passive_skill.description.addmana.all.allies","Alle bondgenoten krijgen er een kleine hoeveelheid mana bij."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#2","Dit personage heeft de aangeboren vaardigheid om een volgeling of demon die is aangeroepen door de speciale vaardigheden van vijanden te onthouden. De laatste {0} volgelingen en demonen die vijanden aanroepen, worden onthouden tot de speciale vaardigheid is toegepast."
"herocard.passive_skill.description.memorizefamiliars.from.enemies.to.all#3","Dit personage heeft de aangeboren vaardigheid om een volgeling of demon die is aangeroepen door de speciale vaardigheden van vijanden te onthouden. De laatste {0} volgelingen en demonen die vijanden aanroepen, worden onthouden tot de speciale vaardigheid is toegepast."
"herocard.passive_skill.description.memorizestatuseffects","Dit personage heeft de aangeboren vaardigheid om statusaandoeningen te onthouden. De laatste statusaandoening die op het personage is geworpen, worden onthouden tot de speciale vaardigheid wordt geactiveerd. Alleen statuseffecten met een tijdsduur kunnen worden onthouden."
"herocard.passive_skill.description.memorizestatuseffects#2","Dit personage heeft de aangeboren vaardigheid om statusaandoeningen te onthouden. De laatste {0} statusaandoeningen die op het personage zijn geworpen, worden onthouden tot de speciale vaardigheid wordt geactiveerd. Alleen statuseffecten kunnen worden onthouden."
"herocard.passive_skill.description.memorizestatuseffects#3","Dit personage heeft de aangeboren vaardigheid om statusaandoeningen te onthouden. De laatste {0} statusaandoeningen die op het personage zijn geworpen, worden onthouden tot de speciale vaardigheid wordt geactiveerd. Alleen statuseffecten kunnen worden onthouden."
"herocard.passive_skill.description.mimiclootonlevelcompleted","Elke unieke nabootser in je team kan extra buit opleveren wanneer je etappes voltooit. Deze nabootser biedt kans op de volgende extra buit:"
"herocard.passive_skill.description.nevermissspecial","De speciale vaardigheid van dit personage mist nooit zijn doelen."
"herocard.passive_skill.description.ransack","Aan het begin van een beurt plundert dit personage een willekeurige vijand:

Steelt {DAMAGE} gezondheid.
Steelt veilig een oppepper, groeieffect of positieve, cumulatieve oppepper van de vijand. Dit is inclusief niet-verwijderbare oppeppers en danseffecten."
"herocard.passive_skill.description.ransack.chance","Aan het begin van een beurt heeft dit personage een kans van {CHANCE}% om een willekeurige vijand te plunderen:

Plunderen:Steelt {DAMAGE} gezondheid.
Steelt veilig een oppepper, groeieffect of positieve, cumulatieve of statuseffectoppepper van de vijand. Dit is inclusief niet-verwijderbare oppeppers en danseffecten.
Veilig stelen omzeilt secundaire effecten zoals schade na verwijdering uit verwijderde oppeppers. Effecten zoals passieve vaardigheden en familie-effecten kunnen nog steeds actief zijn."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest","Wanneer dit personage zijn of haar speciale vaardigheid toepast, heeft hij of zij een kans van {CHANCE}% om de nieuwste verwijderbare oppepper te stelen van een willekeurige vijanden met oppeppers. Als er geen vijand is met oppeppers, wordt {DAMAGE}% schade aan alle vijanden toegebracht."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.damage.all.enemies.minorbuff.newest.randomenemytarget","Wanneer dit personage zijn of haar speciale vaardigheid toepast, heeft hij of zij een kans van {CHANCE}% om de nieuwste verwijderbare oppepper te stelen van een willekeurige vijanden met oppeppers. Als er geen vijand is met oppeppers, wordt {DAMAGE}% schade aan alle vijanden toegebracht."
"herocard.passive_skill.description.reallocatestatuseffectonspecialcast.heal.always.minordebuff.newest","Als dit personage de speciale vaardigheid gebruikt, brengt het het nieuwste zuiverbare statuseffect van zichzelf over naar het doelwit. Als de speciale vaardigheid een vijand niet tot doelwit kan nemen, wordt in plaats daarvan een willekeurige vijand gekozen. Als dit personage geen zuiverbare statuseffecten heeft, wordt er {HEALTH}% gezondheid hersteld."
"herocard.passive_skill.description.receivedeffectreplacement.minordebuff","{REPLACEMENTCHANCE}% kans op het vervangen van inkomende negatieve effecten door overeenkomende positieve effecten."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage","Dit personage loopt minder schade op van troepen met het sterkere element.

Opgelopen schade: -{MODIFIER}%"
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.combined","{MODIFIER}% minder schade opgelopen door troepen van het sterkere element."
"herocard.passive_skill.description.receivedstrongelementsupportcharacterdamage.increase.dragon","{MODIFIER}% meer elementaire schade ontvangen van vuurballen van het sterkere element."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single","De eerste keer dat dit personage fatale schade zou lijden, stuurt het die schade door naar een willekeurige vijand.

In gevechten met meerdere golven, wordt dit effect aan het begin van iedere golf vernieuwd."
"herocard.passive_skill.description.redirectlethaldamage.enemies.single.battle","De eerste keer dat dit personage fatale schade zou lijden, stuurt het die schade door naar een willekeurige vijand. (Resterende activeringen: {ACTIVATIONSLEFT})"
"herocard.passive_skill.description.reflectstatuseffect.with_chance","{CHANCE}% extra kans om statusaandoeningen terug te kaatsen naar de aanvaller."
"herocard.passive_skill.description.removebasestatmodifiers.removenegative.from.all.allies","Verwijdert elke {TURNS} beurten alle verwelkingseffecten van alle bondgenoten."
"herocard.passive_skill.description.removebasestatmodifiers.removepositive.from.all.enemies","Verwijdert elke {TURNS} beurten alle groei-effecten van alle vijanden."
"herocard.passive_skill.description.repaircoreintrinsicchargeeffectonspecial.healthboost.all.allies.always","De constructiekern van dit personage is een reparatiekern.

De reparatiekern wordt geactiveerd als de speciale vaardigheid van dit personage gebruikt wordt:

 Met een volledig geladen reparatiekern wordt de gezondheid van alle bondgenoten verhoogd met {CHARGEDPOWER1}%. 
 De genezing hangt af van de lading in de kern. De lading wordt volledig gebruikt als de kern geactiveerd wordt."
"herocard.passive_skill.description.repeatspecial","{REPEATCHANCE}% kans om de speciale vaardigheid van deze held {REPEATS} keer te activeren."
"herocard.passive_skill.description.resist.accuracymodifiers","Dit personage is immuun voor statusaandoeningen die invloed hebben op de trefzekerheid. Heeft geen invloed op oorspronkelijke statuseffecten van bondgenoten."
"herocard.passive_skill.description.resist.alldebuffs.alldebuffs","Dit personage is immuun voor statusaandoeningen en negatieve cumulatieve effecten."
"herocard.passive_skill.description.resist.alldebuffs.buffdispels.with_chance","{CHANCE}% extra kans om alle negatieve statuseffecten en het verwijderen van oppeppers te weerstaan."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.attackwither.defensewither.alldebuffs.with_chance","{CHANCE}% extra kans om alle negatieve statusaandoeningen, manaverminderingen, verwijderde oppeppers en verwelkingseffecten te weerstaan."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.insanity.with_chance","{CHANCE}% extra kans om alle negatieve statuseffecten, manaverminderingen, waanzin en het verwijderen van oppeppers te weerstaan."
"herocard.passive_skill.description.resist.alldebuffs.manareduction.buffdispels.with_chance","{CHANCE}% extra kans om alle negatieve statuseffecten, manaverminderingen en het verwijderen van oppeppers te weerstaan."
"herocard.passive_skill.description.resist.alldebuffs.with_chance","{CHANCE}% extra kans om alle statuseffecten te weerstaan."
"herocard.passive_skill.description.resist.alldefensemodifiers.alldebuffs","Dit personage is immuun voor statusaandoeningen die invloed hebben op de verdediging. Is ook van invloed op statusaandoeningen die elementenverdediging beïnvloeden."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.alldebuffs","Dit personage is immuun voor statuseffecten, cumulatieve en verwelkingseffecten die invloed hebben op de verdediging."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.allstatuseffects","Dit personage wordt niet beïnvloed door effecten die verdediging vergroten of verkleinen.

Dit geldt ook voor statuseffectoppeppers en -aandoeningen, positieve en negatieve stapelingen en verwelkings- en groeieffecten."
"herocard.passive_skill.description.resist.alldefensemodifiers.defensewither.defensegrowth.allstatuseffectsandstacks","Dit personage wordt niet beïnvloed door effecten die verdediging vergroten of verkleinen.

Dit geldt voor
 Statuseffectoppeppers en -aandoeningen
 Positieve en negatieve stapelingen
 Groei- en verwelkingseffecten."
"herocard.passive_skill.description.resist.alldefensemodifiersincludingwither.allstatuseffects","Dit personage wordt niet beïnvloed door effecten die verdediging vergroten of verkleinen.

Dit geldt ook voor statuseffectoppeppers en -aandoeningen, positieve en negatieve stapelingen en verwelkings- en groeieffecten."
"herocard.passive_skill.description.resist.allmanaeffects.alldebuffs","Dit personage is immuun voor statusaandoeningen en negatieve cumulatieve effecten die invloed hebben op de manarecuperatie. Dit geldt ook voor statusaandoeningen die mana blokkeren of mana stelen."
"herocard.passive_skill.description.resist.allmanaeffects.manareduction.alldebuffs","Dit personage is immuun voor manaverminderingen en statusaandoeningen en negatieve cumulatieve effecten die invloed hebben op de manarecuperatie. Dit geldt ook voor effecten en statusaandoeningen die mana blokkeren of stelen."
"herocard.passive_skill.description.resist.allstatuseffectdamage.none","Dit personage is immuun voor de inkomende schade van statuseffecten en negatieve cumulatieve effecten."
"herocard.passive_skill.description.resist.attackdelay","De normale aanval van dit personage kan niet worden uitgesteld."
"herocard.passive_skill.description.resist.attackdelay.alldebuffs","De normale aanval van dit personage kan niet worden uitgesteld."
"herocard.passive_skill.description.resist.attackmodifiers","Dit personage is immuun voor statusaandoeningen die invloed hebben op de aanvalskracht."
"herocard.passive_skill.description.resist.attackmodifiers.allstatuseffectsandstacks","Dit personage is immuun voor alle statuseffecten en cumulatieve effecten die invloed hebben op de aanvalskracht. Dit geldt ook voor statuseffectoppeppers."
"herocard.passive_skill.description.resist.attackmodifiers.attackwither.alldebuffs","Dit personage is immuun voor statuseffecten, cumulatieve en verwelkingseffecten die invloed hebben op de aanvalskracht."
"herocard.passive_skill.description.resist.bleed","Dit personage is immuun voor statusaandoeningen die bloedschade aanrichten."
"herocard.passive_skill.description.resist.bleed.with_effect.healthboost.addmana","Dit personage is immuun voor statusaandoeningen die bloedschade aanrichten en krijgt elke keer als het weerstand biedt {HEALTHBOOST} meer gezondheid en {MANA}% mana."
"herocard.passive_skill.description.resist.buffdispels","Dit personage is immuun voor effecten die hun statuseffectoppeppers zouden verwijderen."
"herocard.passive_skill.description.resist.buffdispels.none.with_chance","{CHANCE}% extra kans om verwijdering van oppeppers te weerstaan."
"herocard.passive_skill.description.resist.buffimmunity","Dit personage is immuun voor effecten die voorkomen dat ze nieuwe statuseffectoppeppers krijgen."
"herocard.passive_skill.description.resist.burn","Dit personage is immuun voor statusaandoeningen die verbrandingsschade aanrichten."
"herocard.passive_skill.description.resist.burn.with_effect.healthboost.addmana","Dit personage is immuun voor statusaandoeningen die verbrandingsschade aanrichten en krijgt elke keer als het weerstand biedt {HEALTHBOOST} meer gezondheid en {MANA}% mana."
"herocard.passive_skill.description.resist.can_stack.alldebuffs","Dit personage is immuun voor statusaandoeningen."
"herocard.passive_skill.description.resist.can_stack.alldebuffs.with_chance","{CHANCE}% extra kans om alle statuseffecten te weerstaan."
"herocard.passive_skill.description.resist.criticalhits.none","Dit personage is immuun voor extra schade en aanvullende effecten door kritieke treffers."
"herocard.passive_skill.description.resist.defensemodifierdebuffs","Dit personage is immuun voor statusaandoeningen die invloed hebben op de verdediging. Dit is niet van toepassing op statusaandoeningen die elementenverdediging beïnvloeden."
"herocard.passive_skill.description.resist.defensemodifiers.alldebuffs","Dit personage is immuun voor statusaandoeningen en negatieve cumulatieve effecten die invloed hebben op de verdediging. Dit is niet van toepassing op statusaandoeningen die elementenverdediging beïnvloeden."
"herocard.passive_skill.description.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","Immuun voor effecten die volgelingen verwijderen.
 Kan niet voorkomen dat volgelingen ontvangen worden.
 Aanvallen en vaardigheden van volgelingen kunnen niet voorkomen worden."
"herocard.passive_skill.description.resist.frost","Dit personage is immuun voor statusaandoeningen die vorstschade aanrichten."
"herocard.passive_skill.description.resist.frost.with_effect.healthboost.addmana","Dit personage is immuun voor statusaandoeningen die vorstschade aanrichten en krijgt elke keer als het weerstand biedt {HEALTHBOOST} meer gezondheid en {MANA}% mana."
"herocard.passive_skill.description.resist.healeffects","Dit personage is immuun voor statusaandoeningen die invloed hebben op de genezing."
"herocard.passive_skill.description.resist.healthsteal","Dit personage is immuun voor statusaandoeningen die gezondheid stelen."
"herocard.passive_skill.description.resist.insanity.permanentstatuseffects","Dit personage is immuun voor waanzin."
"herocard.passive_skill.description.resist.manadebuffs","Dit personage is immuun voor statusaandoeningen die invloed hebben op de mana."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking","Dit personage is immuun voor statusaandoeningen die invloed hebben op manarecuperatie of die het gebruik van speciale vaardigheden voorkomen."
"herocard.passive_skill.description.resist.manaeffectsandspecialblocking.with_chance","Dit personage heeft {CHANCE}% kans om statuseffecten te weerstaan die van invloed zijn op mana of die het gebruik van speciale vaardigheden voorkomen."
"herocard.passive_skill.description.resist.managenerationmodifiers.alldebuffs","Dit personage is immuun voor statusaandoeningen en negatieve cumulatieve effecten die invloed hebben op de manarecuperatie. Heeft geen invloed op statuseffecten die manarecuperatie tegenhouden of mana stelen."
"herocard.passive_skill.description.resist.manareduction","Dit personage is immuun voor manareductie."
"herocard.passive_skill.description.resist.manareduction.alldebuffs.with_chance","{CHANCE}% extra kans om manareductie te weerstaan."
"herocard.passive_skill.description.resist.manareduction.none.with_effect.healthboost.addmana","Dit personage is immuun voor manareductie en krijgt bovendien elke keer als het weerstand biedt {HEALTHBOOST} meer gezondheid en {MANA}% mana."
"herocard.passive_skill.description.resist.maxhealthreduction","Dit personage is immuun voor vermindering van de maximale gezondheid."
"herocard.passive_skill.description.resist.poison","Dit personage is immuun voor statusaandoeningen die gifschade aanrichten."
"herocard.passive_skill.description.resist.poison.burn.bleed","Dit personage is immuun voor statusaandoeningen die gifschade, verbrandingsschde of bloedschade aanrichten."
"herocard.passive_skill.description.resist.possession.allstatuseffects","Dit personage is immuun voor statusaandoeningen die het personage zouden bezitten."
"herocard.passive_skill.description.resist.sand","Dit personage is immuun voor statusaandoeningen die zandschade aanrichten."
"herocard.passive_skill.description.resist.specialblocking","Dit personage is immuun voor statusaandoeningen die het gebruik van speciale vaardigheden voorkomen."
"herocard.passive_skill.description.resist.specialblocking.with_chance","Dit personage heeft {CHANCE}% kans om statuseffecten te weerstaan die het gebruik van speciale vaardigheden voorkomen."
"herocard.passive_skill.description.resist.specialblocking.with_effect.healthboost.addmana","Dit personage is immuun voor statusaandoeningen die het gebruik van speciale vaardigheden voorkomen. Het krijgt bovendien elke keer als het weerstand biedt {HEALTHBOOST} meer gezondheid en {MANA}% mana."
"herocard.passive_skill.description.resist.stopmanageneration","Dit personage is immuun voor statusaandoeningen die manarecuperatie voorkomen."
"herocard.passive_skill.description.resist.water","Dit personage is immuun voor statusaandoeningen die waterschade aanrichten."
"herocard.passive_skill.description.resistdebuffsfromfamiliars.minion","Dit personage is immuun voor statusaandoeningen die afkomstig zijn van volgelingen."
"herocard.passive_skill.description.resistfamiliarremoval.minion.bigminion","Dit personage is immuun voor effecten die volgelingen van ze zouden verwijderen."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion","Dit personage is immuun voor inkomende negatieve effecten en schade van volgelingen."
"herocard.passive_skill.description.resistnegativefamiliareffects.minion.bigminion","Dit personage is immuun voor inkomende negatieve effecten en schade van volgelingen en megavolgelingen."
"herocard.passive_skill.description.resistnewfamiliars.parasite","Dit personage kan geen demonen ontvangen."
"herocard.passive_skill.description.resistnewfamiliars.parasite.bigparasite","Dit personage kan geen demonen of megademonen krijgen."
"herocard.passive_skill.description.resistsupportcharacter.troop.alldebuffs.with_chance","{CHANCE}% extra kans om alle statuseffecten te weerstaan."
"herocard.passive_skill.description.revivalchancemodifier.all.enemies","De kans op terugkeer is kleiner voor alle vijanden in de strijd. De kans is {MODIFIER}% van de oorspronkelijke waarde."
"herocard.passive_skill.description.revivalhealthmodifier.all.enemies.excluding.boss","Alle vijanden krijgen {HEALTHMODIFIER}% gezondheid als ze terugkeren. Niet van invloed op eindbazen."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance","Als dit personage verslagen wordt, is er een kans dat het herboren wordt als een Eldritch-host. De kans is {CHANCEINCREASEPERSTEP}% per {INSANITYPERSTEP} waanzin voor dit personage en maximaal {MAXCHANCEINCREASE}%.

De Eldritch-host heeft:
{INHERITEDHEALTH}% geërfde gezondheid. 
{ATTACK} aanval.
{DEFENSE} verdediging.
Speciale vaardigheid: Eldritch-verderf.
De volgende speciale vaardigheid:

{ALTERNATIVEFORMSPECIALTITLE}
{ALTERNATIVEFORMSPECIALDESCRIPTION}

Als dit personage zichzelf verslaat terwijl waanzin wordt geactiveerd, is de kans op hergeboorte altijd {CHANCEONSELFCAUSEDDEATH}%."
"herocard.passive_skill.description.reviveinalternativeformwithinsanitychance_temp","Als dit personage verslagen wordt, is er een kans dat het herboren wordt als een Eldritch-host. De kans is {CHANCEINCREASEPERSTEP}% per {INSANITYPERSTEP} waanzin voor dit personage en maximaal {MAXCHANCEINCREASE}%.

De Eldritch-host heeft:
{INHERITEDHEALTH}% geërfde gezondheid. 
{ATTACK} aanval.
{DEFENSE} verdediging.
Speciale vaardigheid: Eldritch-verderf.
De volgende speciale vaardigheid:

{ALTERNATIVEFORMSPECIALTITLE}
{ALTERNATIVEFORMSPECIALDESCRIPTION}"
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance","Wanneer dit personage wordt verslagen, heeft hij/zij {TOTALCHANCE}% kans om aan het begin van de volgende beurt terug te keren met {HEALTH}% gezondheid en {MANA}% mana. 

Wordt maximaal {MAXACTIVATIONCOUNT} keer geactiveerd. De kans op terugkeer wordt bij elke activering kleiner. Kan niet worden voorkomen met statuseffecten of passieve vaardigheden."
"herocard.passive_skill.description.revivewithchance.healthrecoverymultiplier.manarecoverymultiplier.activationreducedchance.ignoresreviveblockingdebuffs","Wanneer dit personage wordt verslagen, heeft hij/zij {TOTALCHANCE}% kans om aan het begin van de volgende beurt terug te keren met {HEALTH}% gezondheid en {MANA}% mana. 

Wordt maximaal {MAXACTIVATIONCOUNT} keer geactiveerd. De kans op terugkeer wordt bij elke activering kleiner. Kan niet worden voorkomen met statuseffecten of passieve vaardigheden."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Alle ballades die zijn toegepast door vijanden, zijn maar {TURNS} beurt actief."
"herocard.passive_skill.description.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Alle dansen die zijn toegepast door vijanden, zijn maar {TURNS} beurt actief."
"herocard.passive_skill.description.sharereceiveddamage","{SHAREDDAMAGEPORTION}% van de schade die dit personage oploopt wordt gedeeld met alle andere bondgenoten."
"herocard.passive_skill.description.specialdamagereduction","De eerste {MAXACTIVATIONCOUNT} keer dat dit personage schade lijdt door speciale vaardigheden, wordt de geleden schade verminderd met {DAMAGEREDUCTION}%."
"herocard.passive_skill.description.specialdamagereduction.chance","Dit personage heeft {CHANCE}% kans om de rechtstreekse schade die is opgelopen door speciale vaardigheden te verlagen tot 1."
"herocard.passive_skill.description.specialdamagereductionsupportcharacter.troop","Schade die dit personage lijdt door speciale vaardigheden wordt verminderd met {DAMAGEREDUCTION}%."
"herocard.passive_skill.description.startbattlewitheffect.addmana","Dit personage ontvangt {MANA}% mana aan het begin van het gevecht."
"herocard.passive_skill.description.statmodifier.attack","{ATTACKMULTIPLIER}% aanval."
"herocard.passive_skill.description.statmodifier.defense","{DEFENSEMULTIPLIER}% verdediging."
"herocard.passive_skill.description.statmodifier.health","{HEALTHMULTIPLIER}% gezondheid."
"herocard.passive_skill.description.statmodifier.health.attack","{HEALTHMULTIPLIER}% gezondheid, {ATTACKMULTIPLIER}% aanvalskracht."
"herocard.passive_skill.description.statmodifier.health.defense","{HEALTHMULTIPLIER}% gezondheid, {DEFENSEMULTIPLIER}% verdedigingskracht."
"herocard.passive_skill.description.statmodifier.health.defense.attack","{HEALTHMULTIPLIER}% gezondheid, {DEFENSEMULTIPLIER}% verdedigingskracht, {ATTACKMULTIPLIER}% aanvalskracht."
"herocard.passive_skill.description.statuseffectattackmodifier.addition","Statuseffecten die de aanvalskracht verhogen, zijn {MODIFIER}% effectiever voor dit personage."
"herocard.passive_skill.description.statuseffectattackmodifier.all.allies.reduction","Vermindert het effect van statusaandoeningen die de aanval beïnvloeden met {MODIFIER}%. Het effect is van toepassing op dit personage en alle bondgenoten in het gevecht."
"herocard.passive_skill.description.statuseffectattackmodifier.reduction","Statuseffecten die de aanvalskracht verminderen, zijn {MODIFIER}% minder effectief bij dit personage."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.addition","Statuseffecten die de aanvalskracht verhogen, zijn {MODIFIER}% effectiever voor dit personage."
"herocard.passive_skill.description.statuseffectattackmodifiersupportcharacter.troop.reduction","Statuseffecten die de aanvalskracht verminderen, zijn {MODIFIER}% minder effectief bij dit personage."
"herocard.passive_skill.description.statuseffectdefensemodifier.addition","Statuseffecten die de verdediging verhogen, zijn {MODIFIER}% effectiever voor dit personage."
"herocard.passive_skill.description.statuseffectdefensemodifier.all.allies.reduction","Vermindert het effect van verdedigingskwalen met {MODIFIER}%. Het effect is van toepassing op dit personage en al zijn/haar bondgenoten in het gevecht."
"herocard.passive_skill.description.statuseffectdefensemodifier.reduction","Statuseffecten die de verdediging verminderen, zijn {MODIFIER}% minder effectief tegen deze vijand."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.addition","Statuseffecten die de verdediging verhogen, zijn {MODIFIER}% effectiever voor dit personage."
"herocard.passive_skill.description.statuseffectdefensemodifiersupportcharacter.troop.reduction","Statuseffecten die de verdediging verminderen, zijn {MODIFIER}% minder effectief tegen deze vijand."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","De duur van de eerste {MAXACTIVATIONCOUNT} statuseffecten die dit personage oploopt door speciale vaardigheden, wordt ingekort met {DURATIONMODIFIER} beurt(en)."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","De duur van de statuseffecten op verdediging die dit personage oploopt door speciale vaardigheden, wordt ingekort met {DURATIONMODIFIER} beurten."
"herocard.passive_skill.description.statuseffectdurationmodifier.increase.minorbuff.majorbuff","De duur van de eerste {MAXACTIVATIONCOUNT} oppeppers die dit personage ontvangt door speciale vaardigheden, wordt verlengd met {DURATIONMODIFIER} beurt(en)."
"herocard.passive_skill.description.statuseffectoncleanse.single.enemies","Wanneer een statusaandoening wordt gezuiverd van deze held, wordt er een nieuwe versie van de gezuiverde aandoening aan een willekeurige vijand gegeven."
"herocard.passive_skill.description.statuseffectonspecialcast.major.all.allies.softskin","Elke keer als deze gargouille een speciale vaardigheid gebruikt, krijgen alle bondgenoten zachte huid. De volgende {MAXACTIVATIONS} keer dat ze schade oplopen, wordt deze verminderd met {DAMAGEREDUCTION}%. Ze zijn ook immuun voor alle statusaandoeningen, manaverminderingen en waanzin. Dit effect kan niet ongedaan worden gemaakt."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.softskin","Elke keer als deze gargouille een speciale vaardigheid gebruikt, wordt zachte huid geactiveerd. De volgende {MAXACTIVATIONS} keer dat deze schade oploopt, wordt deze verminderd met {DAMAGEREDUCTION}%. De gargouille is ook immuun voor alle statusaandoeningen, manaverminderingen en waanzin. Dit effect kan niet ongedaan worden gemaakt."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.stone","Telkens als deze gargouille een speciale vaardigheid gebruikt, verhardt zijn steenhuid. De volgende {MAXHITS} keer dat hij schade ontvangt, daalt dit naar 1. Dit effect kan niet worden verwijderd."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.random.enemies.damageonhitreceived","Wanneer dit personage de speciale vaardigheid gebruikt, markeert het een willekeurige vijand {TURNS} beurten lang met een jachtfakkel.
 Een doelwit dat is gemarkeerd met een jachtfakkel lijdt {FIXEDPOWER} meer schade wanneer het kritiek wordt getroffen."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.single.allies.attackmodifierfrompassiveskill","Als dit personage de speciale vaardigheid gebruikt, stijgt de aanvalskracht {TURNS} beurten lang met {ATTACK}%. Dit effect kan actief zijn naast andere effecten die de aanvalskracht wijzigen."
"herocard.passive_skill.description.statuseffectselection.usable_once.select_element_status_effect","Het element van deze held kan één keer per gevecht worden gewijzigd in een element naar keuze gedurende {TURNS} beurten. Het element kan worden gewijzigd door op deze held te tikken wanneer de held geen volle mana heeft."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies","Roept elke beurt een zaailingdemon aan voor een willekeurige vijand.
De zaailingdemon ontwikkelt zich tot een scheutdemon na {EVOLVINGFAMILIAR1EVOLVETURNS} beurten.
De scheutdemon ontwikkelt zich tot een bloesemmegademon na {EVOLVINGFAMILIAR2EVOLVETURNS} beurten.

Zaailingdemon: 
{EVOLVINGFAMILIAR1FAMILIARATTACK}% aanval, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT}% gezondheid.

Scheutdemon: 
{EVOLVINGFAMILIAR2FAMILIARATTACK}% aanval, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT}% gezondheid.

Bloesemmegademon: 
{EVOLVINGFAMILIAR3FAMILIARATTACK}% aanval, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT}% gezondheid."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Roept elke beurt een zaailingdemon aan voor een willekeurige vijand. Deze passieve vaardigheid wordt slechts één keer per beurt per team geactiveerd
De zaailingdemon ontwikkelt zich tot een scheutdemon na {EVOLVINGFAMILIAR1EVOLVETURNS} beurten.
De scheutdemon ontwikkelt zich tot een bloesemmegademon na {EVOLVINGFAMILIAR2EVOLVETURNS} beurten.

Zaailingdemon: 
{EVOLVINGFAMILIAR1FAMILIARATTACK}% aanval, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT}% gezondheid.

Scheutdemon: 
{EVOLVINGFAMILIAR2FAMILIARATTACK}% aanval, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT}% gezondheid.

Bloesemmegademon: 
{EVOLVINGFAMILIAR3FAMILIARATTACK}% aanval, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT}% gezondheid."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","Roept elke beurt een zaailingdemon aan voor een willekeurige vijand. Deze passieve vaardigheid wordt slechts één keer per beurt per team geactiveerd
De zaailingdemon ontwikkelt zich tot een scheutdemon na {EVOLVINGFAMILIAR1EVOLVETURNS} beurten.
De scheutdemon ontwikkelt zich tot een bloesemmegademon na {EVOLVINGFAMILIAR2EVOLVETURNS} beurten.
Elke keer dat demonen gezondheid absorberen, wordt hun evolutie vertraagd met {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} beurt.

Zaailingdemon: 
{EVOLVINGFAMILIAR1FAMILIARATTACK}% aanval, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT}% gezondheid.

Scheutdemon: 
{EVOLVINGFAMILIAR2FAMILIARATTACK}% aanval, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT}% gezondheid.

Bloesemmegademon: 
{EVOLVINGFAMILIAR3FAMILIARATTACK}% aanval, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT}% gezondheid."
